id,item_sub_type,grade,level,cost,exp,required_block_index,base_stat_growth_min,base_stat_growth_max,extra_stat_growth_min,extra_stat_growth_max,extra_skill_damage_growth_min,extra_skill_damage_growth_max,extra_skill_chance_growth_min,extra_skill_chance_growth_max
1,Weapon,1,1,0,20,25,800,1200,0,0,0,0,0,0
2,Weapon,1,2,0,40,62,800,1200,0,0,0,0,0,0
3,Weapon,1,3,0,80,125,800,1200,0,0,0,0,0,0
4,Weapon,1,4,20,160,625,800,1200,2500,3500,2500,3500,1200,1800
5,Weapon,1,5,40,320,925,800,1200,0,0,0,0,0,0
6,Weapon,1,6,80,640,1300,800,1200,0,0,0,0,0,0
7,Weapon,1,7,160,1280,2500,800,1200,2500,3500,2500,3500,1200,1800
8,Weapon,1,8,320,2560,2975,800,1200,600,1000,600,1000,400,600
9,Weapon,1,9,640,5120,3500,800,1200,600,1000,600,1000,400,600
10,Weapon,1,10,1280,10240,4750,800,1200,1100,1700,1100,1700,700,1100
11,Weapon,1,11,2560,20480,5000,800,1200,600,1000,600,1000,400,600
12,Weapon,1,12,5120,40960,5250,800,1200,600,1000,600,1000,400,600
13,Weapon,1,13,10240,81920,5500,800,1200,1100,1700,1100,1700,700,1100
14,Weapon,1,14,20480,163840,5750,800,1200,600,1000,600,1000,400,600
15,Weapon,1,15,40960,327680,6000,800,1200,600,1000,600,1000,400,600
16,Weapon,1,16,81920,655360,6250,800,1200,1100,1700,1100,1700,700,1100
17,Weapon,1,17,163840,1310720,6500,800,1200,600,1000,600,1000,400,600
18,Weapon,1,18,327680,2621440,6750,800,1200,600,1000,600,1000,400,600
19,Weapon,1,19,655360,5242880,7000,800,1200,1100,1700,1100,1700,700,1100
20,Weapon,1,20,1310720,10485760,7250,800,1200,800,1200,800,1200,400,600
21,Weapon,1,21,2621440,20971520,7500,800,1200,800,1200,800,1200,400,600
22,Weapon,2,1,0,160,37,800,1200,0,0,0,0,0,0
23,Weapon,2,2,0,320,93,800,1200,0,0,0,0,0,0
24,Weapon,2,3,0,640,187,800,1200,0,0,0,0,0,0
25,Weapon,2,4,20,1280,937,800,1200,2500,3500,2500,3500,1200,1800
26,Weapon,2,5,40,2560,1387,800,1200,0,0,0,0,0,0
27,Weapon,2,6,80,5120,1950,800,1200,0,0,0,0,0,0
28,Weapon,2,7,160,10240,3750,800,1200,2500,3500,2500,3500,1200,1800
29,Weapon,2,8,320,20480,4462,800,1200,600,1000,600,1000,400,600
30,Weapon,2,9,640,40960,5250,800,1200,600,1000,600,1000,400,600
31,Weapon,2,10,1280,81920,7125,800,1200,1100,1700,1100,1700,700,1100
