id,enchant_base_id,gain_crystal
10100000,10100000,100
10110000,10100000,200
10111000,10100000,100
10112000,10100000,100
10113000,10100000,100
10114000,10100000,100
10120000,10100000,100
10121000,10100000,100
10122000,10100000,100
10123000,10100000,100
10124000,10100000,100
10130000,10100000,100
10131000,10100000,100
10132000,10100000,100
10133000,10100000,100
10134000,10100000,100
10130001,10100000,100
10131001,10100000,100
10132001,10100000,100
10133001,10100000,100
10134001,10100000,100
10140000,10100000,100
10141000,10100000,100
10142000,10100000,100
10143000,10100000,100
10144000,10100000,100
10140001,10100000,100
10141001,10100000,100
10142001,10100000,100
10143001,10100000,100
10144001,10100000,100
10150000,10100000,100
10151000,10100000,100
10152000,10100000,100
10153000,10100000,100
10154000,10100000,100
10150001,10100000,100
10151001,10100000,100
10152001,10100000,100
10153001,10100000,100
10154001,10100000,100
10155000,10100000,100
10200000,10100000,100
10210000,10100000,100
10211000,10100000,100
10212000,10100000,100
10213000,10100000,100
10214000,10100000,100
10220000,10100000,100
10221000,10100000,100
10222000,10100000,100
10223000,10100000,100
10224000,10100000,100
10230000,10100000,100
10231000,10100000,100
10232000,10100000,100
10233000,10100000,100
10234000,10100000,100
10230001,10100000,100
10231001,10100000,100
10232001,10100000,100
10233001,10100000,100
10234001,10100000,100
10240000,10100000,100
10241000,10100000,100
10242000,10100000,100
10243000,10100000,100
10244000,10100000,100
10240001,10100000,100
10241001,10100000,100
10242001,10100000,100
10243001,10100000,100
10244001,10100000,100
10250000,10100000,100
10251000,10100000,100
10252000,10100000,100
10253000,10100000,100
10254000,10100000,100
10250001,10100000,100
10251001,10100000,100
10252001,10100000,100
10253001,10100000,100
10254001,10100000,100
10255000,10100000,100
10310000,10100000,100
10311000,10100000,100
10312000,10100000,100
10313000,10100000,100
10314000,10100000,100
10320000,10100000,100
10321000,10100000,100
10322000,10100000,100
10323000,10100000,100
10324000,10100000,100
10330000,10100000,100
10331000,10100000,100
10332000,10100000,100
10333000,10100000,100
10334000,10100000,100
10340000,10100000,100
10341000,10100000,100
10342000,10100000,100
10343000,10100000,100
10344000,10100000,100
10350000,10100000,100
10351000,10100000,100
10352000,10100000,100
10353000,10100000,100
10354000,10100000,100
10410000,10100000,100
10411000,10100000,100
10412000,10100000,100
10413000,10100000,100
10414000,10100000,100
10420000,10100000,100
10421000,10100000,100
10422000,10100000,100
10423000,10100000,100
10424000,10100000,100
10430000,10100000,100
10431000,10100000,100
10432000,10100000,100
10433000,10100000,100
10434000,10100000,100
10440000,10100000,100
10441000,10100000,100
10442000,10100000,100
10443000,10100000,100
10444000,10100000,100
10450000,10100000,100
10451000,10100000,100
10452000,10100000,100
10453000,10100000,100
10454000,10100000,100
10510000,10100000,100
10511000,10100000,100
10512000,10100000,100
10513000,10100000,100
10514000,10100000,100
10520000,10100000,100
10521000,10100000,100
10522000,10100000,100
10523000,10100000,100
10524000,10100000,100
10530000,10100000,100
10531000,10100000,100
10532000,10100000,100
10533000,10100000,100
10534000,10100000,100
10540000,10100000,100
10541000,10100000,100
10542000,10100000,100
10543000,10100000,100
10544000,10100000,100
10550000,10100000,100
10551000,10100000,100
10552000,10100000,100
10553000,10100000,100
10554000,10100000,100
11320000,10100000,100
11420000,10100000,100
11520000,10100000,100
