id,rank,skill_id,ratio
1,SS,400000,0.01
2,SS,400001,0.01
3,SS,400002,0.01
4,SS,400003,0.01
5,SS,400004,0.01
6,S,400005,0.015
7,S,400006,0.015
8,S,400007,0.015
9,S,400008,0.015
10,S,400009,0.015
11,S,400010,0.015
12,S,400011,0.015
13,S,400012,0.015
14,S,400013,0.015
15,S,400014,0.015
16,A,400015,0.02067
17,A,400016,0.02067
18,A,400017,0.02067
19,A,400018,0.02067
20,A,400019,0.02067
21,A,400020,0.02067
22,A,400021,0.02067
23,A,400022,0.02067
24,A,400023,0.02067
25,A,400024,0.02067
26,A,400025,0.02067
27,A,400026,0.02067
28,A,400027,0.02067
29,A,400028,0.02067
30,A,400029,0.0226
31,B,400030,0.01877
32,B,400031,0.01877
33,B,400032,0.01877
34,B,400033,0.01877
35,B,400034,0.01877
36,B,400035,0.01877
37,B,400036,0.01877
38,B,400037,0.01877
39,B,400038,0.01877
40,B,400039,0.01877
41,B,400040,0.01877
42,B,400041,0.01877
43,B,400042,0.01877
44,B,400043,0.01877
45,B,400044,0.01877
46,B,400045,0.01877
47,B,400046,0.01877
48,B,400047,0.01877
49,B,400048,0.01877
50,B,400049,0.01877
51,B,400050,0.01877
52,B,400051,0.01877
53,B,400052,0.01877
54,B,400053,0.01877
55,B,400054,0.01877
56,B,400055,0.01877
