stage_id,max_star,crystal_cost_normal,crystal_cost_advanced
1,20,1,2
2,20,1,2
3,20,1,2
4,20,1,2
5,20,1,2
6,20,1,2
7,20,1,2
8,20,1,2
9,20,1,2
10,20,1,2
11,20,2,4
12,20,2,4
13,20,2,4
14,20,2,4
15,20,3,6
16,20,3,6
17,20,3,6
18,20,4,8
19,20,4,8
20,20,4,8
21,20,5,10
22,20,5,10
23,20,6,12
24,20,6,12
25,20,7,14
26,20,7,14
27,20,8,16
28,20,8,16
29,20,9,18
30,20,9,18
31,20,10,20
32,20,11,22
33,20,11,22
34,20,12,24
35,20,13,26
36,20,13,26
37,20,14,28
38,20,15,30
39,20,16,32
40,20,16,32
41,20,17,34
42,20,18,36
43,20,19,38
44,20,20,40
45,20,21,42
46,20,22,44
47,20,23,46
48,20,24,48
49,20,25,50
50,20,250,500
51,50,261,522
52,50,271,542
53,50,281,562
54,50,292,584
55,50,303,606
56,50,314,628
57,50,325,650
58,50,337,674
59,50,349,698
60,50,360,720
61,50,373,746
62,50,385,770
63,50,397,794
64,50,410,820
65,50,423,846
66,50,436,872
67,50,449,898
68,50,463,926
69,50,477,954
70,50,490,980
71,50,505,1010
72,50,519,1038
73,50,533,1066
74,50,548,1096
75,50,563,1126
76,50,578,1156
77,50,593,1186
78,50,609,1218
79,50,625,1250
80,50,640,1280
81,50,657,1314
82,50,673,1346
83,50,689,1378
84,50,706,1412
85,50,723,1446
86,50,740,1480
87,50,757,1514
88,50,775,1550
89,50,793,1586
90,50,810,1620
91,50,829,1658
92,50,847,1694
93,50,865,1730
94,50,884,1768
95,50,903,1806
96,50,922,1844
97,50,941,1882
98,50,961,1922
99,50,981,1962
100,100,3334,6668
101,100,3401,6802
102,100,3468,6936
103,100,3537,7074
104,100,3606,7212
105,100,3675,7350
106,100,3746,7492
107,100,3817,7634
108,100,3888,7776
109,100,3961,7922
110,100,4034,8068
111,100,4107,8214
112,100,4182,8364
113,100,4257,8514
114,100,4332,8664
115,100,4409,8818
116,100,4486,8972
117,100,4563,9126
118,100,4642,9284
119,100,4721,9442
120,100,4800,9600
121,100,4881,9762
122,100,4962,9924
123,100,5043,10086
124,100,5126,10252
125,100,5209,10418
126,100,5292,10584
127,100,5377,10754
128,100,5462,10924
129,100,5547,11094
130,100,5634,11268
131,100,5721,11442
132,100,5808,11616
133,100,5897,11794
134,100,5986,11972
135,100,6075,12150
136,100,6166,12332
137,100,6257,12514
138,100,6348,12696
139,100,6441,12882
140,100,6534,13068
141,100,6627,13254
142,100,6722,13444
143,100,6817,13634
144,100,6912,13824
145,100,7009,14018
146,100,7106,14212
147,100,7203,14406
148,100,7302,14604
149,100,7401,14802
150,100,11250,22500
151,100,11401,22802
152,100,11552,23104
153,100,11705,23410
154,100,11858,23716
155,100,12013,24026
156,100,12168,24336
157,100,12325,24650
158,100,12482,24964
159,100,12641,25282
160,100,12800,25600
161,100,12961,25922
162,100,13122,26244
163,100,13285,26570
164,100,13448,26896
165,100,13613,27226
166,100,13778,27556
167,100,13945,27890
168,100,14112,28224
169,100,14281,28562
170,100,14450,28900
171,100,14621,29242
172,100,14792,29584
173,100,14965,29930
174,100,15138,30276
175,100,15313,30626
176,100,15488,30976
177,100,15665,31330
178,100,15842,31684
179,100,16021,32042
180,100,16200,32400
181,100,16381,32762
182,100,16562,33124
183,100,16745,33490
184,100,16928,33856
185,100,17113,34226
186,100,17298,34596
187,100,17485,34970
188,100,17672,35344
189,100,17861,35722
190,100,18050,36100
191,100,18241,36482
192,100,18432,36864
193,100,18625,37250
194,100,18818,37636
195,100,19013,38026
196,100,19208,38416
197,100,19405,38810
198,100,19602,39204
199,100,19801,39602
200,200,39600,79200
201,200,39997,79994
202,200,40396,80792
203,200,40797,81594
204,200,41200,82400
205,200,41605,83210
206,200,42012,84024
207,200,42421,84842
208,200,42832,85664
209,200,43245,86490
210,200,43659,87318
211,200,44076,88152
212,200,44495,88990
213,200,44916,89832
214,200,45339,90678
215,200,45763,91526
216,200,46190,92380
217,200,46619,93238
218,200,47049,94098
219,200,47482,94964
220,200,47916,95832
221,200,48353,96706
222,200,48792,97584
223,200,49232,98464
224,200,49675,99350
225,200,50119,100238
226,200,50566,101132
227,200,51014,102028
228,200,51465,102930
229,200,51917,103834
230,200,52371,104742
231,200,52828,105656
232,200,53286,106572
233,200,53747,107494
234,200,54209,108418
235,200,54673,109346
236,200,55140,110280
237,200,55608,111216
238,200,56078,112156
239,200,56550,113100
240,200,57024,114048
241,200,57501,115002
242,200,57979,115958
243,200,58459,116918
244,200,58941,117882
245,200,59425,118850
246,200,59911,119822
247,200,60399,120798
248,200,60889,121778
249,200,61381,122762
250,300,61875,123750
251,300,252004,378006
252,300,254016,508032
253,300,256036,512072
254,300,258064,516128
255,300,260100,520200
256,300,262144,524288
257,300,264196,528392
258,300,266256,532512
259,300,268324,536648
260,300,270400,540800
261,300,272484,544968
262,300,274576,549152
263,300,276676,553352
264,300,278784,557568
265,300,280900,561800
266,300,283024,566048
267,300,285156,570312
268,300,287296,574592
269,300,289444,578888
270,300,291600,583200
271,300,293764,587528
272,300,295936,591872
273,300,298116,596232
274,300,300304,600608
275,300,302500,605000
276,300,304704,609408
277,300,306916,613832
278,300,309136,618272
279,300,311364,622728
280,300,313600,627200
281,300,315844,631688
282,300,318096,636192
283,300,320356,640712
284,300,322624,645248
285,300,324900,649800
286,300,327184,654368
287,300,329476,658952
288,300,331776,663552
289,300,334084,668168
290,300,336400,672800
291,300,338724,677448
292,300,341056,682112
293,300,343396,686792
294,300,345744,691488
295,300,348100,696200
296,300,350464,700928
297,300,352836,705672
298,300,355216,710432
299,300,357604,715208
300,300,360000,720000
