id,costume_id,stat_type,stat
1,40100000,ATK,30
2,40100001,DEF,15
3,40100002,HIT,135
4,40100003,ATK,60
5,40100003,HIT,135
6,40100005,ATK,35
7,40100006,ATK,55
8,40100006,SPD,100
9,49900001,HP,300
10,49900002,HP,450
11,49900003,HP,450
12,49900003,DEF,20
13,49900004,ATK,40
14,49900005,ATK,80
15,49900005,HIT,150
16,49900006,HIT,120
17,40100007,DEF,10
18,40100007,HIT,150
19,40100009,SPD,80
20,40100009,ATK,65
21,40100008,ATK,35
22,49900007,HP,5000
23,49900008,DEF,320
24,40100010,ATK,530
25,49900009,HIT,1210
