id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
1,ATK,4,5,,,,,
2,SPD,14,16,,,,,
3,,,,110001,53,71,14,14
4,ATK,2,7,,,,,
5,SPD,9,20,,,,,
6,ATK,3,5,,,,,
7,,,,110003,49,66,28,28
8,ATK,179,336,,,,,
9,SPD,503,914,,,,,
10,ATK,215,360,,,,,
11,,,,110005,6774,9032,12,12
12,ATK,4,5,,,,,
13,SPD,15,18,,,,,
14,,,,120001,74,98,14,14
15,ATK,2,7,,,,,
16,SPD,10,21,,,,,
17,ATK,3,5,,,,,
18,,,,120003,69,92,28,28
19,ATK,28,54,,,,,
20,SPD,85,156,,,,,
21,ATK,46,77,,,,,
22,,,,120005,544,726,12,12
23,ATK,14,16,,,,,
24,SPD,62,70,,,,,
25,,,,130001,294,392,14,14
26,ATK,7,20,,,,,
27,SPD,41,84,,,,,
28,ATK,11,16,,,,,
29,,,,130003,274,366,28,28
30,ATK,92,173,,,,,
31,SPD,344,625,,,,,
32,ATK,147,247,,,,,
33,,,,130005,2165,2886,12,12
34,ATK,40,43,,,,,
35,SPD,184,205,,,,,
36,,,,140001,920,1227,14,14
37,ATK,21,54,,,,,
38,SPD,122,246,,,,,
39,ATK,32,43,,,,,
40,,,,140003,859,1145,28,28
41,ATK,249,467,,,,,
42,SPD,1016,1843,,,,,
43,ATK,399,666,,,,,
44,,,,140005,6766,9021,12,12
45,ATK,10,11,,,,,
46,SPD,32,37,,,,,
47,,,,110001,169,225,14,14
48,ATK,5,14,,,,,
49,SPD,21,44,,,,,
50,ATK,8,11,,,,,
51,,,,110003,158,210,28,28
52,ATK,63,120,,,,,
53,SPD,178,325,,,,,
54,ATK,102,171,,,,,
55,,,,110005,1245,1660,12,12
56,ATK,10,11,,,,,
57,SPD,34,39,,,,,
58,,,,120001,200,267,14,14
59,ATK,5,14,,,,,
60,SPD,22,46,,,,,
61,ATK,8,11,,,,,
62,,,,120003,187,249,28,28
63,ATK,63,119,,,,,
64,SPD,188,343,,,,,
65,ATK,101,169,,,,,
66,,,,120005,1473,1964,12,12
67,ATK,41,44,,,,,
68,SPD,172,192,,,,,
69,,,,130001,1293,1724,14,14
70,ATK,21,55,,,,,
71,SPD,114,230,,,,,
72,ATK,32,44,,,,,
73,,,,130003,1207,1609,28,28
74,ATK,254,476,,,,,
75,SPD,950,1724,,,,,
76,ATK,407,680,,,,,
77,,,,130005,9503,12670,12,12
78,ATK,97,104,,,,,
79,SPD,445,495,,,,,
80,,,,140001,3182,4243,14,14
81,ATK,51,130,,,,,
82,SPD,296,594,,,,,
83,ATK,77,104,,,,,
84,,,,140003,2970,3960,28,28
85,ATK,602,1126,,,,,
86,SPD,2455,4451,,,,,
87,ATK,964,1608,,,,,
88,,,,140005,23388,31185,12,12
89,ATK,26,28,,,,,
90,SPD,82,92,,,,,
91,,,,110001,549,732,14,14
92,ATK,13,35,,,,,
93,SPD,55,111,,,,,
94,ATK,20,28,,,,,
95,,,,110003,512,683,28,28
96,ATK,162,304,,,,,
97,SPD,455,826,,,,,
98,ATK,260,434,,,,,
99,,,,110005,4037,5383,12,12
100,ATK,24,27,,,,,
101,SPD,83,93,,,,,
102,,,,120001,623,831,14,14
103,ATK,13,34,,,,,
104,SPD,55,112,,,,,
105,ATK,19,27,,,,,
106,,,,120003,581,775,28,28
107,ATK,153,287,,,,,
108,SPD,458,832,,,,,
109,ATK,245,410,,,,,
110,,,,120005,4580,6107,12,12
111,ATK,95,102,,,,,
112,SPD,401,446,,,,,
113,,,,130001,3823,5097,14,14
114,ATK,50,128,,,,,
115,SPD,267,535,,,,,
116,ATK,76,102,,,,,
117,,,,130003,3568,4757,28,28
118,ATK,592,1106,,,,,
119,SPD,2211,4009,,,,,
120,ATK,947,1580,,,,,
121,,,,130005,26756,35675,12,12
122,ATK,205,220,,,,,
123,SPD,942,1048,,,,,
124,,,,140001,7483,9978,14,14
125,ATK,109,275,,,,,
126,SPD,628,1257,,,,,
127,ATK,164,220,,,,,
128,,,,140003,6984,9313,28,28
129,ATK,1275,2381,,,,,
130,SPD,5194,9415,,,,,
131,ATK,2040,3401,,,,,
132,,,,140005,52375,69833,12,12
133,ATK,57,62,,,,,
134,SPD,182,203,,,,,
135,,,,110001,1736,2315,14,14
136,ATK,30,78,,,,,
137,SPD,121,243,,,,,
138,ATK,46,62,,,,,
139,,,,110003,1621,2161,28,28
140,ATK,358,670,,,,,
141,SPD,1004,1821,,,,,
142,ATK,573,957,,,,,
143,,,,110005,12763,17017,12,12
144,ATK,52,57,,,,,
145,SPD,177,198,,,,,
146,,,,120001,1908,2544,14,14
147,ATK,28,71,,,,,
148,SPD,118,238,,,,,
149,ATK,42,57,,,,,
150,,,,120003,1781,2374,28,28
151,ATK,328,614,,,,,
152,SPD,981,1779,,,,,
153,ATK,525,876,,,,,
154,,,,120005,14024,18698,12,12
155,ATK,245,262,,,,,
156,SPD,1029,1144,,,,,
157,,,,130001,9803,13071,14,14
158,ATK,130,327,,,,,
159,SPD,686,1373,,,,,
160,ATK,196,262,,,,,
161,,,,130003,9149,12199,28,28
162,ATK,1519,2837,,,,,
163,SPD,5673,10283,,,,,
164,ATK,2431,4053,,,,,
165,,,,130005,68609,91479,12,12
166,ATK,287,307,,,,,
167,SPD,1316,1463,,,,,
168,,,,140001,9958,13277,14,14
169,ATK,153,384,,,,,
170,SPD,877,1755,,,,,
171,ATK,229,307,,,,,
172,,,,140003,9294,12392,28,28
173,ATK,1781,3325,,,,,
174,SPD,7254,13149,,,,,
175,ATK,2849,4750,,,,,
176,,,,140005,73176,97569,12,12
177,ATK,161,173,,,,,
178,HIT,800,890,,,,,
179,,,,110001,5606,7474,14,14
180,ATK,86,216,,,,,
181,HIT,533,1068,,,,,
182,ATK,129,173,,,,,
183,,,,110003,5232,6976,28,28
184,ATK,1003,1873,,,,,
185,SPD,2808,5091,,,,,
186,ATK,1604,2675,,,,,
187,,,,110005,41195,54927,12,12
188,ATK,136,146,,,,,
189,DEF,180,201,,,,,
190,,,,120001,5681,7575,14,14
191,ATK,72,183,,,,,
192,DEF,120,241,,,,,
193,ATK,109,146,,,,,
194,,,,120003,5302,7070,28,28
195,ATK,846,1582,,,,,
196,SPD,2529,4586,,,,,
197,ATK,1355,2259,,,,,
198,,,,120005,41749,55665,12,12
199,ATK,207,222,,,,,
200,SPD,871,969,,,,,
201,,,,130001,8635,11513,14,14
202,ATK,110,277,,,,,
203,SPD,581,1163,,,,,
204,ATK,166,222,,,,,
205,,,,130003,8059,10745,28,28
206,ATK,1287,2403,,,,,
207,SPD,4805,8710,,,,,
208,ATK,2059,3433,,,,,
209,,,,130005,63454,84606,12,12
210,ATK,283,303,,,,,
211,HP,4171,4636,,,,,
212,,,,140001,10714,14285,14,14
213,ATK,151,378,,,,,
214,HP,2781,5563,,,,,
215,ATK,226,303,,,,,
216,,,,140003,9999,13333,28,28
217,ATK,1756,3279,,,,,
218,SPD,7153,12966,,,,,
219,ATK,2810,4684,,,,,
220,,,,140005,78732,104976,12,12
221,ATK,253,271,,,,,
222,HIT,1253,1393,,,,,
223,,,,110001,10218,13624,14,14
224,ATK,135,338,,,,,
225,HIT,835,1672,,,,,
226,ATK,202,271,,,,,
227,,,,110003,9537,12716,28,28
228,ATK,1570,2932,,,,,
229,SPD,4396,7970,,,,,
230,ATK,2512,4188,,,,,
231,,,,110005,75088,100117,12,12
232,ATK,215,230,,,,,
233,DEF,284,316,,,,,
234,,,,120001,10433,13911,14,14
235,ATK,114,288,,,,,
236,DEF,189,380,,,,,
237,ATK,172,230,,,,,
238,,,,120003,9737,12983,28,28
239,ATK,1335,2494,,,,,
240,SPD,3989,7231,,,,,
241,ATK,2137,3562,,,,,
242,,,,120005,76670,102227,12,12
243,ATK,329,352,,,,,
244,SPD,1384,1539,,,,,
245,,,,130001,15973,21297,14,14
246,ATK,175,440,,,,,
247,SPD,923,1847,,,,,
248,ATK,263,352,,,,,
249,,,,130003,14908,19877,28,28
250,ATK,2044,3816,,,,,
251,SPD,7631,13833,,,,,
252,ATK,3270,5452,,,,,
253,,,,130005,117378,156504,12,12
254,ATK,453,484,,,,,
255,HP,6671,7413,,,,,
256,,,,140001,19944,26592,14,14
257,ATK,241,605,,,,,
258,HP,4447,8896,,,,,
259,ATK,362,484,,,,,
260,,,,140003,18614,24819,28,28
261,ATK,2808,5243,,,,,
262,SPD,11439,20734,,,,,
263,ATK,4493,7490,,,,,
264,,,,140005,146561,195415,12,12
265,ATK,491,525,,,,,
266,HIT,2434,2705,,,,,
267,,,,110001,23277,31037,14,14
268,ATK,262,656,,,,,
269,HIT,1622,3246,,,,,
270,ATK,393,525,,,,,
271,,,,110003,21726,28968,28,28
272,ATK,3049,5692,,,,,
273,SPD,8537,15475,,,,,
274,ATK,4878,8132,,,,,
275,,,,110005,171057,228076,12,12
276,ATK,416,445,,,,,
277,DEF,549,611,,,,,
278,,,,120001,23654,31539,14,14
279,ATK,222,556,,,,,
280,DEF,366,734,,,,,
281,ATK,333,445,,,,,
282,,,,120003,22077,29436,28,28
283,ATK,2582,4821,,,,,
284,SPD,7712,13980,,,,,
285,ATK,4131,6887,,,,,
286,,,,120005,173825,231767,12,12
287,ATK,635,679,,,,,
288,SPD,2670,2968,,,,,
289,,,,130001,36117,48156,14,14
290,ATK,339,848,,,,,
291,SPD,1780,3561,,,,,
292,ATK,508,679,,,,,
293,,,,130003,33709,44946,28,28
294,ATK,3942,7359,,,,,
295,SPD,14717,26676,,,,,
296,ATK,6307,10513,,,,,
297,,,,130005,265409,353878,12,12
298,ATK,871,930,,,,,
299,HP,12834,14261,,,,,
300,,,,140001,44996,59994,14,14
301,ATK,464,1162,,,,,
302,HP,8556,17113,,,,,
303,ATK,697,930,,,,,
304,,,,140003,41996,55995,28,28
305,ATK,5403,10087,,,,,
306,SPD,22006,39887,,,,,
307,ATK,8645,14409,,,,,
308,,,,140005,330651,440869,12,12
309,ATK,709,757,,,,,
310,HIT,3512,3903,,,,,
311,,,,110001,39638,52851,14,14
312,ATK,378,947,,,,,
313,HIT,2341,4684,,,,,
314,ATK,567,757,,,,,
315,,,,110003,36996,49328,28,28
316,ATK,4399,8213,,,,,
317,SPD,12318,22328,,,,,
318,ATK,7039,11733,,,,,
319,,,,110005,291285,388380,12,12
320,ATK,600,641,,,,,
321,DEF,792,881,,,,,
322,,,,120001,40250,53666,14,14
323,ATK,320,801,,,,,
324,DEF,528,1057,,,,,
325,ATK,480,641,,,,,
326,,,,120003,37566,50089,28,28
327,ATK,3722,6949,,,,,
328,SPD,11117,20150,,,,,
329,ATK,5955,9926,,,,,
330,,,,120005,295777,394369,12,12
331,ATK,915,977,,,,,
332,SPD,3844,4272,,,,,
333,,,,130001,61361,81815,14,14
334,ATK,488,1221,,,,,
335,SPD,2562,5126,,,,,
336,ATK,732,977,,,,,
337,,,,130003,57270,76360,28,28
338,ATK,5674,10594,,,,,
339,SPD,21186,38400,,,,,
340,ATK,9079,15133,,,,,
341,,,,130005,450912,601216,12,12
342,ATK,1252,1337,,,,,
343,HP,18452,20503,,,,,
344,,,,140001,76359,101812,14,14
345,ATK,668,1671,,,,,
346,HP,12301,24604,,,,,
347,ATK,1002,1337,,,,,
348,,,,140003,71269,95025,28,28
349,ATK,7768,14502,,,,,
350,SPD,31639,57347,,,,,
351,ATK,12429,20717,,,,,
352,,,,140005,561126,748169,12,12
353,HP,59,64,,,,,
354,DEF,3,5,,,,,
355,,,,220000,,,8,8
356,HP,31,80,,,,,
357,DEF,2,6,,,,,
358,HP,47,64,,,,,
359,,,,220000,,,8,8
360,HP,2249,4200,,,,,
361,DEF,127,232,,,,,
362,HP,2699,4500,,,,,
363,,,,220000,,,8,8
364,HP,85,92,,,,,
365,DEF,6,8,,,,,
366,,,,220000,,,8,8
367,HP,45,115,,,,,
368,DEF,4,10,,,,,
369,HP,68,92,,,,,
370,,,,220000,,,8,8
371,HP,530,990,,,,,
372,DEF,37,69,,,,,
373,HP,848,1415,,,,,
374,,,,220000,,,8,8
375,HP,296,317,,,,,
376,DEF,17,20,,,,,
377,,,,220000,,,8,8
378,HP,158,396,,,,,
379,DEF,11,24,,,,,
380,HP,237,317,,,,,
381,,,,220000,,,8,8
382,HP,1837,3431,,,,,
383,DEF,98,178,,,,,
384,HP,2940,4902,,,,,
385,,,,220000,,,8,8
386,HP,530,566,,,,,
387,DEF,37,42,,,,,
388,,,,220000,,,8,8
389,HP,282,708,,,,,
390,DEF,25,51,,,,,
391,HP,424,566,,,,,
392,,,,220000,,,8,8
393,HP,3288,6139,,,,,
394,DEF,207,377,,,,,
395,HP,5261,8769,,,,,
396,,,,220000,,,8,8
397,HP,148,159,,,,,
398,DEF,9,11,,,,,
399,,,,220000,,,8,8
400,HP,79,198,,,,,
401,DEF,6,13,,,,,
402,HP,118,159,,,,,
403,,,,220000,,,8,8
404,HP,919,1716,,,,,
405,DEF,52,95,,,,,
406,HP,1470,2451,,,,,
407,,,,220000,,,8,8
408,HP,184,197,,,,,
409,DEF,14,17,,,,,
410,,,,220000,,,8,8
411,HP,98,246,,,,,
412,DEF,9,20,,,,,
413,HP,147,197,,,,,
414,,,,220000,,,8,8
415,HP,1143,2135,,,,,
416,DEF,81,148,,,,,
417,HP,1829,3050,,,,,
418,,,,220000,,,8,8
419,HP,787,840,,,,,
420,DEF,47,53,,,,,
421,,,,220000,,,8,8
422,HP,419,1050,,,,,
423,DEF,31,63,,,,,
424,HP,629,840,,,,,
425,,,,220000,,,8,8
426,HP,4882,9115,,,,,
427,DEF,260,472,,,,,
428,HP,7812,13021,,,,,
429,,,,220000,,,8,8
430,HP,1241,1325,,,,,
431,DEF,88,99,,,,,
432,,,,220000,,,8,8
433,HP,662,1656,,,,,
434,DEF,58,118,,,,,
435,HP,993,1325,,,,,
436,,,,220000,,,8,8
437,HP,7697,14369,,,,,
438,DEF,486,882,,,,,
439,HP,12316,20527,,,,,
440,,,,220000,,,8,8
441,HP,382,409,,,,,
442,DEF,24,28,,,,,
443,,,,220000,,,8,8
444,HP,204,511,,,,,
445,DEF,16,33,,,,,
446,HP,306,409,,,,,
447,,,,220000,,,8,8
448,HP,2372,4430,,,,,
449,DEF,134,245,,,,,
450,HP,3796,6328,,,,,
451,,,,220000,,,8,8
452,HP,469,501,,,,,
453,DEF,37,42,,,,,
454,,,,220000,,,8,8
455,HP,250,626,,,,,
456,DEF,25,51,,,,,
457,HP,375,501,,,,,
458,,,,220000,,,8,8
459,HP,2908,5430,,,,,
460,DEF,206,375,,,,,
461,HP,4653,7757,,,,,
462,,,,220000,,,8,8
463,HP,2711,2893,,,,,
464,DEF,162,181,,,,,
465,,,,220000,,,8,8
466,HP,1446,3616,,,,,
467,DEF,108,217,,,,,
468,HP,2169,2893,,,,,
469,,,,220000,,,8,8
470,HP,16815,31389,,,,,
471,DEF,896,1626,,,,,
472,HP,26904,44841,,,,,
473,,,,220000,,,8,8
474,HP,2568,2740,,,,,
475,DEF,182,203,,,,,
476,,,,220000,,,8,8
477,HP,1369,3425,,,,,
478,DEF,121,244,,,,,
479,HP,2054,2740,,,,,
480,,,,220000,,,8,8
481,HP,15926,29729,,,,,
482,DEF,1006,1825,,,,,
483,HP,25481,42470,,,,,
484,,,,220000,,,8,8
485,HP,812,867,,,,,
486,DEF,51,58,,,,,
487,,,,220000,,,8,8
488,HP,433,1084,,,,,
489,DEF,34,70,,,,,
490,HP,649,867,,,,,
491,,,,220000,,,8,8
492,HP,5037,9404,,,,,
493,DEF,286,520,,,,,
494,HP,8060,13434,,,,,
495,,,,220000,,,8,8
496,HP,933,996,,,,,
497,DEF,74,83,,,,,
498,,,,220000,,,8,8
499,HP,497,1245,,,,,
500,DEF,49,100,,,,,
501,HP,746,996,,,,,
502,,,,220000,,,8,8
503,HP,5784,10799,,,,,
504,DEF,411,746,,,,,
505,HP,9255,15427,,,,,
506,,,,220000,,,8,8
507,HP,3720,3969,,,,,
508,DEF,223,249,,,,,
509,,,,220000,,,8,8
510,HP,1984,4961,,,,,
511,DEF,148,298,,,,,
512,HP,2976,3969,,,,,
513,,,,220000,,,8,8
514,HP,23065,43056,,,,,
515,DEF,1230,2230,,,,,
516,HP,36904,61509,,,,,
517,,,,220000,,,8,8
518,HP,2989,3189,,,,,
519,DEF,212,237,,,,,
520,,,,220000,,,8,8
521,HP,1594,3986,,,,,
522,DEF,141,284,,,,,
523,HP,2391,3189,,,,,
524,,,,220000,,,8,8
525,HP,18534,34599,,,,,
526,DEF,1171,2124,,,,,
527,HP,29655,49427,,,,,
528,,,,220000,,,8,8
529,HP,1888,2015,,,,,
530,HIT,747,831,,,,,
531,,,,220000,,,8,8
532,HP,1007,2518,,,,,
533,HIT,498,998,,,,,
534,HP,1510,2015,,,,,
535,,,,220000,,,8,8
536,HP,11708,21856,,,,,
537,DEF,666,1208,,,,,
538,HP,18733,31223,,,,,
539,,,,220000,,,8,8
540,HP,2106,2248,,,,,
541,DEF,168,188,,,,,
542,,,,220000,,,8,8
543,HP,1123,2809,,,,,
544,DEF,112,225,,,,,
545,HP,1685,2248,,,,,
546,,,,220000,,,8,8
547,HP,13061,24383,,,,,
548,DEF,928,1684,,,,,
549,HP,20898,34832,,,,,
550,,,,220000,,,8,8
551,HP,3495,3729,,,,,
552,SPD,815,907,,,,,
553,,,,220000,,,8,8
554,HP,1864,4661,,,,,
555,SPD,543,1088,,,,,
556,HP,2796,3729,,,,,
557,,,,220000,,,8,8
558,HP,21672,40456,,,,,
559,DEF,1155,2096,,,,,
560,HP,34676,57795,,,,,
561,,,,220000,,,8,8
562,HP,3255,3473,,,,,
563,ATK,318,354,,,,,
564,,,,220000,,,8,8
565,HP,1736,4341,,,,,
566,ATK,212,425,,,,,
567,HP,2604,3473,,,,,
568,,,,220000,,,8,8
569,HP,20182,37674,,,,,
570,DEF,1275,2313,,,,,
571,HP,32291,53820,,,,,
572,,,,220000,,,8,8
