id,result_equipment_id,material_id,material_count,required_action_point,required_gold,required_block_index,unlock_stage,sub_recipe_id,sub_recipe_id_2,sub_recipe_id_3,required_crystal,item_sub_type
1,10110000,303000,2,0,0,5,3,373,374,375,0,Weapon
2,10111000,303000,2,0,0,5,11,1,2,3,19,Weapon
3,10112000,303000,2,0,0,5,19,4,5,6,19,Weapon
4,10113000,303000,8,0,0,155,51,7,8,9,184,Weapon
5,10114000,303000,12,0,0,477,99,10,11,12,348,Weapon
6,10120000,303001,4,0,0,37,27,376,377,378,240,Weapon
7,10121000,303001,4,0,0,45,29,13,14,15,261,Weapon
8,10122000,303001,6,0,0,89,39,16,17,18,384,Weapon
9,10123000,303001,15,0,0,1167,114,19,20,21,1272,Weapon
10,10124000,303001,24,0,0,7155,174,22,23,24,10080,Weapon
11,10130000,303002,7,0,0,241,63,379,380,381,12648,Weapon
12,10131000,303002,8,0,0,257,66,25,26,27,14592,Weapon
13,10132000,303002,9,0,0,329,78,28,29,30,16428,Weapon
14,10133000,303002,27,0,0,9807,190,31,32,33,58500,Weapon
15,10134000,303002,47,0,0,21585,204,34,35,36,111780,Weapon
16,10130001,303002,17,0,0,1482,130,382,383,384,32220,Weapon
17,10131001,303002,19,0,0,1643,138,37,38,39,41220,Weapon
18,10132001,303002,21,0,0,5190,154,40,41,42,45540,Weapon
19,10133001,303002,61,0,0,28050,220,43,44,45,144960,Weapon
20,10134001,303002,73,0,0,34302,236,46,47,48,252600,Weapon
21,10140000,303003,78,0,0,41475,999,385,386,387,9999999,Weapon
22,10141000,303003,79,0,0,42315,999,49,50,51,9999999,Weapon
23,10142000,303003,79,0,0,43215,999,52,53,54,9999999,Weapon
24,10143000,303003,79,0,0,44175,999,55,56,57,9999999,Weapon
25,10144000,303003,79,0,0,45195,999,58,59,60,9999999,Weapon
26,10140001,303003,85,0,0,60375,999,388,389,390,9999999,Weapon
27,10141001,303003,85,0,0,62115,999,61,62,63,9999999,Weapon
28,10142001,303003,86,0,0,63915,999,64,65,66,9999999,Weapon
29,10143001,303003,86,0,0,65775,999,67,68,69,9999999,Weapon
30,10144001,303003,87,0,0,67695,999,70,71,72,9999999,Weapon
31,10150000,303004,105,0,0,121875,999,391,392,393,9999999,Weapon
32,10151000,303004,106,0,0,125115,999,73,74,75,9999999,Weapon
33,10152000,303004,107,0,0,128415,999,76,77,78,9999999,Weapon
34,10153000,303004,108,0,0,131775,999,79,80,81,9999999,Weapon
35,10154000,303004,109,0,0,135195,999,82,83,84,9999999,Weapon
36,10150001,303004,117,0,0,156975,999,394,395,396,9999999,Weapon
37,10151001,303004,118,0,0,160815,999,85,86,87,9999999,Weapon
38,10152001,303004,119,0,0,164715,999,88,89,90,9999999,Weapon
39,10153001,303004,121,0,0,168675,999,91,92,93,9999999,Weapon
40,10154001,303004,122,0,0,172695,999,94,95,96,9999999,Weapon
41,10155000,303004,125,0,0,180915,999,397,398,399,9999999,Weapon
42,10210000,303100,2,0,0,5,6,400,401,402,10,Armor
43,10211000,303100,2,0,0,5,13,97,98,99,19,Armor
44,10212000,303100,3,0,0,23,24,100,101,102,27,Armor
45,10213000,303100,10,0,0,210,59,103,104,105,230,Armor
46,10214000,303100,14,0,0,1076,108,106,107,108,406,Armor
47,10220000,303101,5,0,0,70,35,403,404,405,300,Armor
48,10221000,303101,5,0,0,79,37,109,110,111,324,Armor
49,10222000,303101,7,0,0,120,45,112,113,114,453,Armor
50,10223000,303101,16,0,0,1341,123,115,116,117,1344,Armor
51,10224000,303101,26,0,0,8361,182,118,119,120,10920,Armor
52,10230000,303102,9,0,0,310,75,406,407,408,16260,Armor
53,10231000,303102,10,0,0,348,81,121,122,123,18240,Armor
54,10232000,303102,11,0,0,432,93,124,125,126,20076,Armor
55,10233000,303102,40,0,0,18426,201,127,128,129,94800,Armor
56,10234000,303102,52,0,0,23991,208,130,131,132,123240,Armor
57,10230001,303102,20,0,0,1824,146,409,410,411,37800,Armor
58,10231001,303102,22,0,0,5463,158,133,134,135,47520,Armor
