item_id,level,mimislevel
10100000,1,1
10110000,1,1
10111000,1,1
10112000,1,1
10113000,20,20
10114000,70,70
10120000,10,10
10121000,10,10
10122000,10,10
10123000,70,70
10124000,130,130
10130000,30,30
10131000,30,30
10132000,30,30
10133000,150,150
10134000,160,160
10130001,90,90
10131001,90,90
10132001,90,90
10133001,180,180
10134001,190,190
10140000,260,260
10141000,210,210
10142000,220,220
10143000,230,230
10144000,240,240
10150000,295,295
10151000,265,265
10152000,265,265
10153000,295,295
10154000,295,295
10140001,999,999
10141001,999,999
10142001,999,999
10143001,999,999
10144001,999,999
10150001,999,999
10151001,999,999
10152001,999,999
10153001,999,999
10154001,999,999
10155000,999,999
10200000,1,1
10210000,1,1
10211000,1,1
10212000,1,1
10213000,30,30
10214000,70,70
10220000,20,20
10221000,20,20
10222000,20,20
10223000,80,80
10224000,140,140
10230000,40,40
10231000,40,40
10232000,40,40
10233000,160,160
10234000,170,170
10230001,100,100
10231001,100,100
10232001,100,100
10233001,190,190
10234001,200,200
10240000,255,255
10241000,215,215
10242000,225,225
10243000,235,235
10244000,243,243
10250001,300,300
10251001,280,280
10252001,280,280
10253001,300,300
10254001,300,300
10240001,999,999
10241001,999,999
10242001,999,999
10243001,999,999
10244001,999,999
10250000,999,999
10251000,999,999
10252000,999,999
10253000,999,999
10254000,999,999
10255000,999,999
10310000,1,1
10311000,1,1
10312000,1,1
10313000,40,40
10314000,90,90
10320000,20,20
10321000,20,20
10322000,20,20
10323000,120,120
10324000,160,160
10330000,60,60
10331000,60,60
10332000,60,60
10333000,170,170
10334000,210,210
10340000,140,140
10341000,150,150
10342000,200,200
10343000,200,200
10344000,200,200
10350000,256,256
10351000,215,215
10352000,224,224
10353000,233,233
10354000,242,242
10410000,1,1
10411000,1,1
10412000,1,1
10413000,50,50
10414000,110,110
10420000,20,20
10421000,20,20
10422000,20,20
10423000,130,130
10424000,160,160
10430000,70,70
10431000,70,70
10432000,70,70
10433000,170,170
10434000,190,190
10440000,200,200
10441000,200,200
10442000,200,200
10443000,200,200
10444000,200,200
10450000,253,253
10451000,210,210
10452000,219,219
10453000,229,229
10454000,239,239
10450001,300,300
10451001,285,285
10452001,285,285
10453001,300,300
10454001,300,300
10510000,1,1
10511000,1,1
10512000,1,1
10513000,60,60
10514000,130,130
10520000,20,20
10521000,20,20
10522000,20,20
10523000,150,150
10524000,160,160
10530000,80,80
10531000,80,80
10532000,80,80
10533000,180,180
10534000,200,200
10540000,258,258
10541000,212,212
10542000,222,222
10543000,230,230
10544000,240,240
11320000,1,1
11420000,1,1
11520000,1,1
12001001,1,1
12001002,1,1
12001003,1,1
10350001,295,295
10351001,275,275
10352001,275,275
10353001,295,295
10354001,295,295
10550000,305,305
10551000,290,290
10552000,290,290
10553000,305,305
10554000,305,305
10610000,1,1
10620000,1,1
10630000,1,1
10620001,1,1
10630001,1,1
10640001,1,1
10650001,1,1
10650002,1,1
40100000,1,1
40100001,1,1
40100002,1,1
40100003,1,1
40100004,1,1
40100005,1,1
40100006,1,1
40100007,1,1
40100008,1,1
40100009,1,1
40100010,1,1
40100011,1,1
40100013,1,1
40100014,1,1
40100015,10,10
40100016,1,1
40100017,1,1
40100019,1,1
40200001,1,1
40200002,1,1
40200003,1,1
40200004,1,1
40200005,1,1
40200006,1,1
40200007,1,1
40300001,1,1
40300002,1,1
40300003,1,1
40300004,1,1
40300005,1,1
40300006,1,1
40300007,1,1
40300008,1,1
40300009,1,1
40300010,1,1
40400001,1,1
40400002,1,1
40400003,1,1
40400004,1,1
40400005,1,1
40400006,1,1
40500001,1,1
40500002,1,1
40500003,1,1
40500004,1,1
40500005,1,1
40500006,1,1
40500007,1,1
40500008,1,1
40500009,1,1
40500010,1,1
49900001,1,1
49900002,1,1
49900003,1,1
49900004,1,1
49900005,1,1
49900006,1,1
49900007,1,1
49900008,1,1
49900009,1,1
49900010,1,1
49900011,1,1
105000,1,1
105001,1,1
105002,1,1
200000,1,1
201000,1,1
201001,60,60
201002,1,1
201003,30,30
201004,60,60
201005,1,1
201006,30,30
201007,60,60
201008,80,80
201009,120,120
201010,160,160
201011,80,80
201012,120,120
201013,160,160
201014,170,170
201015,190,190
201016,220,220
201017,170,170
201018,190,190
201019,220,220
201020,170,170
201021,220,220
201022,230,230
201023,250,250
201024,270,270
201025,230,230
201026,250,250
201027,270,270
201028,280,280
201029,300,300
201030,320,320
201031,280,280
201032,300,300
201033,320,320
900101,1,1
900102,1,1
900103,1,1
500000,1,1
400000,1,1
900104,1,1
900105,1,1
900106,1,1
