id,group,_name,chance,duration,target_type,stat_type,modify_type,modify_value,is_enhanceable
101000,101000,체력 강화,20,10,Self,HP,Percentage,50,true
101001,101000,체력 강화,100,25,Self,HP,Percentage,50,true
102000,102000,공격 강화,20,10,Self,ATK,Percentage,25,true
102001,102000,공격 강화,100,25,Self,ATK,Percentage,50,true
102002,102000,공격 강화,100,10,Self,ATK,Percentage,25,true
102003,102000,ATK UP (Stat conversion),100,10,Self,ATK,Add,0,true
102004,102004,Double edged sword (ATK),100,20,Self,ATK,Percentage,30,true
103000,103000,방어 강화,20,10,Self,DEF,Percentage,25,true
103001,103000,방어 강화,100,25,Self,DEF,Percentage,50,true
103002,103000,방어 강화,100,10,Self,DEF,Percentage,25,true
103003,103000,DEF UP (Stat conversion),100,10,Self,DEF,Add,0,true
104000,104000,치명 증가,20,10,Self,CRI,Percentage,50,true
104001,104000,치명 증가,100,25,Self,CRI,Percentage,75,true
104002,104000,치명 증가,100,10,Self,CRI,Percentage,25,true
104003,104003,Frenzied CRI(Self) Lv1,100,20,Self,CRI,Percentage,0,true
104004,104003,Frenzied CRI(Self) LV2,100,20,Self,CRI,Percentage,0,true
104005,104003,Frenzied CRI(Self) Lv3,100,20,Self,CRI,Percentage,0,true
105000,105000,회피 증가,20,10,Self,HIT,Percentage,50,true
105001,105000,회피 증가,100,25,Self,HIT,Percentage,75,true
105002,105000,회피 증가,100,10,Self,HIT,Percentage,25,true
105003,105003,회피증가 (아우라),100,20,Self,HIT,Percentage,0,true
106000,106000,속도 증가,20,10,Self,SPD,Percentage,50,true
106001,106000,속도 증가,100,25,Self,SPD,Percentage,75,true
106002,106000,속도 증가,100,10,Self,SPD,Percentage,25,true
107000,107000,Armor Penetration (Stat conversion),100,10,Self,ArmorPenetration,Add,0,true
108000,108000,Thorn (Stat conversion),100,10,Self,Thorn,Add,0,true
202000,202000,공격 약화,20,10,Enemy,ATK,Percentage,-25,true
202001,202000,공격 약화,100,10,Enemy,ATK,Percentage,-25,true
202002,202000,ATK Down (Stat conversion),100,10,Enemy,ATK,Add,0,true
202003,202000,ATK ALL Down (Stat conversion),100,6,Enemies,ATK,Add,0,true
202004,202004,ATK Down (Aegis Aura),100,30,Enemy,ATK,Percentage,0,true
203001,203000,방어 약화,100,10,Enemy,DEF,Percentage,-25,true
203002,203000,DEF Down (Stat conversion),100,10,Enemy,DEF,Add,0,true
203003,203003,Double edged sword (DEF),100,20,Self,DEF,Percentage,-20,false
204001,204000,치명 감소,100,10,Enemy,CRI,Percentage,-25,true
204002,204002,Frenzied CRI(Enemy) Lv1,100,20,Enemies,CRI,Percentage,-50,false
204003,204002,Frenzied CRI(Enemy) Lv2_3,100,20,Enemies,CRI,Percentage,-500,false
205001,205000,회피 감소,100,10,Enemy,HIT,Percentage,-25,true
205002,205000,HIT Down (Stat conversion),100,10,Enemy,HIT,Add,0,true
206001,206000,속도 감소,100,10,Enemy,SPD,Percentage,-25,true
206002,206000,SPD Down (Stat conversion),100,10,Enemy,SPD,Add,0,true
301000,301000,체력 강화 (10),100,150,Self,HP,Percentage,10,true
302000,302000,공격 강화 (2),100,150,Self,ATK,Percentage,2,true
302001,302000,공격 강화 (2),100,150,Self,ATK,Percentage,2,true
302002,302000,공격 강화 (3),100,150,Self,ATK,Percentage,3,true
302003,302000,공격 강화 (6),100,150,Self,ATK,Percentage,6,true
302004,302000,공격 강화 (3),100,150,Self,ATK,Percentage,3,true
302005,302000,공격 강화 (5),100,150,Self,ATK,Percentage,5,true
302006,302000,공격 강화 (8),100,150,Self,ATK,Percentage,8,true
302007,302000,S 올스텟,100,150,Self,ATK,Percentage,20,true
302008,302000,S 공격력2,100,150,Self,ATK,Percentage,35,true
302009,302000,공격 강화 (18),100,150,Self,ATK,Percentage,18,true
302010,302000,SS 올스탯,100,150,Self,ATK,Percentage,50,true
302011,302000,S 공격력1,100,150,Self,ATK,Percentage,60,true
302012,302000,SS 공격력,100,150,Self,ATK,Percentage,90,true
303000,303000,방어 강화 (2),100,150,Self,DEF,Percentage,2,true
303001,303000,방어 강화 (2),100,150,Self,DEF,Percentage,2,true
303002,303000,방어 강화 (3),100,150,Self,DEF,Percentage,3,true
303003,303000,방어 강화 (6),100,150,Self,DEF,Percentage,6,true
303004,303000,방어 강화 (3),100,150,Self,DEF,Percentage,3,true
303005,303000,방어 강화 (5),100,150,Self,DEF,Percentage,5,true
303006,303000,방어 강화 (8),100,150,Self,DEF,Percentage,8,true
303007,303000,S 올스텟,100,150,Self,DEF,Percentage,20,true
303008,303000,S 방어력2,100,150,Self,DEF,Percentage,35,true
303009,303000,방어 강화 (18),100,150,Self,DEF,Percentage,18,true
