level,required_gold,item_id,rate,type,currency_ticker,currency_decimal_places,decimal_rate
1,50,400000,,Item,,,10
1,50,500000,,Item,,,800
1,50,20001,,Rune,,,6000
2,500,400000,,Item,,,4
2,500,500000,,Item,,,600
2,500,20001,,Rune,,,6000
2,500,,,Currency,CRYSTAL,18,0.1
3,5000,400000,,Item,,,2
3,5000,500000,,Item,,,400
3,5000,20001,,Rune,,,6000
3,5000,,,Currency,CRYSTAL,18,0.1
4,50000,400000,,Item,,,2
4,50000,500000,,Item,,,400
4,50000,20001,,Rune,,,6000
4,50000,,,Currency,CRYSTAL,18,0.1
5,500000,400000,,Item,,,1
5,500000,500000,,Item,,,200
5,500000,20001,,Rune,,,3000
5,500000,,,Currency,CRYSTAL,18,0.05
6,5000000,400000,,Item,,,1
6,5000000,500000,,Item,,,200
6,5000000,20001,,Rune,,,3000
6,5000000,800201,,Item,,,100
6,5000000,,,Currency,CRYSTAL,18,0.05
7,10000000,400000,,Item,,,0.4
7,10000000,500000,,Item,,,80
7,10000000,20001,,Rune,,,1200
7,10000000,600201,,Item,,,5
7,10000000,800201,,Item,,,1
7,10000000,,,Currency,GARAGE,18,100
7,10000000,,,Currency,CRYSTAL,18,0.01
