id,item_id,ratio,min,max,required_level
1,302000,0.1,1,2,1
2,302001,0.1,1,2,1
3,302002,0.06,1,2,1
4,302003,0.2,2,4,1
5,302005,0.1,1,2,1
6,700001,0.08,1,1,1
7,302004,0.3,1,2,55
8,302006,0.3,1,1,85
9,700001,0.01,1,1,85
10,302008,0.4,2,3,120
11,302000,0.2,1,2,120
12,302005,0.2,1,2,120
13,700001,0.06,1,1,120
14,302010,0.3,2,3,160
15,700001,0.04,1,1,160
16,302011,0.15,2,2,200
17,306056,0.3,1,1,200
18,700001,0.03,1,1,200
19,302012,0.3,2,4,210
20,302014,0.4,1,2,210
21,302015,0.4,1,2,210
22,302016,0.15,1,2,210
23,700001,0.1,1,1,210
24,302017,0.3,1,2,230
25,700001,0.02,1,2,230
26,302018,0.15,1,2,250
