boss_id,wave,skill_ids
900001,1,"100000,100000,100000,500002"
900001,2,"100000,100000,100003,100000,500002"
900001,3,"100000,100003,100000,500001,100001,220002"
900001,4,"100000,100003,100000,500001,500002,220002,500003"
900001,5,"100000,100003,100000,500001,100001,220002,500003"
900002,1,"100000,100000,100000,500002"
900002,2,"100000,100000,100003,100000,500002"
900002,3,"100000,100003,100000,500001,100001,220002"
900002,4,"100000,100003,100000,500001,100001,220002,500003"
900002,5,"100000,100003,100000,500001,100001,220002,500003"
