boss_id,wave,turn_limit,enrage_turn,enrage_skillId,elemental_type,level,hp,atk,def,cri,hit,spd
900001,1,150,20,510001,Wind,100,40000,365,97,4,879,1459
900001,2,200,25,510002,Wind,150,120000,1161,226,4,3521,3985
900001,3,250,50,510003,Wind,200,500000,3998,358,4,10098,6763
900001,4,300,80,510004,Wind,250,1450000,9025,899,4,17688,19110
900001,5,350,60,510005,Wind,300,5176470,21728,2080,4,29542,27665
900002,1,150,80,510001,Fire,100,30000,100,10,5,90,50
900002,2,150,80,510001,Fire,150,75000,200,20,5,90,50
900002,3,150,80,510001,Fire,200,200000,300,30,5,90,50
900002,4,150,80,510001,Fire,250,500000,400,40,5,90,50
900002,5,150,80,510001,Fire,300,1250000,500,50,5,90,50
