level,hp
1,10866480
2,21732960
3,32599440
4,43465920
5,54332400
6,65198880
7,76065360
8,86931840
9,97798320
10,108664800
11,119531280
12,130397760
13,141264240
14,152130720
15,162997200
16,173863680
17,184730160
18,195596640
19,206463120
20,217329600
21,228196080
22,239062560
23,249929040
24,260795520
25,271662000
26,282528480
27,293394960
28,304261440
29,315127920
30,325994400
31,336860880
32,347727360
33,358593840
34,369460320
35,380326800
36,391193280
37,402059760
38,412926240
39,423792720
40,434659200
41,445525680
42,456392160
43,467258640
44,478125120
45,488991600
46,499858080
47,510724560
48,521591040
49,532457520
50,543324000
