id,boss_id,ranking_min,ranking_max,rate_min,rate_max,rune_1_id,rune_1_qty,rune_2_id,rune_2_qty,rune_3_id,rune_3_qty,crystal
1,900001,1,1,0,0,10001,3500,10002,1200,10003,300,1000000
2,900001,2,2,0,0,10001,2200,10002,650,10003,150,750000
3,900001,3,3,0,0,10001,1450,10002,450,10003,100,500000
4,900001,4,10,0,0,10001,1000,10002,330,10003,70,250000
5,900001,11,100,0,0,10001,560,10002,150,10003,40,150000
6,900001,0,0,1,30,10001,370,10002,105,10003,25,100000
7,900001,0,0,31,50,10001,230,10002,60,10003,10,50000
8,900001,0,0,51,70,10001,75,10002,20,10003,5,25000
9,900001,0,0,71,100,10001,40,10002,10,0,0,15000
10,900002,1,1,0,0,10011,3500,10012,1200,10013,300,1000000
11,900002,2,2,0,0,10011,2200,10012,650,10013,150,750000
12,900002,3,3,0,0,10011,1450,10012,450,10013,100,500000
13,900002,4,10,0,0,10011,1000,10012,330,10013,70,250000
14,900002,11,100,0,0,10011,560,10012,150,10013,40,150000
15,900002,0,0,1,30,10011,370,10012,105,10013,25,100000
16,900002,0,0,31,50,10011,230,10012,60,10013,10,50000
17,900002,0,0,51,70,10011,75,10012,20,10013,5,25000
18,900002,0,0,71,100,10011,40,10012,10,0,0,15000
