stage_id,background,bgm
1,chapter_1_1,bgm_stage_green
2,chapter_1_2,bgm_stage_orange
3,chapter_1_3,bgm_stage_blue
4,chapter_1_1,bgm_stage_green
5,chapter_1_2,bgm_stage_orange
6,chapter_1_3,bgm_stage_blue
7,chapter_1_1,bgm_stage_green
8,chapter_1_2,bgm_stage_orange
9,chapter_1_3,bgm_stage_blue
10,chapter_1_1,bgm_stage_green
11,chapter_1_2,bgm_stage_orange
12,chapter_1_3,bgm_stage_blue
13,chapter_1_1,bgm_stage_green
14,chapter_1_2,bgm_stage_orange
15,chapter_1_3,bgm_stage_blue
16,chapter_1_1,bgm_stage_green
17,chapter_1_2,bgm_stage_orange
18,chapter_1_3,bgm_stage_blue
19,chapter_1_1,bgm_stage_green
20,chapter_1_2,bgm_stage_orange
21,chapter_1_3,bgm_stage_blue
22,chapter_1_1,bgm_stage_green
23,chapter_1_2,bgm_stage_orange
24,chapter_1_3,bgm_stage_blue
25,chapter_1_1,bgm_stage_green
26,chapter_1_2,bgm_stage_orange
27,chapter_1_3,bgm_stage_blue
28,chapter_1_1,bgm_stage_green
29,chapter_1_2,bgm_stage_orange
30,chapter_1_3,bgm_stage_blue
31,chapter_1_1,bgm_stage_green
32,chapter_1_2,bgm_stage_orange
33,chapter_1_3,bgm_stage_blue
34,chapter_1_1,bgm_stage_green
35,chapter_1_2,bgm_stage_orange
36,chapter_1_3,bgm_stage_blue
37,chapter_1_1,bgm_stage_green
38,chapter_1_2,bgm_stage_orange
39,chapter_1_3,bgm_stage_blue
40,chapter_1_1,bgm_stage_green
41,chapter_1_2,bgm_stage_orange
42,chapter_1_3,bgm_stage_blue
43,chapter_1_1,bgm_stage_green
44,chapter_1_2,bgm_stage_orange
45,chapter_1_3,bgm_stage_blue
46,chapter_1_1,bgm_stage_green
47,chapter_1_2,bgm_stage_orange
48,chapter_1_3,bgm_stage_blue
49,chapter_1_1,bgm_stage_green
50,chapter_1_2,bgm_stage_orange
51,chapter_2_1,bgm_stage_green
52,chapter_2_2,bgm_stage_orange
53,chapter_2_3,bgm_stage_blue
54,chapter_2_1,bgm_stage_green
55,chapter_2_2,bgm_stage_orange
56,chapter_2_3,bgm_stage_blue
57,chapter_2_1,bgm_stage_green
58,chapter_2_2,bgm_stage_orange
59,chapter_2_3,bgm_stage_blue
60,chapter_2_1,bgm_stage_green
61,chapter_2_2,bgm_stage_orange
62,chapter_2_3,bgm_stage_blue
63,chapter_2_1,bgm_stage_green
64,chapter_2_2,bgm_stage_orange
65,chapter_2_3,bgm_stage_blue
66,chapter_2_1,bgm_stage_green
67,chapter_2_2,bgm_stage_orange
68,chapter_2_3,bgm_stage_blue
69,chapter_2_1,bgm_stage_green
70,chapter_2_2,bgm_stage_orange
71,chapter_2_3,bgm_stage_blue
72,chapter_2_1,bgm_stage_green
73,chapter_2_2,bgm_stage_orange
74,chapter_2_3,bgm_stage_blue
75,chapter_2_1,bgm_stage_green
76,chapter_2_2,bgm_stage_orange
77,chapter_2_3,bgm_stage_blue
78,chapter_2_1,bgm_stage_green
79,chapter_2_2,bgm_stage_orange
80,chapter_2_3,bgm_stage_blue
81,chapter_2_1,bgm_stage_green
82,chapter_2_2,bgm_stage_orange
83,chapter_2_3,bgm_stage_blue
84,chapter_2_1,bgm_stage_green
85,chapter_2_2,bgm_stage_orange
86,chapter_2_3,bgm_stage_blue
87,chapter_2_1,bgm_stage_green
88,chapter_2_2,bgm_stage_orange
89,chapter_2_3,bgm_stage_blue
90,chapter_2_1,bgm_stage_green
91,chapter_2_2,bgm_stage_orange
92,chapter_2_3,bgm_stage_blue
93,chapter_2_1,bgm_stage_green
94,chapter_2_1,bgm_stage_green
95,chapter_2_2,bgm_stage_orange
96,chapter_2_3,bgm_stage_blue
97,chapter_2_1,bgm_stage_green
98,chapter_2_2,bgm_stage_orange
99,chapter_2_3,bgm_stage_blue
100,chapter_2_1,bgm_stage_green
101,chapter_3_1,bgm_stage_green
102,chapter_3_2,bgm_stage_orange
103,chapter_3_3,bgm_stage_blue
104,chapter_3_1,bgm_stage_green
105,chapter_3_2,bgm_stage_orange
106,chapter_3_3,bgm_stage_blue
107,chapter_3_1,bgm_stage_green
108,chapter_3_2,bgm_stage_orange
109,chapter_3_3,bgm_stage_blue
110,chapter_3_1,bgm_stage_green
111,chapter_3_2,bgm_stage_orange
112,chapter_3_3,bgm_stage_blue
113,chapter_3_1,bgm_stage_green
114,chapter_3_2,bgm_stage_orange
115,chapter_3_3,bgm_stage_blue
116,chapter_3_1,bgm_stage_green
117,chapter_3_2,bgm_stage_orange
118,chapter_3_3,bgm_stage_blue
119,chapter_3_1,bgm_stage_green
120,chapter_3_2,bgm_stage_orange
121,chapter_3_3,bgm_stage_blue
122,chapter_3_1,bgm_stage_green
123,chapter_3_2,bgm_stage_orange
124,chapter_3_3,bgm_stage_blue
125,chapter_3_1,bgm_stage_green
126,chapter_3_2,bgm_stage_orange
127,chapter_3_3,bgm_stage_blue
128,chapter_3_1,bgm_stage_green
129,chapter_3_2,bgm_stage_orange
130,chapter_3_3,bgm_stage_blue
131,chapter_3_1,bgm_stage_green
132,chapter_3_2,bgm_stage_orange
133,chapter_3_3,bgm_stage_blue
134,chapter_3_1,bgm_stage_green
135,chapter_3_2,bgm_stage_orange
136,chapter_3_3,bgm_stage_blue
137,chapter_3_1,bgm_stage_green
138,chapter_3_2,bgm_stage_orange
139,chapter_3_3,bgm_stage_blue
140,chapter_3_1,bgm_stage_green
141,chapter_3_2,bgm_stage_orange
142,chapter_3_3,bgm_stage_blue
143,chapter_3_1,bgm_stage_green
144,chapter_3_2,bgm_stage_orange
145,chapter_3_3,bgm_stage_blue
146,chapter_3_1,bgm_stage_green
147,chapter_3_2,bgm_stage_orange
148,chapter_3_3,bgm_stage_blue
149,chapter_3_1,bgm_stage_green
150,chapter_3_2,bgm_stage_orange
10001,chapter_99_1,bgm_hard1
10002,chapter_99_1,bgm_hard2
