level,exp,exp_need
1,0,15
2,15,30
3,45,55
4,100,100
5,200,100
6,300,100
7,400,100
8,500,100
9,600,100
10,700,100
11,800,100
12,900,100
13,1000,100
14,1100,100
15,1200,100
16,1300,100
17,1400,100
18,1500,100
19,1600,100
20,1700,100
21,1800,100
22,1900,100
23,2000,100
24,2100,100
25,2200,100
26,2300,100
27,2400,100
28,2500,100
29,2600,100
30,2700,100
31,2800,100
32,2900,100
33,3000,100
34,3100,100
35,3200,100
36,3300,100
37,3400,100
38,3500,100
39,3600,100
40,3700,100
41,3800,100
42,3900,100
43,4000,100
44,4100,100
45,4200,100
46,4300,100
47,4400,100
48,4500,100
49,4600,100
50,4700,100
51,4800,100
52,4900,100
53,5000,100
54,5100,100
55,5200,100
56,5300,100
57,5400,100
58,5500,100
59,5600,100
60,5700,100
61,5800,100
62,5900,100
63,6000,100
64,6100,100
65,6200,100
66,6300,100
67,6400,100
68,6500,100
69,6600,100
70,6700,100
71,6800,100
72,6900,100
73,7000,100
74,7100,100
75,7200,100
76,7300,100
77,7400,100
78,7500,100
79,7600,100
80,7700,100
81,7800,100
82,7900,100
83,8000,100
84,8100,100
85,8200,100
86,8300,100
87,8400,100
88,8500,100
89,8600,100
90,8700,100
91,8800,100
92,8900,100
93,9000,100
94,9100,100
95,9200,100
96,9300,100
97,9400,100
98,9500,100
99,9600,100
100,9700,100
101,9800,100
102,9900,100
103,10000,100
104,10100,100
105,10200,100
106,10300,100
107,10400,100
108,10500,100
109,10600,100
110,10700,100
111,10800,100
112,10900,100
113,11000,100
114,11100,100
115,11200,100
116,11300,100
117,11400,100
118,11500,100
119,11600,100
120,11700,100
121,11800,100
122,11900,100
123,12000,100
124,12100,100
125,12200,100
126,12300,100
127,12400,100
128,12500,100
129,12600,100
130,12700,100
131,12800,100
132,12900,100
133,13000,100
134,13100,100
135,13200,100
136,13300,100
137,13400,100
138,13500,100
139,13600,100
140,13700,100
141,13800,100
142,13900,100
143,14000,100
144,14100,100
145,14200,100
146,14300,100
147,14400,100
148,14500,100
149,14600,100
150,14700,100
151,14800,100
152,14900,100
153,15000,100
154,15100,100
155,15200,100
156,15300,100
157,15400,100
158,15500,100
159,15600,100
160,15700,100
161,15800,100
162,15900,100
163,16000,100
164,16100,100
165,16200,100
166,16300,100
167,16400,100
168,16500,100
169,16600,100
170,16700,100
171,16800,100
172,16900,100
173,17000,100
174,17100,100
175,17200,100
176,17300,100
177,17400,100
178,17500,100
179,17600,100
180,17700,100
181,17800,100
182,17900,100
183,18000,100
184,18100,100
185,18200,100
186,18300,100
187,18400,100
188,18500,100
189,18600,100
190,18700,100
191,18800,100
192,18900,100
193,19000,100
194,19100,100
195,19200,100
196,19300,100
197,19400,100
198,19500,100
199,19600,100
200,19700,100
201,19800,500
202,20300,300
203,20600,300
204,20900,300
205,21200,300
206,21500,300
207,21800,300
208,22100,300
209,22400,300
210,22700,300
211,23000,1000
212,24000,1000
213,25000,1000
214,26000,1000
215,27000,1000
216,28000,1000
217,29000,1000
218,30000,1000
219,31000,1000
220,32000,1000
221,33000,1000
222,34000,1000
223,35000,1000
224,36000,1000
225,37000,1000
226,38000,1000
227,39000,1000
228,40000,1000
229,41000,1000
230,42000,1000
231,43000,1000
232,44000,1000
233,45000,1000
234,46000,1000
235,47000,1000
236,48000,1000
237,49000,1000
238,50000,1000
239,51000,1000
240,52000,1000
241,53000,1000
242,54000,1000
243,55000,1000
244,56000,1000
245,57000,1000
246,58000,1000
247,59000,1000
248,60000,1000
249,61000,1000
250,62000,1000
251,63000,1000
252,64000,1000
253,65000,1000
254,66000,1000
255,67000,1000
256,68000,1000
257,69000,1000
258,70000,1000
259,71000,1000
260,72000,1000
261,73000,1000
262,74000,1000
263,75000,1000
264,76000,1000
265,77000,1000
266,78000,1000
267,79000,1000
268,80000,1000
269,81000,1000
270,82000,1000
271,83000,1000
272,84000,1000
273,85000,1000
274,86000,1000
275,87000,1000
276,88000,1000
277,89000,1000
278,90000,1000
279,91000,1000
280,92000,1000
281,93000,1000
282,94000,1000
283,95000,1000
284,96000,1000
285,97000,1000
286,98000,1000
287,99000,1000
288,100000,1000
289,101000,1000
290,102000,1000
291,103000,1000
292,104000,1000
293,105000,1000
294,106000,1000
295,107000,1000
296,108000,1000
297,109000,1000
298,110000,1000
299,111000,1000
300,112000,1000
301,113000,1000
302,114000,1000
303,115000,1000
304,116000,1000
305,117000,1000
306,118000,1000
307,119000,1000
308,120000,1000
309,121000,1000
310,122000,1000
311,123000,1000
312,124000,1000
313,125000,1000
314,126000,1000
315,127000,1000
316,128000,1000
317,129000,1000
318,130000,1000
319,131000,1000
320,132000,1000
321,133000,1000
322,134000,1000
323,135000,1000
324,136000,1000
325,137000,1000
326,138000,1000
327,139000,1000
328,140000,1000
329,141000,1000
330,142000,1000
331,143000,1000
332,144000,1000
333,145000,1000
334,146000,1000
335,147000,1000
336,148000,1000
337,149000,1000
338,150000,1000
339,151000,1000
340,152000,1000
341,153000,1000
342,154000,1000
343,155000,1000
344,156000,1000
345,157000,1000
346,158000,1000
347,159000,1000
348,160000,1000
349,161000,1000
350,162000,1000
351,163000,1000
352,164000,1000
353,165000,1000
