id,_name,size_type,elemental_type,hp,atk,def,cri,hit,spd,lv_hp,lv_atk,lv_def,lv_cri,lv_hit,lv_spd,attack_range,run_speed
100010,전사,S,0,300,20,20,10,90,70,12,0.8,0.8,0,3.6,2.8,2,3
100110,궁수,S,0,100,78,28,7,50,15,4,3.12,1.12,0,2,0.6,2,3
100210,법사,S,0,100,80,29,7,50,15,4,3.2,1.16,0,2,0.6,1,3
201000,이그드라실의 씨앗,XS,2,40,24,6,4,90,15,1.6,0.96,0.24,0,3.6,0.6,0.8,1.2
201001,이그드라실의 새싹,XS,2,35,20,6,4,90,20,1.4,0.8,0.24,0,3.6,0.8,1,1
201002,이그드라실의 새싹,XS,2,50,28,6,4,90,10,2,1.12,0.24,0,3.6,0.4,0.75,1
201003,이그드라실의 꽃,S,2,375,30,4,4,90,15,15,1.2,0.16,0,3.6,0.6,2,0.5
201004,이그드라실의 열매,XS,2,50,20,10,4,90,15,2,0.8,0.4,0,3.6,0.6,1.5,0.8
201005,이그드라실의 모종,S,2,750,48,7,4,90,8,30,1.92,0.28,0,3.6,0.32,3,0.3
201006,이그드라실의 덩굴,L,3,75,34,5,4,90,9,3,1.36,0.2,0,3.6,0.36,2,0.8
201007,이그드라실의 버섯포자,L,3,150,45,8,4,90,5,6,1.8,0.32,0,3.6,0.2,4,0.5
201008,이그드라실의 덤불,M,3,375,48,7,4,90,5,15,1.92,0.28,0,3.6,0.2,2.5,0.5
202000,여우부족 졸개,S,3,38,22,5,4,90,15,1.52,0.88,0.2,0,3.6,0.6,1,1
202001,여우부족 훈련병,S,3,62,28,4,4,90,11,2.48,1.12,0.16,0,3.6,0.44,1.3,0.8
202002,여우부족 도적,M,3,75,32,7,4,90,7,3,1.28,0.28,0,3.6,0.28,1.5,0.8
202003,여우부족 전사,M,3,75,34,5,4,90,9,3,1.36,0.2,0,3.6,0.36,2,0.8
202004,여우부족 주술사,L,3,150,45,8,4,90,5,6,1.8,0.32,0,3.6,0.2,4,0.5
202005,여우부족 견습 마법사,M,3,100,30,4,4,90,11,4,1.2,0.16,0,3.6,0.44,3,0.5
202006,여우부족 마도사,L,3,375,48,7,4,90,5,15,1.92,0.28,0,3.6,0.2,2.5,0.5
202007,여우부족 대장,XL,3,750,90,7,4,90,5,30,3.6,0.28,0,3.6,0.2,4,0.2
203000,돼지부족 졸개,XS,1,25,24,12,4,90,20,1,0.96,0.48,0,3.6,0.8,2,1
203001,돼지부족 훈련병,S,1,75,28,4,4,90,12,3,1.12,0.16,0,3.6,0.48,1,0.8
203002,돼지부족 견습 법사,M,1,100,32,4,4,90,5,4,1.28,0.16,0,3.6,0.2,1.5,0.5
203003,돼지부족 전사,M,1,150,36,5,4,90,8,6,1.44,0.2,0,3.6,0.32,2,0.5
203004,돼지부족 성기사,M,1,150,32,5,4,90,8,6,1.28,0.2,0,3.6,0.32,2.4,0.3
203005,돼지부족 도살자,L,1,225,45,8,4,90,5,9,1.8,0.32,0,3.6,0.2,2.7,0.3
203006,돼지부족 마도사,L,1,375,48,7,4,90,5,15,1.92,0.28,0,3.6,0.2,3,0.3
203007,제림니르,XL,1,875,48,7,4,90,8,35,1.92,0.28,0,3.6,0.32,4,0.3
204000,이그드라실의 부산물,S,0,35,23,4,4,90,15,1.4,0.92,0.16,0,3.6,0.6,1,0.2
204010,이그드라실의 부산물,XS,0,25,22,0,4,90,15,1,0.88,0,0,3.6,0.6,1.5,0.2
204020,이그드라실의 부산물,M,0,38,27,7,4,90,15,1.52,1.08,0.28,0,3.6,0.6,2.5,0.5
204001,이그드라실의 부산물(대지),S,3,33,24,5,4,90,10,1.32,0.96,0.2,0,3.6,0.4,1,0.3
204011,이그드라실의 부산물(대지),XS,3,25,28,0,4,90,15,1,1.12,0,0,3.6,0.6,1.5,0.3
204021,이그드라실의 부산물(대지),M,3,88,25,0,4,90,5,3.52,1,0,0,3.6,0.2,2.5,0.5
204002,이그드라실의 부산물(불),S,1,35,25,4,4,90,15,1.4,1,0.16,0,3.6,0.6,1,0.6
204012,이그드라실의 부산물(불),XS,1,23,25,0,4,90,15,0.92,1,0,0,3.6,0.6,1.5,0.6
204022,이그드라실의 부산물(불),M,1,55,28,0,4,90,5,2.2,1.12,0,0,3.6,0.2,2.5,0.5
204003,이그드라실의 부산물(바람),S,4,35,25,4,4,90,15,1.4,1,0.16,0,3.6,0.6,1,0.6
204013,이그드라실의 부산물(바람),XS,4,33,25,0,4,90,15,1.32,1,0,0,3.6,0.6,1.5,0.6
204023,이그드라실의 부산물(바람),M,4,55,28,0,4,90,5,2.2,1.12,0,0,3.6,0.2,2.5,0.5
204004,이그드라실의 부산물(물),S,2,33,24,5,4,90,10,1.32,0.96,0.2,0,3.6,0.4,1,0.3
204014,이그드라실의 부산물(물),XS,2,25,28,0,4,90,15,1,1.12,0,0,3.6,0.6,1.5,0.3
204024,이그드라실의 부산물(물),M,2,88,25,0,4,90,5,3.52,1,0,0,3.6,0.2,2.5,0.5
205000,분노의 정령,S,4,75,34,5,4,90,9,12,1.36,0.8,0,3.6,0.36,1,1
205001,견습 영혼 기사,XS,4,50,28,6,4,90,10,8,1.12,0.96,0,3.6,0.4,1,1
205003,분노의 영혼 기사,M,4,375,48,8,4,90,5,60,1.92,1.2,0,3.6,0.2,3,0.5
205004,칼날 전사,M,4,100,32,4,4,90,5,16,1.28,0.64,0,3.6,0.2,1,1
205005,켄타우로스,L,4,500,36,8,4,90,5,80,1.44,1.28,0,3.6,0.2,1,1
205007,펜리르,XL,4,3000,48,12,4,90,15,500,1.92,1.92,0,3.6,0.6,4,0.5
