id,_name,size_type,elemental_type,hp,atk,def,cri,hit,spd,lv_hp,lv_atk,lv_def,lv_cri,lv_hit,lv_spd,attack_range,run_speed
100010,전사,S,0,50,9,2,7,80,100,15,4,4,0.1,0,2,2,3
100110,궁수,S,0,131,78,28,7,80,75,84,55,26,0.2,0,0,2,3
100210,법사,S,0,129,80,29,7,80,75,82,57,25,0.2,0,0,1,3
201000,이그드라실의 씨앗,XS,2,14,3,3,4,50,42,8,5,7,0.05,0,0,0.8,1.2
201001,이그드라실의 새싹,XS,2,16,4,3,4,50,42,10,5,7,0.05,0,0,1,1
201002,이그드라실의 새싹,XS,2,19,5,3,4,50,42,8,4,8,0.05,0,0,0.75,1
201003,이그드라실의 꽃,S,2,100,12,15,6,50,42,10,4,8,0.05,0,0,2,0.5
201004,이그드라실의 열매,XS,2,20,6,5,4,50,42,9,4,7,0.05,0,0,1.5,0.8
201005,이그드라실의 모종,S,2,200,12,200,6,50,42,10,10,20,0.05,0,0,3,0.3
202000,여우부족 졸개,S,3,25,8,5,4,50,42,21,10,20,0.05,0,0,1,1
202001,여우부족 훈련병,S,3,35,8,6,4,50,42,24,13,25,0.05,0,0,1.3,0.8
202002,여우부족 도적,M,3,40,9,7,4,50,42,25,12,20,0.05,0,0,1.5,0.8
202003,여우부족 전사,M,3,40,9,5,4,50,42,26,12,25,0.05,0,0,2,0.8
202004,여우부족 주술사,L,3,40,5,100,6,50,42,30,10,15,0.05,0,0,4,0.5
202005,여우부족 견습 마법사,M,3,25,10,100,4,50,42,24,10,25,0.05,0,0,3,0.5
202006,여우부족 마도사,L,3,40,5,100,4,50,42,23,10,25,0.05,0,0,2.5,0.5
202007,여우부족 대장,XL,3,150,30,250,6,50,42,35,25,35,0.05,0,0,4,0.2
203000,돼지부족 졸개,XS,1,20,12,10,6,50,42,26,18,18,0.05,0,0,2,1
203001,돼지부족 훈련병,S,1,20,12,10,6,50,42,28,20,19,0.05,0,0,1,0.8
203002,돼지부족 견습 법사,M,1,20,12,10,6,50,42,26,22,23,0.05,0,0,1.5,0.5
203003,돼지부족 전사,M,1,20,12,10,6,50,42,30,26,23,0.05,0,0,2,0.5
203004,돼지부족 성기사,M,1,20,12,10,6,50,42,33,17,35,0.05,0,0,2.4,0.3
203005,돼지부족 도살자,L,1,20,12,10,6,50,42,27,30,27,0.05,0,0,2.7,0.3
203006,돼지부족 마도사,L,1,20,12,10,6,50,42,30,20,25,0.05,0,0,3,0.3
203007,제림니르,XL,1,300,12,10,6,50,42,40,30,35,0.05,0,0,4,0.3
204000,이그드라실의 부산물,S,0,14,3,2,4,50,42,10,3,4,0.05,0,0,1,0.2
204010,이그드라실의 부산물,XS,0,8,3,0,2,50,42,8,3,3,0.05,0,0,1.5,0.2
204020,이그드라실의 부산물,M,0,20,12,10,6,50,42,12,8,9,0.05,0,0,2.5,0.5
204001,이그드라실의 부산물(대지),S,3,13,3,2,4,50,42,10,5,5,0.05,0,0,1,0.3
204011,이그드라실의 부산물(대지),XS,3,7,3,0,2,50,42,8,5,4,0.05,0,0,1.5,0.3
204021,이그드라실의 부산물(대지),M,3,20,12,10,6,50,42,15,10,10,0.05,0,0,2.5,0.5
204002,이그드라실의 부산물(불),S,1,14,3,2,4,50,42,10,5,5,0.05,0,0,1,0.6
204012,이그드라실의 부산물(불),XS,1,8,3,0,2,50,42,8,5,4,0.05,0,0,1.5,0.6
204022,이그드라실의 부산물(불),M,1,20,12,10,6,50,42,15,10,10,0.05,0,0,2.5,0.5
204003,이그드라실의 부산물(바람),S,4,14,3,2,4,50,42,10,5,5,0.05,0,0,1,0.6
204013,이그드라실의 부산물(바람),XS,4,9,3,0,2,50,42,8,5,4,0.05,0,0,1.5,0.6
204023,이그드라실의 부산물(바람),M,4,20,12,10,6,50,42,15,10,10,0.05,0,0,2.5,0.5
204004,이그드라실의 부산물(물),S,2,14,3,2,4,50,42,10,5,5,0.05,0,0,1,0.3
204014,이그드라실의 부산물(물),XS,2,9,3,0,2,50,42,8,5,4,0.05,0,0,1.5,0.3
204024,이그드라실의 부산물(물),M,2,20,12,10,6,50,42,15,10,10,0.05,0,0,2.5,0.5
205000,영혼의 병정,S,4,16,4,3,4,50,42,30,25,35,0.05,0,0,1,1
205003,영혼의 기사,M,4,40,5,100,6,50,42,35,35,30,0.05,0,0,3,0.5
205007,펜리르,XL,4,500,30,250,6,50,42,40,40,40,0.05,0,0,4,0.5
