id,material_item_id_1,material_item_id_2,material_item_id_3,material_item_id_4,result_consumable_item_id
100000,302001,302002,,,201000
100001,302001,302002,302004,,201001
100002,302003,302005,,,201002
100003,302003,302005,302004,,201003
100004,302003,302005,302004,302006,201004
100005,302000,302003,,,201005
100006,302000,302003,302004,,201006
100007,302000,302003,302004,302006,201007
100008,302000,302008,,,201008
100009,302000,302008,302004,,201009
100010,302000,302008,302004,302006,201010
100011,302005,302009,,,201011
100012,302005,302009,302004,,201012
100013,302005,302009,302004,302006,201013
