id,_name,item_sub_type,grade,elemental_type,set_id,stat_type_1,stat_value_1,stat_type_2,stat_value_2
105000,보석,Food,1,0,,,,,
105001,보석,Food,2,0,,,,,
105002,보석,Food,3,0,,,,,
200000,맛없는 요리,Food,1,0,,HP,20,,
201000,참치캔,Food,1,0,,HP,50,,
201001,대충 만든 오므라이스,Food,1,0,,HP,100,,
201002,공들인 오므라이스,Food,1,0,,HP,200,,
201003,그저 그런 비프라이스,Food,1,0,,HP,300,,
201004,윤기 나는 비프라이스,Food,1,0,,HP,500,,
201005,모둠스테이크,Food,1,0,,HP,750,,
201006,훌륭한 모둠스테이크,Food,1,0,,HP,1000,,
202000,계란후라이,Food,1,0,,ATK,200,,
202001,캣닢티,Food,1,0,,CRI,10,,
