id,tier,level,cost
1,1,1,0
2,1,2,0
3,1,3,0
4,1,4,1000
5,1,5,0
6,1,6,0
7,1,7,5000
8,1,8,0
9,1,9,0
10,1,10,25000
11,2,1,0
12,2,2,0
13,2,3,0
14,2,4,2000
15,2,5,0
16,2,6,0
17,2,7,10000
18,2,8,0
19,2,9,0
20,2,10,50000
21,3,1,0
22,3,2,0
23,3,3,0
24,3,4,3000
25,3,5,0
26,3,6,0
27,3,7,15000
28,3,8,0
29,3,9,0
30,3,10,75000
31,4,1,0
32,4,2,0
33,4,3,0
34,4,4,6000
35,4,5,0
36,4,6,0
37,4,7,30000
38,4,8,0
39,4,9,0
40,4,10,150000
41,5,1,0
42,5,2,0
43,5,3,0
44,5,4,9000
45,5,5,0
46,5,6,0
47,5,7,45000
48,5,8,0
49,5,9,0
50,5,10,2250000
