id,count,stat_type,modify_type,modify_value
1,2,HP,Add,10
1,3,DEF,Add,10
1,4,ATK,Add,10
1,5,CRI,Add,2
2,2,HP,Add,10
2,3,DEF,Add,10
2,4,ATK,Add,10
2,5,CRI,Add,2
3,2,HP,Add,10
3,3,DEF,Add,10
3,4,ATK,Add,10
3,5,CRI,Add,2
4,2,HP,Add,10
4,3,DEF,Add,10
4,4,ATK,Add,10
4,5,CRI,Add,2
5,2,HP,Add,10
5,3,DEF,Add,10
5,4,ATK,Add,10
5,5,CRI,Add,2
6,2,HP,Add,20
6,3,DEF,Add,20
6,4,ATK,Add,20
6,5,CRI,Add,4
7,2,HP,Add,20
7,3,DEF,Add,20
7,4,ATK,Add,20
7,5,CRI,Add,4
8,2,HP,Add,20
8,3,DEF,Add,20
8,4,ATK,Add,20
8,5,CRI,Add,4
9,2,HP,Add,20
9,3,DEF,Add,20
9,4,ATK,Add,20
9,5,CRI,Add,4
10,2,HP,Add,20
10,3,DEF,Add,20
10,4,ATK,Add,20
10,5,CRI,Add,4
11,2,HP,Add,40
11,3,DEF,Add,40
11,4,ATK,Add,40
11,5,CRI,Add,6
12,2,HP,Add,40
12,3,DEF,Add,40
12,4,ATK,Add,40
12,5,CRI,Add,6
13,2,HP,Add,40
13,3,DEF,Add,40
13,4,ATK,Add,40
13,5,CRI,Add,6
14,2,HP,Add,40
14,3,DEF,Add,40
14,4,ATK,Add,40
14,5,CRI,Add,6
15,2,HP,Add,40
15,3,DEF,Add,40
15,4,ATK,Add,40
15,5,CRI,Add,6
