id,_name,item_sub_type,grade,elemental_type,set_id,stat_type_1,stat_value_1,stat_type_2,stat_value_2,attack_range
10100000,나뭇가지,Weapon,0,0,0,damage,1,,,2
10110000,검,Weapon,1,0,1,damage,40,,,2
10111000,검(불),Weapon,1,1,2,damage,40,,,2
10112000,검(물),Weapon,1,2,3,damage,40,,,2
10113000,검(땅),Weapon,1,3,4,damage,40,,,2
10114000,검(바람),Weapon,1,4,5,damage,40,,,2
10120000,마력 검,Weapon,2,0,6,damage,80,,,2
10121000,마력 검(불),Weapon,2,1,7,damage,80,,,2
10122000,마력 검(물),Weapon,2,2,8,damage,80,,,2
10123000,마력 검(땅),Weapon,2,3,9,damage,80,,,2
10124000,마력 검(바람),Weapon,2,4,10,damage,80,,,2
10130000,어둠 검,Weapon,3,0,11,damage,160,,,2
10131000,어둠 검(불),Weapon,3,1,12,damage,160,,,2
10132000,어둠 검(물),Weapon,3,2,13,damage,160,,,2
10133000,어둠 검(땅),Weapon,3,3,14,damage,160,,,2
10134000,어둠 검(바람),Weapon,3,4,15,damage,160,,,2
10200000,누더기,Armor,0,0,0,defense,1,,,2
10210000,옷,Armor,1,0,1,defense,40,,,2
10211000,옷(불),Armor,1,1,2,defense,40,,,2
10212000,옷(물),Armor,1,2,3,defense,40,,,2
10213000,옷(땅),Armor,1,3,4,defense,40,,,2
10214000,옷(바람),Armor,1,4,5,defense,40,,,2
10220000,마력 전투복,Armor,2,0,6,defense,80,,,2
10221000,마력 전투복(불),Armor,2,1,7,defense,80,,,2
10222000,마력 전투복(물),Armor,2,2,8,defense,80,,,2
10223000,마력 전투복(땅),Armor,2,3,9,defense,80,,,2
10224000,마력 전투복(바람),Armor,2,4,10,defense,80,,,2
10230000,어둠 의상,Armor,3,0,11,defense,160,,,2
10231000,어둠 의상(불),Armor,3,1,12,defense,160,,,2
10232000,어둠 의상(물),Armor,3,2,13,defense,160,,,2
10233000,어둠 의상(땅),Armor,3,3,14,defense,160,,,2
10234000,어둠 의상(바람),Armor,3,4,15,defense,160,,,2
10310000,장식띠,Belt,1,0,1,health,30,,,2
10311000,장식띠(불),Belt,1,1,2,health,30,,,2
10312000,장식띠(물),Belt,1,2,3,health,30,,,2
10313000,장식띠(땅),Belt,1,3,4,health,30,,,2
10314000,장식띠(바람),Belt,1,4,5,health,30,,,2
10320000,마력의 죔쇠,Belt,2,0,6,health,60,,,2
10321000,마력의 죔쇠(불),Belt,2,1,7,health,60,,,2
10322000,마력의 죔쇠(물),Belt,2,2,8,health,60,,,2
10323000,마력의 죔쇠(땅),Belt,2,3,9,health,60,,,2
10324000,마력의 죔쇠(바람),Belt,2,4,10,health,60,,,2
10330000,어둠의 요대,Belt,3,0,11,health,120,,,2
10331000,어둠의 요대(불),Belt,3,1,12,health,120,,,2
10332000,어둠의 요대(물),Belt,3,2,13,health,120,,,2
10333000,어둠의 요대(땅),Belt,3,3,14,health,120,,,2
10334000,어둠의 요대(바람),Belt,3,4,15,health,120,,,2
10410000,얇은 목걸이,Necklace,1,0,1,health,10,,,0
10411000,얇은 목걸이(불),Necklace,1,1,2,health,10,,,0
10412000,얇은 목걸이(물),Necklace,1,2,3,health,10,,,0
10413000,얇은 목걸이(땅),Necklace,1,3,4,health,10,,,0
10414000,얇은 목걸이(바람),Necklace,1,4,5,health,10,,,0
10420000,수호의 목걸이,Necklace,2,0,6,health,20,,,0
10421000,수호의 목걸이(불),Necklace,2,1,7,health,20,,,0
10422000,수호의 목걸이(물),Necklace,2,2,8,health,20,,,0
10423000,수호의 목걸이(땅),Necklace,2,3,9,health,20,,,0
10424000,수호의 목걸이(바람),Necklace,2,4,10,health,20,,,0
10430000,전사의 목걸이,Necklace,3,0,11,health,40,,,0
10431000,전사의 목걸이(불),Necklace,3,1,12,health,40,,,0
10432000,전사의 목걸이(물),Necklace,3,2,13,health,40,,,0
10433000,전사의 목걸이(땅),Necklace,3,3,14,health,40,,,0
10434000,전사의 목걸이(바람),Necklace,3,4,15,health,40,,,0
10510000,얇은 반지,Ring,1,0,1,defense,10,,,0
10511000,얇은 반지(불),Ring,1,1,2,defense,10,,,0
10512000,얇은 반지(물),Ring,1,2,3,defense,10,,,0
10513000,얇은 반지(땅),Ring,1,3,4,defense,10,,,0
10514000,얇은 반지(바람),Ring,1,4,5,defense,10,,,0
10520000,수호의 반지,Ring,2,0,6,defense,20,,,0
10521000,수호의 반지(불),Ring,2,1,7,defense,20,,,0
10522000,수호의 반지(물),Ring,2,2,8,defense,20,,,0
10523000,수호의 반지(땅),Ring,2,3,9,defense,20,,,0
10524000,수호의 반지(바람),Ring,2,4,10,defense,20,,,0
10530000,전사의 반지,Ring,3,0,11,defense,40,,,0
10531000,전사의 반지(불),Ring,3,1,12,defense,40,,,0
10532000,전사의 반지(물),Ring,3,2,13,defense,40,,,0
10533000,전사의 반지(땅),Ring,3,3,14,defense,40,,,0
10534000,전사의 반지(바람),Ring,3,4,15,defense,40,,,0
