id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max,grade
1,ATK,6,9,,,,,,1
2,SPD,16,25,,,,,,1
3,ATK,9,14,,,,,,1
4,ATK,7,11,,,,,,2
5,SPD,20,31,,,,,,1
6,SPD,31,46,,,,,,1
7,,,,110003,124,166,28,28,1
8,ATK,255,383,,,,,,2
9,,,,110001,5715,7621,20,20,1
10,ATK,383,575,,,,,,1
11,,,,110005,8468,11290,12,12,1
12,ATK,7,9,,,,,,2
13,SPD,21,26,,,,,,1
14,ATK,11,14,,,,,,1
15,ATK,9,11,,,,,,1
16,SPD,26,32,,,,,,2
17,SPD,39,48,,,,,,1
18,,,,120003,181,241,28,28,1
19,ATK,239,293,,,,,,1
20,,,,120001,5715,7621,20,20,2
21,ATK,359,439,,,,,,1
22,,,,120005,8468,11290,12,12,1
23,ATK,18,34,,,,,,1
24,SPD,58,108,,,,,,2
25,ATK,27,51,,,,,,1
26,ATK,22,42,,,,,,1
27,SPD,71,132,,,,,,1
28,SPD,107,199,,,,,,2
29,,,,130003,687,916,28,28,1
30,ATK,228,424,,,,,,1
31,,,,130001,7000,9334,20,20,1
32,ATK,342,636,,,,,,2
33,,,,130005,10371,13828,12,12,1
34,ATK,42,100,,,,,,1
35,SPD,163,382,,,,,,1
36,ATK,64,150,,,,,,2
37,ATK,52,122,,,,,,1
38,SPD,200,468,,,,,,1
39,SPD,301,702,,,,,,1
40,,,,140003,2148,2864,28,28,2
41,ATK,64,150,,,,,,1
42,,,,140001,1381,1841,20,20,1
43,CRI,8,20,,,,,,1
44,,,,140005,2046,2728,12,12,2
45,ATK,14,21,,,,,,1
46,SPD,38,57,,,,,,1
47,ATK,21,32,,,,,,1
48,ATK,17,26,,,,,,2
49,SPD,47,70,,,,,,1
50,SPD,70,105,,,,,,1
51,,,,110003,395,527,28,28,1
52,ATK,21,32,,,,,,2
53,,,,110001,338,451,20,20,1
54,ATK,32,49,,,,,,1
55,,,,110005,502,669,12,12,1
56,ATK,15,19,,,,,,2
57,SPD,44,54,,,,,,1
58,ATK,23,28,,,,,,1
59,ATK,19,23,,,,,,1
60,SPD,54,66,,,,,,2
61,SPD,81,99,,,,,,1
62,,,,120003,455,606,28,28,1
63,ATK,23,28,,,,,,1
64,,,,120001,390,520,20,20,2
65,ATK,35,43,,,,,,1
66,,,,120005,577,770,12,12,1
67,ATK,51,94,,,,,,1
68,SPD,160,298,,,,,,2
69,ATK,76,142,,,,,,1
70,ATK,62,116,,,,,,1
71,SPD,197,366,,,,,,1
72,SPD,295,549,,,,,,2
73,,,,130003,3017,4023,28,28,1
74,ATK,76,142,,,,,,1
75,,,,130001,2586,3448,20,20,1
76,ATK,114,213,,,,,,2
77,,,,130005,3831,5109,12,12,1
78,ATK,103,241,,,,,,1
79,SPD,395,923,,,,,,1
80,ATK,155,362,,,,,,2
81,ATK,127,296,,,,,,1
82,SPD,484,1131,,,,,,1
83,SPD,727,1697,,,,,,1
84,,,,140003,7426,9902,28,28,2
85,ATK,155,362,,,,,,1
86,,,,140001,6365,8487,20,20,1
87,CRI,13,31,,,,,,1
88,,,,140005,9430,12574,12,12,2
89,ATK,37,55,,,,,,1
90,SPD,97,146,,,,,,1
91,ATK,55,83,,,,,,1
92,ATK,45,68,,,,,,2
93,SPD,119,179,,,,,,1
94,SPD,179,269,,,,,,1
95,,,,110003,1282,1709,28,28,1
96,ATK,55,83,,,,,,2
97,,,,110001,1098,1465,20,20,1
98,ATK,83,125,,,,,,1
99,,,,110005,1628,2170,12,12,1
100,ATK,41,51,,,,,,2
101,SPD,117,143,,,,,,1
102,ATK,62,76,,,,,,1
103,ATK,51,62,,,,,,1
104,SPD,143,175,,,,,,2
105,SPD,215,263,,,,,,1
106,,,,120003,1537,2049,28,28,1
107,ATK,62,76,,,,,,1
108,,,,120001,1317,1756,20,20,2
109,ATK,94,115,,,,,,1
110,,,,120005,1952,2602,12,12,1
111,ATK,121,224,,,,,,1
112,SPD,381,708,,,,,,2
113,ATK,181,337,,,,,,1
114,ATK,148,275,,,,,,1
115,SPD,467,867,,,,,,1
116,SPD,700,1301,,,,,,2
117,,,,130003,8657,11542,28,28,1
118,ATK,181,337,,,,,,1
119,,,,130001,7420,9893,20,20,1
120,ATK,272,506,,,,,,2
121,,,,130005,10993,14657,12,12,1
122,ATK,219,511,,,,,,1
123,SPD,837,1954,,,,,,1
124,ATK,329,767,,,,,,2
125,ATK,329,767,,,,,,1
126,SPD,1256,2931,,,,,,1
127,SPD,1884,4397,,,,,,1
128,,,,140003,16630,22174,28,28,2
129,ATK,329,767,,,,,,1
130,,,,140001,14254,19006,20,20,1
131,CRI,24,57,,,,,,1
132,,,,140005,21118,28157,12,12,2
133,ATK,80,120,,,,,,1
134,SPD,210,315,,,,,,1
135,ATK,120,180,,,,,,1
136,ATK,98,147,,,,,,2
137,SPD,258,387,,,,,,1
138,SPD,387,580,,,,,,1
139,,,,110003,3954,5273,28,28,1
140,ATK,120,180,,,,,,2
141,,,,110001,3389,4519,20,20,1
142,ATK,180,270,,,,,,1
143,,,,110005,5022,6696,12,12,1
144,ATK,86,105,,,,,,2
145,SPD,242,296,,,,,,1
146,ATK,129,158,,,,,,1
147,ATK,106,129,,,,,,1
148,SPD,297,363,,,,,,2
149,SPD,445,544,,,,,,1
150,,,,120003,4550,6067,28,28,1
151,ATK,129,158,,,,,,1
152,,,,120001,3900,5200,20,20,2
153,ATK,194,238,,,,,,1
154,,,,120005,5778,7704,12,12,1
155,ATK,304,566,,,,,,1
156,SPD,960,1784,,,,,,2
157,ATK,457,849,,,,,,1
158,ATK,457,849,,,,,,1
159,SPD,1441,2676,,,,,,1
160,SPD,2161,4014,,,,,,2
161,,,,130003,21785,29047,28,28,1
162,ATK,457,849,,,,,,1
163,,,,130001,18673,24897,20,20,1
164,ATK,686,1274,,,,,,2
165,,,,130005,27664,36885,12,12,1
166,ATK,276,645,,,,,,1
167,SPD,1055,2463,,,,,,1
168,ATK,414,967,,,,,,2
169,ATK,338,790,,,,,,1
170,SPD,1293,3017,,,,,,1
171,SPD,1939,4526,,,,,,1
172,,,,140003,26630,35507,28,28,2
173,ATK,414,967,,,,,,1
174,,,,140001,22825,30434,20,20,1
175,CRI,20,46,,,,,,1
176,,,,140005,33816,45088,12,12,2
177,ATK,204,307,,,,,,1
178,SPD,537,806,,,,,,1
179,ATK,307,461,,,,,,1
180,ATK,251,376,,,,,,2
181,SPD,658,988,,,,,,1
182,SPD,988,1482,,,,,,1
183,,,,110003,11659,15546,28,28,1
184,ATK,307,461,,,,,,2
185,,,,110001,9994,13325,20,20,1
186,ATK,461,691,,,,,,1
187,,,,110005,14806,19741,12,12,1
188,ATK,199,243,,,,,,2
189,SPD,557,681,,,,,,1
190,ATK,298,365,,,,,,1
191,ATK,244,298,,,,,,1
192,SPD,683,835,,,,,,2
193,SPD,1025,1252,,,,,,1
194,,,,120003,12084,16112,28,28,1
195,ATK,298,365,,,,,,1
196,,,,120001,10358,13811,20,20,2
197,ATK,448,548,,,,,,1
198,,,,120005,15345,20460,12,12,1
199,ATK,320,595,,,,,,1
200,SPD,1010,1876,,,,,,2
201,ATK,481,893,,,,,,1
202,ATK,392,729,,,,,,1
203,SPD,1237,2298,,,,,,1
204,SPD,1856,3447,,,,,,2
205,,,,130003,31024,41366,28,28,1
206,ATK,481,893,,,,,,1
207,,,,130001,26592,35456,20,20,1
208,ATK,721,1340,,,,,,2
209,,,,130005,39396,52528,12,12,1
210,ATK,494,1154,,,,,,1
211,SPD,1888,4406,,,,,,1
212,ATK,741,1731,,,,,,2
213,ATK,605,1413,,,,,,1
214,SPD,2312,5396,,,,,,1
215,SPD,3469,8095,,,,,,1
216,,,,140003,55865,74487,28,28,2
217,ATK,741,1731,,,,,,1
218,,,,140001,47885,63846,20,20,1
219,CRI,24,57,,,,,,1
220,,,,140005,70940,94587,12,12,2
221,ATK,283,425,,,,,,1
222,SPD,744,1116,,,,,,1
223,ATK,425,638,,,,,,1
224,ATK,347,521,,,,,,2
225,SPD,911,1367,,,,,,1
226,SPD,1367,2051,,,,,,1
227,,,,110003,18783,25044,28,28,1
228,ATK,425,638,,,,,,2
229,,,,110001,16100,21466,20,20,1
230,ATK,638,957,,,,,,1
231,,,,110005,23851,31802,12,12,1
232,ATK,286,350,,,,,,2
233,SPD,803,981,,,,,,1
234,ATK,430,526,,,,,,1
235,ATK,351,429,,,,,,1
236,SPD,983,1202,,,,,,2
237,SPD,1475,1803,,,,,,1
238,,,,120003,20272,27029,28,28,1
239,ATK,430,526,,,,,,1
240,,,,120001,17376,23168,20,20,2
241,ATK,645,789,,,,,,1
242,,,,120005,25742,34323,12,12,1
243,ATK,570,1059,,,,,,1
244,SPD,1797,3337,,,,,,2
245,ATK,855,1589,,,,,,1
246,ATK,698,1297,,,,,,1
247,SPD,2201,4087,,,,,,1
248,SPD,3301,6131,,,,,,2
249,,,,130003,60763,81018,28,28,1
250,ATK,855,1589,,,,,,1
251,,,,130001,52083,69444,20,20,1
252,ATK,1283,2383,,,,,,2
253,,,,130005,77160,102880,12,12,1
254,ATK,794,1853,,,,,,1
255,SPD,3032,7076,,,,,,1
256,ATK,1191,2780,,,,,,2
257,ATK,972,2270,,,,,,1
258,SPD,3714,8667,,,,,,1
259,SPD,5571,13001,,,,,,1
260,,,,140003,105895,141193,28,28,2
261,ATK,1191,2780,,,,,,1
262,,,,140001,90767,121022,20,20,1
263,CRI,30,70,,,,,,1
264,,,,140005,134469,179293,12,12,2
265,ATK,479,719,,,,,,1
266,SPD,1259,1889,,,,,,1
267,ATK,719,1079,,,,,,1
268,ATK,587,881,,,,,,2
269,SPD,1543,2314,,,,,,1
270,SPD,2314,3472,,,,,,1
271,,,,110003,37264,49686,28,28,1
272,ATK,719,1079,,,,,,2
273,,,,110001,31941,42588,20,20,1
274,ATK,1079,1619,,,,,,1
275,,,,110005,47320,63093,12,12,1
276,ATK,507,620,,,,,,2
277,SPD,1421,1737,,,,,,1
278,ATK,761,931,,,,,,1
279,ATK,621,760,,,,,,1
280,SPD,1741,2128,,,,,,2
281,SPD,2612,3192,,,,,,1
282,,,,120003,42054,56073,28,28,1
283,ATK,761,931,,,,,,1
284,,,,120001,36046,48062,20,20,2
285,ATK,1142,1396,,,,,,1
286,,,,120005,53402,71203,12,12,1
287,ATK,867,1611,,,,,,1
288,SPD,2732,5074,,,,,,2
289,ATK,1301,2416,,,,,,1
290,ATK,1062,1973,,,,,,1
291,SPD,3346,6215,,,,,,1
292,SPD,5020,9322,,,,,,2
293,,,,130003,109059,145412,28,28,1
294,ATK,1301,2416,,,,,,1
295,,,,130001,93479,124638,20,20,1
296,ATK,1951,3624,,,,,,2
297,,,,130005,138487,184650,12,12,1
298,ATK,1081,2522,,,,,,1
299,SPD,4127,9631,,,,,,1
300,ATK,1621,3783,,,,,,2
301,ATK,1324,3089,,,,,,1
302,SPD,5055,11796,,,,,,1
303,SPD,7583,17694,,,,,,1
304,,,,140003,144145,192193,28,28,2
305,ATK,1621,3783,,,,,,1
306,,,,140001,123553,164737,20,20,1
307,CRI,36,86,,,,,,1
308,,,,140005,183041,244055,12,12,2
309,ATK,859,1289,,,,,,1
310,SPD,2255,3383,,,,,,1
311,ATK,1289,1933,,,,,,1
312,ATK,1052,1578,,,,,,2
313,SPD,2762,4144,,,,,,1
314,SPD,4144,6216,,,,,,1
315,,,,110003,78766,105022,28,28,1
316,ATK,1289,1933,,,,,,2
317,,,,110001,67514,90018,20,20,1
318,ATK,1933,2900,,,,,,1
319,,,,110005,100021,133361,12,12,1
320,ATK,858,1048,,,,,,2
321,SPD,2402,2936,,,,,,1
322,ATK,1287,1573,,,,,,1
323,ATK,1051,1284,,,,,,1
324,SPD,2942,3596,,,,,,2
325,SPD,4414,5395,,,,,,1
326,,,,120003,83906,111875,28,28,1
327,ATK,1287,1573,,,,,,1
328,,,,120001,71919,95893,20,20,2
329,ATK,1930,2359,,,,,,1
330,,,,120005,106547,142063,12,12,1
331,ATK,1230,2285,,,,,,1
332,SPD,3877,7200,,,,,,2
333,ATK,1846,3428,,,,,,1
334,ATK,1507,2799,,,,,,1
335,SPD,4748,8818,,,,,,1
336,SPD,7122,13228,,,,,,2
337,,,,130003,154721,206294,28,28,1
338,ATK,1846,3428,,,,,,1
339,,,,130001,132618,176824,20,20,1
340,ATK,2769,5143,,,,,,2
341,,,,130005,196471,261961,12,12,1
342,ATK,1463,3415,,,,,,1
343,SPD,5588,13040,,,,,,1
344,ATK,2195,5123,,,,,,2
345,ATK,1792,4183,,,,,,1
346,SPD,6844,15971,,,,,,1
347,SPD,10267,23957,,,,,,1
348,,,,140003,195179,260238,28,28,2
349,ATK,2195,5123,,,,,,1
350,,,,140001,167296,223061,20,20,1
351,CRI,45,105,,,,,,1
352,,,,140005,247846,330462,12,12,2
353,HP,85,127,,,,,,1
354,DEF,3,5,,,,,,1
355,HP,127,191,,,,,,1
356,DEF,4,6,,,,,,2
357,HP,104,156,,,,,,1
358,HP,156,234,,,,,,1
359,,,,220000,,,8,16,1
360,HP,3199,4799,,,,,,2
361,DEF,127,191,,,,,,1
362,HP,4799,7199,,,,,,1
363,SPD,1007,1511,,,,,,1
364,HP,131,160,,,,,,2
365,DEF,7,9,,,,,,1
366,HP,196,240,,,,,,1
367,DEF,9,11,,,,,,1
368,HP,160,196,,,,,,2
369,HP,240,294,,,,,,1
370,,,,220000,,,8,16,1
371,HP,3959,4839,,,,,,1
372,DEF,239,293,,,,,,2
373,HP,5939,7259,,,,,,1
374,SPD,1007,1231,,,,,,1
375,HP,368,685,,,,,,1
376,DEF,18,34,,,,,,2
377,HP,553,1027,,,,,,1
378,DEF,22,41,,,,,,1
379,HP,451,839,,,,,,1
380,HP,677,1258,,,,,,2
381,,,,220000,,,8,16,1
382,HP,3359,6239,,,,,,1
383,DEF,167,311,,,,,,1
384,HP,5039,9359,,,,,,2
385,SPD,881,1637,,,,,,1
386,HP,514,1199,,,,,,1
387,DEF,29,69,,,,,,1
388,HP,771,1799,,,,,,2
389,DEF,36,85,,,,,,1
390,HP,629,1469,,,,,,1
391,HP,944,2204,,,,,,1
392,,,,220000,,,8,16,2
393,HP,385,899,,,,,,1
394,DEF,22,52,,,,,,1
395,CRI,2,6,,,,,,1
396,HP,771,1799,,,,,,2
397,HP,203,305,,,,,,1
398,DEF,8,12,,,,,,1
399,HP,305,458,,,,,,1
400,DEF,9,14,,,,,,2
401,HP,249,374,,,,,,1
402,HP,374,561,,,,,,1
403,,,,220000,,,8,16,1
404,HP,152,229,,,,,,2
405,DEF,6,9,,,,,,1
406,HP,152,229,,,,,,1
407,SPD,64,96,,,,,,1
408,HP,295,360,,,,,,2
409,DEF,17,21,,,,,,1
410,HP,442,541,,,,,,1
411,DEF,21,26,,,,,,1
412,HP,361,441,,,,,,2
413,HP,542,662,,,,,,1
414,,,,220000,,,8,16,1
415,HP,221,270,,,,,,1
416,DEF,13,16,,,,,,2
417,HP,221,270,,,,,,1
418,SPD,75,91,,,,,,1
419,HP,999,1857,,,,,,1
420,DEF,49,92,,,,,,2
421,HP,1499,2785,,,,,,1
422,DEF,61,113,,,,,,1
423,HP,1224,2274,,,,,,1
424,HP,1837,3411,,,,,,2
425,,,,220000,,,8,16,1
426,HP,749,1392,,,,,,1
427,DEF,37,69,,,,,,1
428,HP,749,1392,,,,,,2
429,SPD,262,487,,,,,,1
430,HP,1177,2746,,,,,,1
431,DEF,68,160,,,,,,1
432,HP,1765,4119,,,,,,2
433,DEF,84,196,,,,,,1
434,HP,1441,3363,,,,,,1
435,HP,2162,5045,,,,,,1
436,,,,220000,,,8,16,2
437,HP,882,2059,,,,,,1
438,DEF,51,120,,,,,,1
439,CRI,4,10,,,,,,1
440,HP,1765,4119,,,,,,2
441,HP,528,793,,,,,,1
442,DEF,21,31,,,,,,1
443,HP,793,1189,,,,,,1
444,DEF,25,38,,,,,,2
445,HP,647,971,,,,,,1
446,HP,971,1457,,,,,,1
447,,,,220000,,,8,16,1
448,HP,396,594,,,,,,2
449,DEF,15,23,,,,,,1
450,HP,396,594,,,,,,1
451,SPD,166,249,,,,,,1
452,HP,769,940,,,,,,2
453,DEF,46,57,,,,,,1
454,HP,1154,1411,,,,,,1
455,DEF,57,69,,,,,,1
456,HP,942,1152,,,,,,2
457,HP,1414,1728,,,,,,1
458,,,,220000,,,8,16,1
459,HP,577,705,,,,,,1
