id,count,stat_type,modify_type,modify_value
1,2,HP,Add,1
1,3,DEF,Add,1
1,4,ATK,Add,1
1,5,CRI,Add,1
2,2,HP,Add,2
2,3,DEF,Add,2
2,4,ATK,Add,2
2,5,CRI,Add,1
3,2,HP,Add,2
3,3,DEF,Add,2
3,4,ATK,Add,2
3,5,CRI,Add,1
4,2,HP,Add,2
4,3,DEF,Add,2
4,4,ATK,Add,2
4,5,CRI,Add,1
5,2,HP,Add,2
5,3,DEF,Add,2
5,4,ATK,Add,2
5,5,CRI,Add,1
6,2,HP,Add,2
6,3,DEF,Add,2
6,4,ATK,Add,2
6,5,CRI,Add,1
7,2,HP,Add,4
7,3,DEF,Add,4
7,4,ATK,Add,4
7,5,CRI,Add,2
8,2,HP,Add,4
8,3,DEF,Add,4
8,4,ATK,Add,4
8,5,CRI,Add,2
9,2,HP,Add,4
9,3,DEF,Add,4
9,4,ATK,Add,4
9,5,CRI,Add,2
10,2,HP,Add,4
10,3,DEF,Add,4
10,4,ATK,Add,4
10,5,CRI,Add,2
11,2,HP,Add,10
11,3,DEF,Add,10
11,4,ATK,Add,10
11,5,CRI,Add,3
12,2,HP,Add,10
12,3,DEF,Add,10
12,4,ATK,Add,10
12,5,CRI,Add,3
13,2,HP,Add,10
13,3,DEF,Add,10
13,4,ATK,Add,10
13,5,CRI,Add,3
14,2,HP,Add,10
14,3,DEF,Add,10
14,4,ATK,Add,10
14,5,CRI,Add,3
15,2,HP,Add,10
15,3,DEF,Add,10
15,4,ATK,Add,10
15,5,CRI,Add,3
