id,required_action_point,required_gold,required_block_index,unlock_stage,material_id,material_count,material_2_id,material_2_count,material_3_id,material_3_count,option_id,option_ratio,option_2_id,option_2_ratio,option_3_id,option_3_ratio,option_4_id,option_4_ratio,max_option_limit
1,0,0,0,14,306040,1,306041,1,306023,1,1,0.76,2,0.2,3,0.04,,,1
2,0,0,0,35,306040,1,306041,1,306024,1,4,0.46,5,0.37,6,0.11,7,0.06,1
3,0,0,0,80,306023,2,306024,2,306025,2,8,0.58,9,0.2,10,0.18,11,0.04,2
4,0,0,0,17,306040,1,306044,1,306001,1,12,0.56,13,0.32,14,0.12,,,1
5,0,0,0,45,306040,1,306000,1,306002,1,15,0.76,16,0.12,17,0.09,18,0.03,1
6,0,0,0,95,306044,2,306000,2,306001,2,19,0.71,20,0.16,21,0.08,22,0.05,2
7,0,0,0,46,306040,2,306043,2,306011,2,23,0.62,24,0.24,25,0.14,,,1
8,0,0,0,90,306040,2,306043,2,306010,2,26,0.31,27,0.24,28,0.25,29,0.2,1
9,0,0,0,154,306040,3,306043,3,306012,3,30,0.5,31,0.23,32,0.15,33,0.12,2
10,0,0,0,94,306040,3,306050,3,306052,3,34,0.64,35,0.19,36,0.17,,,1
11,0,0,0,152,306040,3,306051,3,306052,3,37,0.69,38,0.15,39,0.08,40,0.08,1
12,0,0,0,232,306040,4,306042,4,306052,4,41,0.5,42,0.2,43,0.15,44,0.15,2
13,0,0,0,22,306041,2,306023,2,306024,2,45,0.76,46,0.2,47,0.04,,,1
14,0,0,0,55,306040,2,306023,2,306024,2,48,0.46,49,0.37,50,0.11,51,0.06,1
15,0,0,0,110,306040,3,306041,3,306027,3,52,0.58,53,0.2,54,0.18,55,0.04,2
16,0,0,0,32,306040,2,306044,2,306000,2,56,0.56,57,0.32,58,0.12,,,1
17,0,0,0,69,306044,2,306001,2,306002,2,59,0.76,60,0.12,61,0.09,62,0.03,1
18,0,0,0,126,306044,3,306003,3,306004,3,63,0.71,64,0.16,65,0.08,66,0.05,2
19,0,0,0,109,306043,3,306013,3,306014,3,67,0.62,68,0.24,69,0.14,,,1
20,0,0,0,172,306040,3,306043,3,306012,3,70,0.31,71,0.24,72,0.25,73,0.2,1
21,0,0,0,257,306040,4,306012,4,306013,4,74,0.5,75,0.23,76,0.15,77,0.12,2
22,0,0,0,169,306040,4,306042,4,306050,4,78,0.64,79,0.19,80,0.17,,,1
23,0,0,0,245,306040,4,306042,4,306050,4,81,0.69,82,0.15,83,0.08,84,0.08,1
24,0,0,0,344,306053,5,306054,5,306055,5,85,0.5,86,0.2,87,0.15,88,0.15,2
25,0,0,0,61,306040,3,306041,3,306027,3,89,0.76,90,0.2,91,0.04,,,1
26,0,0,0,111,306040,3,306041,3,306028,3,92,0.46,93,0.37,94,0.11,95,0.06,1
27,0,0,0,182,306041,4,306026,4,306027,4,96,0.58,97,0.2,98,0.18,99,0.04,2
28,0,0,0,79,306040,3,306044,3,306004,3,100,0.56,101,0.32,102,0.12,,,1
29,0,0,0,132,306040,3,306003,3,306005,3,103,0.76,104,0.12,105,0.09,106,0.03,1
30,0,0,0,207,306040,4,306003,4,306004,4,107,0.71,108,0.16,109,0.08,110,0.05,2
31,0,0,0,189,306040,4,306043,4,306012,4,111,0.62,112,0.24,113,0.14,,,1
32,0,0,0,270,306043,4,306013,4,306014,4,114,0.31,115,0.24,116,0.25,117,0.2,1
33,0,0,0,376,306035,5,306016,5,306017,5,118,0.5,119,0.23,120,0.15,121,0.12,2
34,0,0,0,256,306035,5,306037,5,306054,5,122,0.64,123,0.19,124,0.17,,,1
35,0,0,0,348,306037,5,306053,5,306054,5,125,0.69,126,0.15,127,0.08,128,0.08,1
36,0,0,0,480,306037,6,306054,6,306055,6,129,0.5,130,0.2,131,0.15,132,0.15,2
37,0,0,0,129,306040,3,306041,3,306028,3,133,0.76,134,0.2,135,0.04,,,1
38,0,0,0,196,306040,4,306041,4,306027,4,136,0.46,137,0.37,138,0.11,139,0.06,1
39,0,0,0,287,306036,5,306029,5,306030,5,140,0.58,141,0.2,142,0.18,143,0.04,2
40,0,0,0,153,306040,3,306003,3,306004,3,144,0.56,145,0.32,146,0.12,,,1
41,0,0,0,225,306040,4,306044,4,306003,4,147,0.76,148,0.12,149,0.09,150,0.03,1
42,0,0,0,320,306006,5,306007,5,306008,5,151,0.71,152,0.16,153,0.08,154,0.05,2
43,0,0,0,276,306040,4,306012,4,306014,4,155,0.62,156,0.24,157,0.14,,,1
44,0,0,0,374,306038,5,306015,5,306017,5,158,0.31,159,0.24,160,0.25,161,0.2,1
45,0,0,0,512,306038,6,306015,6,306016,6,162,0.5,163,0.23,164,0.15,165,0.12,2
46,0,0,0,349,306037,5,306053,5,306054,5,166,0.64,167,0.19,168,0.17,,,1
47,0,0,0,470,306053,6,306054,6,306055,6,169,0.69,170,0.15,171,0.08,172,0.08,1
48,0,0,0,632,306053,7,306054,7,306055,7,173,0.5,174,0.2,175,0.15,176,0.15,2
49,0,0,0,216,306040,4,306041,4,306027,4,177,0.76,178,0.2,179,0.04,,,1
50,0,0,0,300,306040,4,306026,4,306028,4,180,0.46,181,0.37,182,0.11,183,0.06,1
51,0,0,0,418,306035,5,306036,5,306030,5,184,0.58,185,0.2,186,0.18,187,0.04,2
52,0,0,0,236,306040,4,306044,4,306004,4,188,0.56,189,0.32,190,0.12,,,1
53,0,0,0,324,306040,4,306044,4,306003,4,191,0.76,192,0.12,193,0.09,194,0.03,1
54,0,0,0,448,306035,5,306039,5,306007,5,195,0.71,196,0.16,197,0.08,198,0.05,2
55,0,0,0,382,306035,5,306015,5,306016,5,199,0.62,200,0.24,201,0.14,,,1
56,0,0,0,510,306035,5,306015,5,306017,5,202,0.31,203,0.24,204,0.25,205,0.2,1
57,0,0,0,682,306038,6,306016,6,306017,6,206,0.5,207,0.23,208,0.15,209,0.12,2
58,0,0,0,511,306035,6,306037,6,306053,6,210,0.64,211,0.19,212,0.17,,,1
59,0,0,0,670,306035,6,306037,6,306053,6,213,0.69,214,0.15,215,0.08,216,0.08,1
60,0,0,0,874,306035,7,306053,7,306055,7,217,0.5,218,0.2,219,0.15,220,0.15,2
61,0,0,0,301,306040,4,306041,4,306027,4,221,0.76,222,0.2,223,0.04,,,1
62,0,0,0,409,306035,5,306036,5,306031,5,224,0.46,225,0.37,226,0.11,227,0.06,1
63,0,0,0,557,306035,6,306029,6,306030,6,228,0.58,229,0.2,230,0.18,231,0.04,2
64,0,0,0,325,306040,4,306044,4,306003,4,232,0.56,233,0.32,234,0.12,,,1
65,0,0,0,438,306039,5,306006,5,306007,5,235,0.76,236,0.12,237,0.09,238,0.03,1
66,0,0,0,593,306006,6,306007,6,306008,6,239,0.71,240,0.16,241,0.08,242,0.05,2
67,0,0,0,556,306035,5,306038,5,306017,5,243,0.62,244,0.24,245,0.14,,,1
68,0,0,0,723,306035,6,306016,6,306017,6,246,0.31,247,0.24,248,0.25,249,0.2,1
69,0,0,0,935,306018,7,306019,7,306020,7,250,0.5,251,0.23,252,0.15,253,0.12,2
70,0,0,0,671,306035,6,306037,6,306055,6,254,0.64,255,0.19,256,0.17,,,1
71,0,0,0,860,306035,7,306053,7,306054,7,257,0.69,258,0.15,259,0.08,260,0.08,1
72,0,0,0,1094,306037,8,306054,8,306055,8,261,0.5,262,0.2,263,0.15,264,0.15,2
73,0,0,0,417,306035,5,306036,5,306030,5,265,0.76,266,0.2,267,0.04,,,1
74,0,0,0,555,306036,5,306029,5,306031,5,268,0.46,269,0.37,270,0.11,271,0.06,1
75,0,0,0,736,306029,6,306030,6,306031,6,272,0.58,273,0.2,274,0.18,275,0.04,2
76,0,0,0,471,306035,5,306006,5,306007,5,276,0.56,277,0.32,278,0.12,,,1
77,0,0,0,620,306039,5,306006,5,306008,5,279,0.76,280,0.12,281,0.09,282,0.03,1
78,0,0,0,814,306039,6,306006,6,306008,6,283,0.71,284,0.16,285,0.08,286,0.05,2
79,0,0,0,691,306035,6,306038,6,306016,6,287,0.62,288,0.24,289,0.14,,,1
80,0,0,0,884,306035,6,306015,6,306016,6,290,0.31,291,0.24,292,0.25,293,0.2,1
81,0,0,0,1122,306038,7,306018,7,306020,7,294,0.5,295,0.23,296,0.15,297,0.12,2
82,0,0,0,746,306035,7,306037,7,306053,7,298,0.64,299,0.19,300,0.17,,,1
83,0,0,0,946,306035,7,306037,7,306053,7,301,0.69,302,0.15,303,0.08,304,0.08,1
84,0,0,0,1192,306037,8,306053,8,306054,8,305,0.5,306,0.2,307,0.15,308,0.15,2
85,0,0,0,611,306035,5,306036,5,306029,5,309,0.76,310,0.2,311,0.04,,,1
86,0,0,0,789,306036,6,306029,6,306030,6,312,0.46,313,0.37,314,0.11,315,0.06,1
87,0,0,0,1013,306035,7,306036,7,306033,7,316,0.58,317,0.2,318,0.18,319,0.04,2
88,0,0,0,651,306035,5,306039,5,306007,5,320,0.56,321,0.32,322,0.12,,,1
89,0,0,0,836,306039,6,306006,6,306008,6,323,0.76,324,0.12,325,0.09,326,0.03,1
90,0,0,0,1066,306035,7,306006,7,306007,7,327,0.71,328,0.16,329,0.08,330,0.05,2
91,0,0,0,801,306035,6,306038,6,306016,6,331,0.62,332,0.24,333,0.14,,,1
92,0,0,0,1011,306018,7,306019,7,306020,7,334,0.31,335,0.24,336,0.25,337,0.2,1
93,0,0,0,1267,306038,8,306019,8,306020,8,338,0.5,339,0.23,340,0.15,341,0.12,2
94,0,0,0,825,306035,7,306037,7,306054,7,342,0.64,343,0.19,344,0.17,,,1
95,0,0,0,1037,306035,8,306053,8,306054,8,345,0.69,346,0.15,347,0.08,348,0.08,1
96,0,0,0,1297,306037,9,306053,9,306055,9,349,0.5,350,0.2,351,0.15,352,0.15,2
97,0,0,0,14,306040,1,306041,1,306025,1,353,0.76,354,0.2,355,0.04,,,1
98,0,0,0,37,306040,1,306024,1,306025,1,356,0.46,357,0.37,358,0.11,359,0.06,1
99,0,0,0,83,306023,2,306024,2,306025,2,360,0.58,361,0.2,362,0.18,363,0.04,2
100,0,0,0,17,306040,1,306000,1,306002,1,364,0.56,365,0.32,366,0.12,,,1
101,0,0,0,47,306040,1,306044,1,306001,1,367,0.76,368,0.12,369,0.09,370,0.03,1
102,0,0,0,98,306044,2,306000,2,306001,2,371,0.71,372,0.16,373,0.08,374,0.05,2
103,0,0,0,54,306040,2,306010,2,306011,2,375,0.62,376,0.24,377,0.14,,,1
104,0,0,0,102,306040,2,306043,2,306009,2,378,0.31,379,0.24,380,0.25,381,0.2,1
105,0,0,0,170,306040,3,306013,3,306014,3,382,0.5,383,0.23,384,0.15,385,0.12,2
106,0,0,0,106,306040,3,306042,3,306050,3,386,0.64,387,0.19,388,0.17,,,1
107,0,0,0,168,306040,3,306050,3,306051,3,389,0.69,390,0.15,391,0.08,392,0.08,1
108,0,0,0,252,306040,4,306050,4,306051,4,393,0.5,394,0.2,395,0.15,396,0.15,2
109,0,0,0,30,306040,2,306023,2,306024,2,397,0.76,398,0.2,399,0.04,,,1
110,0,0,0,66,306040,2,306041,2,306025,2,400,0.46,401,0.37,402,0.11,403,0.06,1
111,0,0,0,122,306041,3,306026,3,306027,3,404,0.58,405,0.2,406,0.18,407,0.04,2
112,0,0,0,40,306040,2,306044,2,306000,2,408,0.56,409,0.32,410,0.12,,,1
113,0,0,0,81,306044,2,306000,2,306001,2,411,0.76,412,0.12,413,0.09,414,0.03,1
114,0,0,0,142,306044,3,306003,3,306004,3,415,0.71,416,0.16,417,0.08,418,0.05,2
115,0,0,0,121,306040,3,306043,3,306013,3,419,0.62,420,0.24,421,0.14,,,1
116,0,0,0,188,306040,3,306012,3,306014,3,422,0.31,423,0.24,424,0.25,425,0.2,1
117,0,0,0,277,306043,4,306013,4,306014,4,426,0.5,427,0.23,428,0.15,429,0.12,2
118,0,0,0,177,306040,4,306042,4,306051,4,430,0.64,431,0.19,432,0.17,,,1
119,0,0,0,255,306040,4,306051,4,306052,4,433,0.69,434,0.15,435,0.08,436,0.08,1
