level,exp,exp_need
1,0,40
2,40,60
3,100,150
4,250,200
5,450,250
6,700,350
7,1050,400
8,1450,400
9,1850,450
10,2300,500
11,2800,550
12,3350,600
13,3950,650
14,4600,700
15,5300,750
16,6050,800
17,6850,850
18,7700,900
19,8600,950
20,9550,1000
21,10550,1050
22,11600,1100
23,12700,1150
24,13850,1200
25,15050,1250
26,16300,1300
27,17600,1350
28,18950,1400
29,20350,1450
30,21800,1500
31,23300,1550
32,24850,1600
33,26450,1650
34,28100,1700
35,29800,1750
36,31550,1800
37,33350,1850
38,35200,1900
39,37100,1950
40,39050,2000
41,41050,2050
42,43100,2100
43,45200,2150
44,47350,2200
45,49550,2250
46,51800,2300
47,54100,2350
48,56450,2400
49,58850,2450
50,61300,2500
51,63800,2550
52,66350,2600
53,68950,2650
54,71600,2700
55,74300,2750
56,77050,2800
57,79850,2850
58,82700,2900
59,85600,2950
60,88550,3000
61,91550,3050
62,94600,3100
63,97700,3150
64,100850,3200
65,104050,3250
66,107300,3300
67,110600,3350
68,113950,3400
69,117350,3450
70,120800,3500
71,124300,3550
72,127850,3600
73,131450,3650
74,135100,3700
75,138800,3750
76,142550,3800
77,146350,3850
78,150200,3900
79,154100,3950
80,158050,4000
81,162050,4050
82,166100,4100
83,170200,4150
84,174350,4200
85,178550,4250
86,182800,4300
87,187100,4350
88,191450,4400
89,195850,4450
90,200300,4500
91,204800,4550
92,209350,4600
93,213950,4650
94,218600,4700
95,223300,4750
96,228050,4800
97,232850,4850
98,237700,4900
99,242600,4950
100,247550,5000
101,252550,5050
102,257600,5100
103,262700,5150
104,267850,5200
105,273050,5250
106,278300,5300
107,283600,5350
108,288950,5400
109,294350,5450
110,299800,5500
111,305300,5550
112,310850,5600
113,316450,5650
114,322100,5700
115,327800,5750
116,333550,5800
117,339350,5850
118,345200,5900
119,351100,5950
120,357050,6000
121,363050,6050
122,369100,6100
123,375200,6150
124,381350,6200
125,387550,6250
126,393800,6300
127,400100,6350
128,406450,6400
129,412850,6450
130,419300,6500
131,425800,6550
132,432350,6600
133,438950,6650
134,445600,6700
135,452300,6750
136,459050,6800
137,465850,6850
138,472700,6900
139,479600,6950
140,486550,7000
141,493550,7050
142,500600,7100
143,507700,7150
144,514850,7200
145,522050,7250
146,529300,7300
147,536600,7350
148,543950,7400
149,551350,7450
150,558800,7500
151,566300,7550
152,573850,7600
153,581450,7650
154,589100,7700
155,596800,7750
156,604550,7800
157,612350,7850
158,620200,7900
159,628100,7950
160,636050,8000
161,644050,8050
162,652100,8100
163,660200,8150
164,668350,8200
165,676550,8250
166,684800,8300
167,693100,8350
168,701450,8400
169,709850,8450
170,718300,8500
171,726800,8550
172,735350,8600
173,743950,8650
174,752600,8700
175,761300,8750
176,770050,8800
177,778850,8850
178,787700,8900
179,796600,8950
180,805550,9000
181,814550,9050
182,823600,9100
183,832700,9150
184,841850,9200
185,851050,9250
186,860300,9300
187,869600,9350
188,878950,9400
189,888350,9450
190,897800,9500
191,907300,9550
192,916850,9600
193,926450,9650
194,936100,9700
195,945800,9750
196,955550,9800
197,965350,9850
198,975200,9900
199,985100,9950
200,995050,10000
