id,goal,quest_reward_id,item_type,item_sub_type
300001,1,1,Equipment,Weapon
300002,3,1,Equipment,Weapon
300003,5,1,Equipment,Weapon
300004,10,1,Equipment,Weapon
300005,50,1,Equipment,Weapon
300006,1,1,Equipment,Armor
300007,3,1,Equipment,Armor
300008,5,1,Equipment,Armor
300009,10,1,Equipment,Armor
300010,50,1,Equipment,Armor
300011,1,1,Equipment,Belt
300012,3,1,Equipment,Belt
300013,5,1,Equipment,Belt
300014,10,1,Equipment,Belt
300015,50,1,Equipment,Belt
300016,1,1,Equipment,Necklace
300017,3,1,Equipment,Necklace
300018,5,1,Equipment,Necklace
300019,10,1,Equipment,Necklace
300020,50,1,Equipment,Necklace
300021,1,1,Equipment,Ring
300022,3,1,Equipment,Ring
300023,5,1,Equipment,Ring
300024,10,1,Equipment,Ring
300025,50,1,Equipment,Ring
300026,1,1,Consumable,Food
300027,10,1,Consumable,Food
300028,20,1,Consumable,Food
300029,30,1,Consumable,Food
300030,50,1,Consumable,Food
