id,goal,quest_reward_id,event
700000,1,1,Create
700001,1,4,Enhancement
700002,10,6,Enhancement
700003,50,15,Enhancement
710000,10,3,Level
710001,20,5,Level
710002,30,13,Level
710003,50,13,Level
710004,70,15,Level
710005,90,21,Level
710006,100,21,Level
710007,120,21,Level
710008,140,21,Level
710009,160,21,Level
710010,180,21,Level
710011,200,21,Level
720000,1,8,Die
720001,10,4,Die
720002,50,16,Die
720003,100,16,Die
_730000,1,4,Equipment
_730001,10,11,Equipment
_730002,50,13,Equipment
_740000,1,1,Consumable
_740001,20,12,Consumable
_740002,30,14,Consumable
790000,10,9,Complete
790001,20,13,Complete
790002,30,10,Complete
790003,40,14,Complete
790004,50,22,Complete
