id,group,_name,chance,duration,target_type,stat_type,modify_type,modify_value,icon_resource
101000,101000,체력 강화,20,8,Self,HP,Percentage,50,icon_buff_plus_hp
101001,101000,체력 강화,100,8,Self,HP,Percentage,50,icon_buff_plus_hp
102000,102000,공격 강화,20,8,Self,ATK,Percentage,50,icon_buff_plus_attack
102001,102000,공격 강화,100,8,Self,ATK,Percentage,50,icon_buff_plus_attack
103000,103000,방어 강화,20,8,Self,DEF,Percentage,50,icon_buff_plus_defense
103001,103000,방어 강화,100,8,Self,DEF,Percentage,50,icon_buff_plus_defense
104000,104000,치명 증가,20,10,Self,CRI,Percentage,50,icon_buff_plus_critical
104001,104000,치명 증가,100,10,Self,CRI,Percentage,50,icon_buff_plus_critical˙
105000,105000,회피 증가,20,10,Self,HIT,Percentage,50,icon_buff_plus_dodge
105001,105000,회피 증가,100,10,Self,HIT,Percentage,50,icon_buff_plus_dodge
106000,106000,속도 증가,20,10,Self,SPD,Percentage,50,icon_buff_plus_speed
106001,106000,속도 증가,100,10,Self,SPD,Percentage,50,icon_buff_plus_speed
202000,202000,공격 약화,20,6,Enemy,ATK,Percentage,-50,icon_buff_minus_attack
202001,202000,공격 약화,100,6,Enemy,ATK,Percentage,-50,icon_buff_minus_attack
203001,203000,방어 약화,100,6,Enemy,DEF,Percentage,-50,icon_buff_minus_defense
204001,204000,치명 감소,100,10,Enemy,CRI,Percentage,-50,icon_buff_minus_critical
205001,205000,회피 감소,100,10,Enemy,HIT,Percentage,-50,icon_buff_minus_dodge
206001,206000,속도 감소,100,8,Enemy,SPD,Percentage,-50,icon_buff_minus_speed
