id,_name,elemental_type,skill_type,skill_category,skill_target_type,hit_count
100000,기본 공격,Normal,Attack,NormalAttack,Enemy,1
100001,일격,Normal,Attack,BlowAttack,Enemy,1
100002,일격(전체),Normal,Attack,BlowAttack,Enemies,1
100003,연사,Normal,Attack,DoubleAttack,Enemy,2
100004,연사(전체),Normal,Attack,DoubleAttack,Enemy,2
100005,광역 난사,Normal,Attack,AreaAttack,Enemies,5
110000,불 공격,Fire,Attack,NormalAttack,Enemy,1
110001,불꽃 일격,Fire,Attack,BlowAttack,Enemy,1
110002,불꽃 일격(전체),Fire,Attack,BlowAttack,Enemies,1
110003,불꽃 연사,Fire,Attack,DoubleAttack,Enemy,2
110004,불꽃 연사(전체),Fire,Attack,DoubleAttack,Enemy,2
110005,용암 해일,Fire,Attack,AreaAttack,Enemies,5
120000,물 공격,Water,Attack,NormalAttack,Enemy,1
120001,얼음 일격,Water,Attack,BlowAttack,Enemy,1
120002,얼음 일격(전체),Water,Attack,BlowAttack,Enemies,1
120003,얼음 연사,Water,Attack,DoubleAttack,Enemy,2
120004,얼음 연사(전체),Water,Attack,DoubleAttack,Enemy,2
120005,얼음 해일,Water,Attack,AreaAttack,Enemies,5
130000,땅 공격,Land,Attack,NormalAttack,Enemy,1
130001,모래 일격,Land,Attack,BlowAttack,Enemy,1
130002,모래 일격(전체),Land,Attack,BlowAttack,Enemies,1
130003,모래 연사,Land,Attack,DoubleAttack,Enemy,2
130004,모래 연사(전체),Land,Attack,DoubleAttack,Enemy,2
130005,모래 폭풍,Land,Attack,AreaAttack,Enemies,5
140000,바람 공격,Wind,Attack,NormalAttack,Enemy,1
140001,바람 일격,Wind,Attack,BlowAttack,Enemy,1
140002,바람 일격(전체),Wind,Attack,BlowAttack,Enemies,1
140003,바람 연사,Wind,Attack,DoubleAttack,Enemy,2
140004,바람 연사(전체),Wind,Attack,DoubleAttack,Enemy,2
140005,거대 태풍,Wind,Attack,AreaAttack,Enemies,5
200000,체력 증가,Normal,Buff,HPBuff,Self,1
200001,체력 증가(전체),Normal,Buff,HPBuff,Ally,1
210000,공격 강화,Normal,Buff,AttackBuff,Self,1
210001,공격 강화(전체),Normal,Buff,AttackBuff,Ally,1
210002,공격 약화,Normal,Debuff,AttackBuff,Enemy,1
210003,공격 약화(전체),Normal,Debuff,AttackBuff,Enemies,1
220000,방어 강화,Normal,Buff,DefenseBuff,Self,1
220001,방어 강화(전체),Normal,Buff,DefenseBuff,Ally,1
220002,방어 약화,Normal,Debuff,DefenseBuff,Enemy,1
220003,방어 약화(전체),Normal,Debuff,DefenseBuff,Enemies,1
230000,치명 증가,Normal,Buff,CriticalBuff,Self,1
230001,치명 증가(전체),Normal,Buff,CriticalBuff,Ally,1
230002,치명 감소,Normal,Debuff,CriticalBuff,Enemy,1
230003,치명 감소(전체),Normal,Debuff,CriticalBuff,Enemies,1
240000,회피 증가,Normal,Buff,DodgeBuff,Self,1
240001,회피 증가(전체),Normal,Buff,DodgeBuff,Ally,1
240002,회피 감소,Normal,Debuff,DodgeBuff,Enemy,1
240003,회피 감소(전체),Normal,Debuff,DodgeBuff,Enemies,1
250000,속도 증가,Normal,Buff,SpeedBuff,Self,1
250001,속도 증가(전체),Normal,Buff,SpeedBuff,Ally,1
250002,속도 감소,Normal,Debuff,SpeedBuff,Enemy,1
250003,속도 감소(전체),Normal,Debuff,SpeedBuff,Enemies,1
300000,힐,Normal,Heal,Heal,Self,1
300001,힐(전체),Normal,Heal,Heal,Ally,1
