id,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max,item6,item6_ratio,item6_min,item6_max,item7,item7_ratio,item7_min,item7_max,item8,item8_ratio,item8_min,item8_max,item9,item9_ratio,item9_min,item9_max,item10,item10_ratio,item10_min,item10_max
1,306040,0.3,1,1,306035,0.15,1,1,302000,0.15,1,1,303100,0.35,1,1,303200,0.1,1,1,,,,,,,,,,,,,,,,,,,,
2,306040,0.3,1,1,306001,0.15,1,1,302009,0.15,1,1,303000,0.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,
3,306040,0.3,1,1,306001,0.15,1,1,302008,0.15,1,1,303100,0.35,1,1,303100,0.1,1,1,,,,,,,,,,,,,,,,,,,,
4,306040,0.3,1,1,306002,0.15,1,1,302007,0.15,1,1,303200,0.35,1,1,303300,0.1,1,1,,,,,,,,,,,,,,,,,,,,
5,306035,0.3,1,1,306003,0.15,1,1,302002,0.15,1,1,303000,0.35,1,1,303000,0.1,1,1,,,,,,,,,,,,,,,,,,,,
6,306035,0.3,1,1,306005,0.15,1,1,302000,0.15,1,1,303000,0.35,1,1,303400,0.1,1,1,,,,,,,,,,,,,,,,,,,,
7,306035,0.3,1,1,306000,0.15,1,1,302003,0.15,1,1,303400,0.35,1,1,303300,0.1,1,1,,,,,,,,,,,,,,,,,,,,
8,306035,0.3,1,1,306002,0.15,1,1,302003,0.15,1,1,303200,0.25,1,1,303000,0.1,1,1,,,,,,,,,,,,,,,,,,,,
9,306035,0.3,1,1,306005,0.15,1,1,302003,0.15,1,1,303300,0.25,1,1,303000,0.1,1,1,,,,,,,,,,,,,,,,,,,,
10,306035,0.3,1,1,306003,0.15,1,1,302006,0.15,1,1,303100,0.25,1,1,303000,0.1,1,1,,,,,,,,,,,,,,,,,,,,
11,306001,0.3,1,1,306045,0.15,1,1,302007,0.15,1,1,303200,0.2,1,1,303301,0.05,1,1,,,,,,,,,,,,,,,,,,,,
12,306000,0.3,1,1,306045,0.15,1,1,302008,0.15,1,1,303100,0.2,1,1,303201,0.05,1,1,,,,,,,,,,,,,,,,,,,,
13,306002,0.3,1,1,306040,0.15,1,1,302008,0.15,1,1,303400,0.2,1,1,303301,0.05,1,1,,,,,,,,,,,,,,,,,,,,
14,306005,0.3,1,1,306045,0.15,1,1,302002,0.15,1,1,303100,0.2,1,1,303301,0.05,1,1,,,,,,,,,,,,,,,,,,,,
15,306000,0.3,1,1,306003,0.15,1,1,302000,0.15,1,1,303300,0.2,1,1,303101,0.05,1,1,,,,,,,,,,,,,,,,,,,,
16,306000,0.3,1,1,306005,0.15,1,1,302007,0.15,1,1,303400,0.2,1,1,303401,0.05,1,1,,,,,,,,,,,,,,,,,,,,
17,306001,0.3,1,2,306005,0.15,1,1,302001,0.15,1,1,303400,0.2,1,1,303201,0.05,1,1,,,,,,,,,,,,,,,,,,,,
18,306002,0.3,1,2,306002,0.15,1,1,302000,0.15,1,1,303100,0.2,1,1,303201,0.05,1,1,,,,,,,,,,,,,,,,,,,,
19,306005,0.3,1,2,306002,0.15,1,1,302009,0.15,1,1,303400,0.2,1,1,303401,0.05,1,1,,,,,,,,,,,,,,,,,,,,
20,306000,0.3,1,2,306006,0.15,1,1,302001,0.15,1,1,303200,0.2,1,1,303301,0.05,1,1,306008,0.1,1,1,,,,,,,,,,,,,,,,
21,306045,0.3,1,2,306009,0.15,1,1,302007,0.15,1,1,303000,0.2,1,1,303101,0.05,1,1,,,,,,,,,,,,,,,,,,,,
22,306045,0.3,1,2,306010,0.15,1,1,302007,0.15,1,1,303000,0.2,1,1,303001,0.05,1,1,,,,,,,,,,,,,,,,,,,,
23,306040,0.3,1,2,306010,0.15,1,1,302002,0.15,1,1,303000,0.2,1,1,303301,0.05,1,1,,,,,,,,,,,,,,,,,,,,
24,306035,0.3,1,2,306011,0.15,1,1,302007,0.15,1,1,303300,0.2,1,1,303001,0.05,1,1,,,,,,,,,,,,,,,,,,,,
25,306040,0.3,1,3,306006,0.15,1,2,302004,0.15,1,1,303300,0.2,1,1,303401,0.05,1,1,,,,,,,,,,,,,,,,,,,,
26,306040,0.3,1,3,306035,0.15,1,2,302002,0.15,1,1,303000,0.2,1,1,303301,0.05,1,1,,,,,,,,,,,,,,,,,,,,
27,306035,0.3,1,3,306019,0.15,1,2,302000,0.15,1,1,303300,0.2,1,1,303301,0.05,1,1,,,,,,,,,,,,,,,,,,,,
28,306035,0.3,1,3,306036,0.15,1,2,302000,0.15,1,1,303100,0.2,1,1,303401,0.05,1,1,,,,,,,,,,,,,,,,,,,,
29,306045,0.3,1,3,306036,0.15,1,2,302002,0.15,1,1,303400,0.2,1,1,303401,0.05,1,1,,,,,,,,,,,,,,,,,,,,
30,306045,0.3,1,3,306019,0.15,1,2,302003,0.15,1,1,303100,0.2,1,1,303301,0.05,1,1,,,,,,,,,,,,,,,,,,,,
31,306035,0.3,1,3,306015,0.15,1,2,302007,0.15,1,1,303100,0.15,1,1,303401,0.08,1,1,303302,0.02,1,1,,,,,,,,,,,,,,,,
32,306045,0.3,1,3,306019,0.15,1,2,302007,0.15,1,1,303000,0.15,1,1,303001,0.08,1,1,303102,0.02,1,1,,,,,,,,,,,,,,,,
33,306000,0.3,1,4,306018,0.15,1,2,302006,0.15,1,1,303100,0.15,1,1,303001,0.08,1,1,303002,0.02,1,1,,,,,,,,,,,,,,,,
34,306000,0.3,1,4,306012,0.15,1,2,302005,0.15,1,1,303400,0.15,1,1,303401,0.08,1,1,303102,0.02,1,1,,,,,,,,,,,,,,,,
35,306005,0.3,1,4,306012,0.15,1,2,302005,0.15,1,1,303100,0.15,1,1,303101,0.08,1,1,303202,0.02,1,1,,,,,,,,,,,,,,,,
36,306005,0.3,1,4,306015,0.15,1,2,302008,0.15,1,1,303400,0.15,1,1,303401,0.08,1,1,303402,0.02,1,1,,,,,,,,,,,,,,,,
37,306001,0.3,1,4,306018,0.15,1,3,302000,0.15,1,1,303100,0.15,1,1,303301,0.08,1,1,303402,0.02,1,1,,,,,,,,,,,,,,,,
38,306002,0.3,1,4,306019,0.15,1,3,302005,0.15,1,1,303400,0.15,1,1,303101,0.08,1,1,303202,0.02,1,1,,,,,,,,,,,,,,,,
39,306001,0.3,1,4,306019,0.15,1,3,302002,0.15,1,1,303400,0.15,1,1,303201,0.08,1,1,303002,0.02,1,1,,,,,,,,,,,,,,,,
40,306035,0.3,1,4,306018,0.15,1,3,302006,0.15,1,1,303200,0.15,1,1,303101,0.08,1,1,303002,0.02,1,1,,,,,,,,,,,,,,,,
41,306009,0.3,1,5,306015,0.15,1,3,302001,0.15,1,1,303100,0.15,1,1,303101,0.08,1,1,303002,0.02,1,1,,,,,,,,,,,,,,,,
42,306010,0.3,1,5,306019,0.15,1,3,302009,0.15,1,1,303200,0.15,1,1,303101,0.08,1,1,303102,0.02,1,1,,,,,,,,,,,,,,,,
43,306010,0.3,1,5,306018,0.15,1,3,302000,0.15,1,1,303100,0.15,1,1,303401,0.08,1,1,303302,0.02,1,1,,,,,,,,,,,,,,,,
44,306009,0.3,1,5,306012,0.15,1,3,302000,0.15,1,1,303400,0.15,1,1,303401,0.08,1,1,303202,0.02,1,1,,,,,,,,,,,,,,,,
45,306012,0.3,1,5,306018,0.15,1,3,302000,0.15,1,1,303300,0.15,1,1,303401,0.08,1,1,303402,0.02,1,1,,,,,,,,,,,,,,,,
46,306011,0.3,1,5,306015,0.15,1,3,302004,0.15,1,1,303000,0.15,1,1,303001,0.08,1,1,303102,0.02,1,1,,,,,,,,,,,,,,,,
47,306015,0.3,1,5,306018,0.15,1,3,302005,0.15,1,1,303200,0.15,1,1,303201,0.08,1,1,303002,0.02,1,1,,,,,,,,,,,,,,,,
48,306036,0.3,1,5,306019,0.15,1,3,302008,0.15,1,1,303400,0.15,1,1,303101,0.08,1,1,303202,0.02,1,1,,,,,,,,,,,,,,,,
49,306036,0.3,1,6,306019,0.15,1,4,302003,0.15,1,1,303000,0.15,1,1,303001,0.08,1,1,303302,0.02,1,1,,,,,,,,,,,,,,,,
50,306036,0.3,1,6,306020,0.15,1,4,302008,0.15,1,1,303100,0.15,1,1,303301,0.08,1,1,303402,0.02,1,1,306021,0.08,1,1,306022,0.04,1,1,,,,,,,,
51,306041,0.3,1,1,306041,0.15,1,1,302005,0.15,1,1,303300,0.15,1,1,303001,0.1,1,1,,,,,,,,,,,,,,,,,,,,
52,306041,0.3,1,1,306023,0.15,1,1,302002,0.15,1,1,303400,0.15,1,1,303001,0.1,1,1,,,,,,,,,,,,,,,,,,,,
53,306041,0.3,1,1,306023,0.15,1,1,302003,0.15,1,1,303400,0.15,1,1,303101,0.1,1,1,,,,,,,,,,,,,,,,,,,,
54,306041,0.3,1,1,306025,0.15,1,1,302005,0.15,1,1,303000,0.15,1,1,303401,0.1,1,1,,,,,,,,,,,,,,,,,,,,
55,306036,0.3,1,1,306033,0.15,1,1,302009,0.15,1,1,303200,0.15,1,1,303201,0.1,1,1,,,,,,,,,,,,,,,,,,,,
56,306036,0.3,1,1,306025,0.15,1,1,302004,0.15,1,1,303300,0.15,1,1,303101,0.1,1,1,,,,,,,,,,,,,,,,,,,,
57,306036,0.3,1,1,306025,0.15,1,1,302006,0.15,1,1,303300,0.15,1,1,303101,0.1,1,1,,,,,,,,,,,,,,,,,,,,
58,306036,0.3,1,1,306027,0.15,1,1,302004,0.15,1,1,303400,0.15,1,1,303001,0.1,1,1,,,,,,,,,,,,,,,,,,,,
59,306046,0.3,1,1,306027,0.15,1,1,302007,0.15,1,1,303100,0.15,1,1,303101,0.1,1,1,,,,,,,,,,,,,,,,,,,,
60,306046,0.3,1,1,306029,0.15,1,1,302002,0.15,1,1,303200,0.15,1,1,303201,0.1,1,1,,,,,,,,,,,,,,,,,,,,
61,306023,0.3,1,1,306031,0.15,1,1,302000,0.15,1,1,303100,0.1,1,1,303001,0.1,1,1,303002,0.05,1,1,303203,0.01,1,1,,,,,,,,,,,,
62,306023,0.3,1,1,306031,0.15,1,1,302005,0.15,1,1,303300,0.1,1,1,303001,0.1,1,1,303102,0.05,1,1,303003,0.01,1,1,,,,,,,,,,,,
