id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,is_boss,reward,exp
1,1,204010,1,2,,,,,,,,,,0,0,0
1,2,204010,1,3,,,,,,,,,,0,0,0
1,3,204000,1,1,204010,1,2,,,,,,,0,0,0
1,4,204000,1,3,,,,,,,,,,0,1,58
2,1,204000,1,1,204010,1,2,,,,,,,0,0,0
2,2,201000,1,2,,,,,,,,,,0,0,0
2,3,201000,1,2,201001,1,1,,,,,,,0,0,0
2,4,201000,1,2,201002,1,1,,,,,,,0,2,66
3,1,204000,1,1,204010,1,2,,,,,,,0,0,0
3,2,204011,1,2,,,,,,,,,,0,0,0
3,3,201000,1,1,201002,1,2,,,,,,,0,0,0
3,4,204000,1,2,,,,,,,,,,0,0,0
3,5,201000,1,1,201002,1,2,,,,,,,0,3,74
4,1,201000,1,3,,,,,,,,,,0,0,0
4,2,204000,1,1,204010,1,2,,,,,,,0,0,0
4,3,204000,1,3,,,,,,,,,,0,0,0
4,4,201001,1,1,201004,1,2,,,,,,,0,0,0
4,5,201002,1,1,201004,1,2,,,,,,,0,4,82
5,1,201001,1,1,201004,1,2,,,,,,,0,0,0
5,2,204000,1,1,204010,1,2,,,,,,,0,0,0
5,3,201000,1,3,,,,,,,,,,0,0,0
5,4,201000,1,1,201002,1,2,,,,,,,0,0,0
5,5,201002,1,2,201003,1,1,,,,,,,1,5,90
6,1,204011,2,2,,,,,,,,,,0,0,0
6,2,204001,2,2,,,,,,,,,,0,0,0
6,3,204000,2,1,204010,2,2,,,,,,,0,0,0
6,4,204000,2,3,,,,,,,,,,0,0,0
6,5,201000,2,2,201002,2,2,,,,,,,0,0,0
6,6,204001,2,2,204011,2,2,,,,,,,0,6,98
7,1,201000,2,3,,,,,,,,,,0,0,0
7,2,204000,2,1,204010,2,2,,,,,,,0,0,0
7,3,204000,2,3,,,,,,,,,,0,0,0
7,4,201001,2,2,201002,2,2,,,,,,,0,0,0
7,5,201002,2,2,201004,2,2,,,,,,,0,7,106
8,1,204000,2,3,,,,,,,,,,0,0,0
8,2,201000,2,1,201002,2,2,,,,,,,0,0,0
8,3,204000,2,3,,,,,,,,,,0,0,0
8,4,201000,2,2,201002,2,2,,,,,,,0,0,0
8,5,204001,2,2,204011,2,2,,,,,,,0,0,0
8,6,201001,2,2,201002,2,2,,,,,,,0,8,114
9,1,201001,2,1,201004,2,2,,,,,,,0,0,0
9,2,204000,2,1,204010,2,2,,,,,,,0,0,0
9,3,201000,2,3,,,,,,,,,,0,0,0
9,4,201000,2,1,201002,2,2,,,,,,,0,0,0
9,5,201002,2,2,201003,2,1,,,,,,,0,9,122
10,1,204010,2,4,204000,2,3,204020,2,2,,,,0,0,0
10,2,202004,2,2,202001,2,2,202002,2,1,,,,0,0,0
10,3,201000,2,2,201001,2,2,201004,2,1,201003,2,1,1,0,0
10,4,204014,2,4,204004,2,3,201004,2,1,204024,2,2,0,0,0
10,5,201002,2,2,201000,2,2,204024,2,2,,,,0,0,0
10,6,201000,2,3,201003,2,2,201005,2,1,,,,1,0,0
10,7,204000,2,6,204001,2,3,203002,2,1,202007,2,2,0,0,0
10,8,204012,2,4,204022,2,2,203003,2,2,,,,0,0,0
10,9,202000,2,3,202001,2,2,202002,2,1,202003,2,1,1,0,0
10,10,204011,2,4,204021,2,2,202004,2,1,202005,2,1,0,0,0
10,11,203002,2,2,203001,2,2,203003,2,2,,,,0,0,0
10,12,203000,2,3,203001,2,3,203002,2,1,203005,2,1,1,0,0
10,13,204013,2,3,204023,2,1,205000,2,2,205007,2,1,0,0,0
11,1,202000,3,2,,,,,,,,,,0,0,0
11,2,202000,3,2,202001,3,1,,,,,,,0,0,0
11,3,204000,3,2,204001,3,2,,,,,,,0,0,0
11,4,202001,3,1,202002,3,1,204000,3,2,,,,0,11,138
12,1,202000,3,2,202001,3,1,,,,,,,0,0,0
12,2,204000,3,2,204001,3,2,,,,,,,0,0,0
12,3,202000,3,1,202002,3,3,,,,,,,0,0,0
12,4,202000,3,2,202001,3,1,202003,3,1,,,,0,12,146
13,1,202004,3,1,202005,3,1,,,,,,,0,0,0
13,2,202000,3,2,202001,3,1,,,,,,,0,0,0
13,3,204000,3,2,204001,3,2,,,,,,,0,0,0
13,4,202000,3,1,202002,3,3,,,,,,,0,0,0
13,5,202004,3,1,202005,3,1,,,,,,,0,13,154
