id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,is_boss,reward,cost_ap,turn_limit
1,1,204010,1,3,,,,,,,,,,0,0,5,100
1,2,204000,1,3,,,,,,,,,,0,0,5,100
1,3,204000,1,3,,,,,,,,,,0,0,5,100
1,4,204000,1,3,,,,,,,,,,0,0,5,100
1,5,204000,1,3,,,,,,,,,,0,1,5,100
2,1,204010,1,3,,,,,,,,,,0,0,5,100
2,2,201000,1,2,201001,1,1,,,,,,,0,0,5,100
2,3,204010,1,3,,,,,,,,,,0,0,5,100
2,4,204010,1,3,,,,,,,,,,0,0,5,100
2,5,201000,1,2,201001,1,1,,,,,,,0,0,5,100
2,6,201000,1,2,201001,1,1,,,,,,,0,2,5,100
3,1,204010,1,4,,,,,,,,,,0,0,5,100
3,2,201000,1,1,201001,1,2,,,,,,,0,0,5,100
3,3,201000,1,1,201001,1,2,,,,,,,0,0,5,100
3,4,201000,1,1,201001,1,2,,,,,,,0,0,5,100
3,5,201000,1,1,201001,1,2,,,,,,,0,0,5,100
3,6,201000,1,1,201001,1,2,,,,,,,0,3,5,100
4,1,204010,1,4,,,,,,,,,,0,0,5,100
4,2,201001,1,1,201002,1,2,,,,,,,0,0,5,100
4,3,201001,1,1,201002,1,2,,,,,,,0,0,5,100
4,4,201001,1,1,201002,1,2,,,,,,,0,0,5,100
4,5,201001,1,1,201002,1,2,,,,,,,0,0,5,100
4,6,201001,1,1,201002,1,2,,,,,,,0,0,5,100
4,7,201001,1,1,201002,1,2,,,,,,,0,4,5,100
5,1,204000,1,3,,,,,,,,,,0,0,5,100
5,2,201001,2,1,201002,2,2,,,,,,,0,0,5,100
5,3,201001,2,1,201002,2,2,,,,,,,0,0,5,100
5,4,201001,2,1,201002,2,2,,,,,,,0,0,5,100
5,5,201001,2,1,201002,2,2,,,,,,,0,0,5,100
5,6,201002,2,2,201003,2,2,,,,,,,0,5,5,100
6,1,204000,1,3,,,,,,,,,,0,0,5,100
6,2,201000,2,2,201004,2,1,,,,,,,0,0,5,100
6,3,201000,2,2,201004,2,1,,,,,,,0,0,5,100
6,4,201000,2,2,201004,2,1,,,,,,,0,0,5,100
6,5,201000,2,2,201004,2,1,,,,,,,0,6,5,100
7,1,204000,1,4,,,,,,,,,,0,0,5,100
7,2,201000,2,3,,,,,,,,,,0,0,5,100
7,3,201000,2,3,,,,,,,,,,0,0,5,100
7,4,201000,2,3,,,,,,,,,,0,0,5,100
7,5,201000,2,3,,,,,,,,,,0,0,5,100
7,6,201000,2,3,,,,,,,,,,0,7,5,100
8,1,204000,1,4,,,,,,,,,,0,0,5,100
8,2,201000,2,2,201002,2,1,,,,,,,0,0,5,100
8,3,201000,2,2,201002,2,1,,,,,,,0,0,5,100
8,4,201000,2,2,201002,2,1,,,,,,,0,0,5,100
8,5,204000,2,4,,,,,,,,,,0,0,5,100
8,6,201000,2,2,201002,2,1,,,,,,,0,8,5,100
9,1,204000,2,3,,,,,,,,,,0,0,5,100
9,2,201001,3,2,201004,3,1,,,,,,,0,0,5,100
9,3,201001,3,2,201004,3,1,,,,,,,0,0,5,100
9,4,201001,3,2,201004,3,1,,,,,,,0,0,5,100
9,5,204000,3,3,,,,,,,,,,0,0,5,100
9,6,201001,3,2,201004,3,1,,,,,,,0,0,5,100
9,7,201001,3,2,201004,3,1,,,,,,,0,9,5,100
10,1,204000,2,3,,,,,,,,,,0,0,5,100
10,2,201002,3,2,201004,3,1,,,,,,,0,0,5,100
10,3,201002,3,2,201004,3,1,,,,,,,0,0,5,100
10,4,204000,3,3,,,,,,,,,,0,0,5,100
10,5,201002,3,2,201004,3,1,,,,,,,0,0,5,100
10,6,201002,3,2,201003,3,3,,,,,,,1,10,5,100
11,1,201000,2,2,201001,2,1,,,,,,,0,0,5,100
11,2,204020,3,3,,,,,,,,,,0,0,5,100
11,3,201000,3,2,201001,3,1,,,,,,,0,0,5,100
11,4,204020,3,3,,,,,,,,,,0,0,5,100
11,5,204020,3,3,,,,,,,,,,0,11,5,100
12,1,201000,2,1,201001,2,2,,,,,,,0,0,5,100
12,2,204020,3,4,,,,,,,,,,0,0,5,100
12,3,204020,3,4,,,,,,,,,,0,0,5,100
12,4,204020,3,4,,,,,,,,,,0,0,5,100
12,5,204020,3,4,,,,,,,,,,0,0,5,100
12,6,204020,3,4,,,,,,,,,,0,12,5,100
13,1,201001,3,1,201002,3,2,,,,,,,0,0,5,100
13,2,204000,4,2,204010,4,3,,,,,,,0,0,5,100
13,3,204000,4,2,204010,4,3,,,,,,,0,0,5,100
13,4,204000,4,2,204010,4,3,,,,,,,0,0,5,100
13,5,201001,4,1,201002,4,2,,,,,,,0,0,5,100
13,6,204000,4,2,204010,4,3,,,,,,,0,13,5,100
14,1,201000,3,2,201004,3,1,,,,,,,0,0,5,100
14,2,204000,4,3,204020,4,2,,,,,,,0,0,5,100
14,3,204000,4,3,204020,4,2,,,,,,,0,0,5,100
14,4,204000,4,3,204020,4,2,,,,,,,0,0,5,100
14,5,204000,4,3,204020,4,2,,,,,,,0,0,5,100
14,6,204000,4,3,204020,4,2,,,,,,,0,0,5,100
14,7,204000,4,3,204020,4,2,,,,,,,0,14,5,100
15,1,201000,3,3,,,,,,,,,,0,0,5,100
15,2,201001,4,1,201004,4,3,,,,,,,0,0,5,100
15,3,201001,4,1,201004,4,3,,,,,,,0,0,5,100
15,4,201001,4,1,201004,4,3,,,,,,,0,0,5,100
15,5,201001,4,1,201004,4,3,,,,,,,0,0,5,100
15,6,201002,4,2,201003,4,3,,,,,,,0,15,5,100
16,1,201000,3,2,201002,3,1,,,,,,,0,0,5,100
16,2,201002,4,1,201004,4,3,,,,,,,0,0,5,100
16,3,201000,4,2,201002,4,1,,,,,,,0,0,5,100
16,4,201000,4,2,201002,4,1,,,,,,,0,0,5,100
16,5,201002,4,1,201004,4,3,,,,,,,0,16,5,100
17,1,201001,4,2,201004,4,1,,,,,,,0,0,5,100
17,2,201001,5,2,201004,5,2,,,,,,,0,0,5,100
17,3,201001,5,2,201004,5,2,,,,,,,0,0,5,100
17,4,201001,5,2,201004,5,2,,,,,,,0,0,5,100
17,5,201001,5,2,201004,5,1,,,,,,,0,0,5,100
17,6,201001,5,2,201004,5,2,,,,,,,0,17,5,100
18,1,201002,4,2,201004,4,1,,,,,,,0,0,5,100
18,2,201000,5,2,201002,5,3,,,,,,,0,0,5,100
18,3,201000,5,2,201002,5,3,,,,,,,0,0,5,100
18,4,201002,5,2,201004,5,1,,,,,,,0,0,5,100
18,5,201002,5,2,201004,5,1,,,,,,,0,0,5,100
18,6,201000,5,2,201002,5,3,,,,,,,0,18,5,100
19,1,201002,4,1,201004,4,2,,,,,,,0,0,5,100
19,2,201001,5,2,201002,5,3,,,,,,,0,0,5,100
