id,stage_id,dialog_id
1,1,2
2,2,55
3,3,5
4,4,18
5,6,19
6,9,20
7,10,3
8,13,21
9,13,22
10,13,23
11,15,14
12,16,13
13,17,8
14,19,25
15,19,26
16,19,27
17,22,29
18,22,30
19,23,24
20,25,12
21,28,28
22,36,31
23,36,32
24,37,33
25,46,34
26,49,35
27,50,36
28,50,38
29,53,7
30,59,6
31,75,9
32,90,10
33,100,11
34,100,54
35,100,43
36,101,15
37,115,38
38,126,40
39,140,41
40,150,42
41,150,44
42,153,45
43,165,46
44,180,47
45,199,48
46,199,49
47,199,50
48,199,51
49,199,52
50,200,53
