stage_id,background,bgm
1,chapter_1_1,bgm_stage_green
2,chapter_1_2,bgm_stage_orange
3,chapter_1_3,bgm_stage_blue
4,chapter_2_1,bgm_stage_green
5,chapter_2_2,bgm_stage_orange
6,chapter_2_3,bgm_stage_blue
7,chapter_3_1,bgm_stage_green
8,chapter_3_2,bgm_stage_orange
9,chapter_3_3,bgm_stage_blue
10,chapter_1_1,bgm_stage_green
11,chapter_1_2,bgm_stage_orange
12,chapter_1_3,bgm_stage_blue
13,chapter_2_1,bgm_stage_green
14,chapter_2_2,bgm_stage_orange
15,chapter_2_3,bgm_stage_blue
16,chapter_3_1,bgm_stage_green
17,chapter_3_2,bgm_stage_orange
18,chapter_3_3,bgm_stage_blue
19,chapter_1_1,bgm_stage_green
20,chapter_1_2,bgm_stage_orange
21,chapter_1_3,bgm_stage_blue
22,chapter_2_1,bgm_stage_green
23,chapter_2_2,bgm_stage_orange
24,chapter_2_3,bgm_stage_blue
25,chapter_3_1,bgm_stage_green
26,chapter_3_2,bgm_stage_orange
27,chapter_3_3,bgm_stage_blue
28,Chapter_1_1,bgm_stage_green
29,Chapter_1_2,bgm_stage_orange
30,Chapter_1_3,bgm_stage_blue
