id,character_name,character_info,character_resource,book_index,size,elemental,is_boss,max_level,hp,damage,defense,luck,LVhp,LVdamage,LVdefense,LVluck,skill_0,skill_1,skill_2,skill_3,attack_range,run_speed
100010,전사,둔탁한 양손검을 자유자재로 휘두르는 것이 특징. 어쩌구,,1,s,0,0,50,35,12,4,0.07,15,5,3,0.002,,,,,1,3
100110,궁수,원거리 공격이 특징 어쩌구,,2,s,0,0,50,131,78,28,0.07,84,55,26,0.002,,,,,2,3
100210,법사,강력한 마법으로 어쩌구,,3,s,0,0,50,129,80,29,0.07,82,57,25,0.002,,,,,1,3
201000,방황하는 씨앗,,201000,1,xs,0,0,100,8,4,2,0.04,4,2,2,0.0005,,,,,0.8,4
201001,방황하는 새싹,,201001,2,xs,0,0,100,9,4,3,0.04,5,1,3,0.0005,,,,,0.8,2
201002,방황하는 새싹,,201002,3,xs,0,0,100,8,5,3,0.04,3,4,1,0.0005,,,,,0.8,2
201003,방황하는 새싹,,201003,4,s,0,0,100,12,6,3,0.06,3,3,3,0.0005,,,,,2.5,0.7
201004,방황하는 열매,,201004,5,xs,0,0,100,20,7,4,0.04,5,4,5,0.0005,,,,,0.8,1
201005,방황하는 열매,,201005,6,s,4,0,100,20,7,5,0.06,6,3,4,0.0005,,,,,3,0.5
202000,여우부족 졸개,,202001,7,s,3,1,100,18,8,5,0.04,7,4,2,0.0005,,,,,1,1.2
202001,여우부족 훈련병,,202001,8,s,0,1,100,21,8,6,0.04,7,4,2,0.0005,,,,,1,1
202002,여우부족 정예병사,,202002,9,m,0,0,100,20,9,7,0.04,6,3,3,0.0005,,,,,1,1
202003,여우부족 전사,,202003,10,m,0,0,100,20,9,7,0.04,5,4,4,0.0005,,,,,1,1
202004,여우부족 전사,,202003,11,l,1,1,100,20,10,8,0.06,5,5,4,0.0005,,,,,1,1
202005,여우부족 주술사,,202005,12,m,0,0,100,20,10,8,0.04,6,5,3,0.0005,,,,,1,1
202006,여우부족 마도사,,202006,13,l,0,0,100,20,11,9,0.04,7,3,5,0.0005,,,,,1,1
202007,여우부족 마도사,,202006,14,l,3,1,100,20,11,10,0.06,8,4,5,0.0005,,,,,1,1
202008,여우부족 보스,,202008,15,xl,2,1,100,20,12,10,0.06,9,4,6,0.0005,,,,,1,1
