Key,English,Korean
TITLE,Nine Chronicles,나인 크로니클
SPEECH_SHOP_0,Hello,괜찮은 물건을 제작했어?[newline]그럼 여기 와서 팔아봐
SPEECH_SHOP_1,Hello,"좋은 물건이 많이 올라와있어,[newline]시간 나면 보고 가"
SPEECH_SHOP_2,Hello,"판매 가격이 고민되면,[newline]다른 사람들이[newline]얼마에 올렸는지 잘 살펴봐"
SPEECH_SHOP_3,Hello,아직 팔리지 않은 물건은[newline]언제든지 다시 회수할 수 있어
SPEECH_SHOP_4,Hello,프레이야님은 신계에[newline]얼마나 많은 고양이를[newline]불러모으려고 하는걸까..?
SPEECH_SHOP_5,Hello,세계수에서 생겨난 정체불명의[newline]생명체들이 온 세계를 뒤덮고 말았어..
SPEECH_SHOP_6,Hello,다양한 장비가 있어야 시련을 대비할 수 있어
SPEECH_COMBINE_0,Hello,전투로 재료를 모았나?[newline]그럼 내게 오시게
SPEECH_COMBINE_1,Hello,최선을 다해[newline]무기를 만들어주지
SPEECH_COMBINE_2,Hello,더 강한 무기를 만들고 싶다고?[newline]원하는 효과의 재료를 많이 모으게
SPEECH_COMBINE_3,Hello,속성이 있다는[newline]사실을 알고 있나?
SPEECH_COMBINE_4,Hello,"속성무기를 못 만든다고[newline]너무 상심하지 말게,[newline]소모템이라고 들어보았나?"
SPEECH_COMBINE_5,Hello,"소모템은 한번 쓰면 사라지지만,[newline]그만큼 효과가 강력하다오"
SPEECH_COMBINE_6,Hello,무기를 더 강화하고 싶다고?[newline]같은 무기를 만들어서 합성해보게
SPEECH_COMBINE_7,Hello,"높은 등급의 무기일수록[newline]많은 옵션이 붙지,,[newline]뭐? 그것까지 알려줄 필욘 없다고? 흥!"
SPEECH_COMBINE_8,Hello,죽어도 죽지 않는[newline]돼지가 있다고 하더군..
SPEECH_RANK_0,Hello,영예의 전당에[newline]이름을 올려라!
SPEECH_RANK_1,Hello,전쟁에 대비하려면[newline]더욱 강해져야 한다!
SPEECH_RANK_2,Hello,"아직 랭킹에 올라본 적이 없다고?[newline]흠… 곤란하군,,"
SPEECH_RANK_3,Hello,영예로운 고양이들에게는[newline]여신님께서 상을 주신다!
SPEECH_RANK_4,Hello,"오딘님이 로키님의 자식들을[newline]그렇게 내치지만 않았어도,,,[newline]앗 아무것도 아니다!"
SPEECH_RANK_5,Hello,눈 앞의 적을 두려워 하지 말고[newline]자신의 내면을 믿어라!
SPEECH_RANK_6,Hello,신계의 생명은 모두 속성을 갖고 있다!
SPEECH_DUNGEON_0,Meow,아래 마법진을 누르면[newline]탐험을 시작할 수 있다옹
SPEECH_DUNGEON_1,Meow Meow,똑같은 재료를 많이 모으고 싶다고?[newline]반복전투는 해봤나옹?
SPEECH_DUNGEON_2,Meow Meow Meow,몬스터가 떨어뜨리는 것들은[newline]하찮아 보이지만 좋은 재작 재료가 된다옹
SPEECH_DUNGEON_3,Meow Meow Meow,여신님은 예로부터[newline]우리 고양이들을 좋아하셨다옹
SPEECH_DUNGEON_4,Meow Meow Meow,신계는 4가지 원소의 힘으로[newline]균형이 이루어지고 있다옹
PLAYER_INIT_0,Hello,출발!
PLAYER_INIT_1,Hello,가볼까?
PLAYER_ATTACK_0,Hello,얍
PLAYER_ATTACK_1,Hello,이얍
ENEMY_INIT_0_0,Hello,이 앞은 못지나간다!
ENEMY_INIT_0_1,Hello,누구냐!
ENEMY_201003_0,Hello,옹옹
ENEMY_201003_1,,
