id,zone_id,item_id,weight
drop_1,zone_0,,20
drop_2,zone_0,sword_1,1
drop_3,zone_0,bow_1,1
drop_4,zone_0,wand_1,1
drop_5,zone_1,,20
drop_6,zone_1,sword_1,2
drop_7,zone_1,bow_1,2
drop_8,zone_1,wand_1,2
drop_9,zone_1,sword_2,1
drop_10,zone_1,bow_2,1
drop_11,zone_1,wand_2,1
drop_12,zone_2,,30
drop_13,zone_2,sword_1,3
drop_14,zone_2,bow_1,3
drop_15,zone_2,wand_1,3
drop_16,zone_2,sword_2,2
drop_17,zone_2,bow_2,2
drop_18,zone_2,wand_2,2
drop_19,zone_2,sword_3,1
drop_20,zone_2,bow_3,1
drop_21,zone_2,wand_3,1
drop_22,zone_3,,30
drop_23,zone_3,sword_1,4
drop_24,zone_3,bow_1,4
drop_25,zone_3,wand_1,4
drop_26,zone_3,sword_2,3
drop_27,zone_3,bow_2,3
drop_28,zone_3,wand_2,3
drop_29,zone_3,sword_3,2
drop_30,zone_3,bow_3,2
drop_31,zone_3,wand_3,2
