level,exp,exp_need,bonus
1,20,0,
2,40,10,
3,50,10,
4,60,10,
5,70,10,
6,80,25,
7,105,25,
8,130,25,
9,155,25,
10,180,25,
11,205,50,
12,255,50,
13,305,50,
14,355,50,
15,405,50,
16,455,80,
17,535,80,
18,615,80,
19,695,80,
20,775,80,
21,855,120,
22,975,120,
23,1095,120,
24,1215,120,
25,1335,120,
26,1455,240,
27,1695,240,
28,1935,240,
29,2175,240,
30,2415,240,
31,2655,600,
32,3255,600,
33,3855,600,
34,4455,600,
35,5055,600,
36,5655,1800,
37,7455,1800,
38,9255,1800,
39,11055,1800,
40,12855,1800,
41,14655,5400,
42,20055,5400,
43,25455,5400,
44,30855,5400,
45,36255,5400,
46,41655,13500,
47,55155,13500,
48,68655,13500,
49,82155,13500,
50,95655,13500,
51,109155,27000,
52,136155,27000,
53,163155,27000,
54,190155,54000,
55,244155,54000,
56,298155,54000,
57,352155,54000,
58,406155,54000,
59,460155,54000,
60,514155,,
