id,zone_id,monster_id,weight
appear_1,zone_0,slime,6
appear_2,zone_0,goblin,3
appear_3,zone_0,skeleton,1
appear_4,zone_1,slime,1
appear_5,zone_1,goblin,6
appear_6,zone_1,skeleton,6
appear_7,zone_1,kentauross,3
appear_8,zone_1,orc,3
appear_9,zone_1,wyvern,1
appear_10,zone_1,wraith,1
appear_11,zone_2,goblin,6
appear_12,zone_2,skeleton,6
appear_13,zone_2,kentauross,3
appear_14,zone_2,orc,3
appear_15,zone_2,wyvern,2
appear_16,zone_2,wraith,2
appear_17,zone_2,gargoyle,1
appear_18,zone_3,kentauross,5
appear_19,zone_3,orc,5
appear_20,zone_3,wyvern,4
appear_21,zone_3,wraith,4
appear_22,zone_3,gargoyle,3
appear_23,zone_3,golem,1
appear_24,zone_3,griffin,1
