stage,monster_1,monster_2,monster_3,monster_4,monster_5,monster_6,monster_7,monster_8,monster_9,wave,boss_id
1,3,0,0,0,0,0,0,0,0,3,0
2,3,1,0,0,0,0,0,0,0,3,0
3,2,2,0,0,0,0,0,0,0,3,0
4,2,2,1,0,0,0,0,0,0,3,0
5,1,2,2,0,0,0,0,0,0,3,0
6,1,2,3,0,0,0,0,0,0,3,0
7,1,2,4,0,0,0,0,0,0,3,1004
8,0,1,3,1,1,0,0,0,0,4,0
9,0,1,3,2,1,0,0,0,0,4,0
10,0,1,2,3,1,0,0,0,0,4,0
11,0,1,2,3,1,0,0,0,0,4,0
12,0,1,1,2,2,1,0,0,0,4,0
13,0,1,1,2,2,1,0,0,0,4,0
14,0,0,1,2,2,2,0,0,0,4,1103
15,0,0,1,2,2,1,1,0,0,5,0
16,1,1,0,2,2,1,1,0,0,5,0
17,1,2,0,2,2,1,1,0,0,5,0
18,1,1,2,1,2,2,1,0,0,5,0
19,1,2,2,1,2,2,1,0,0,5,0
20,1,2,2,1,1,2,1,1,0,5,0
21,1,2,2,1,1,3,2,1,0,5,1104
