id,weight_type,attack,defense,health,resistance,skill_0,skill_1,skill_2,skill_3,reward_exp,critical
201000,0,5,2,15,,monster_attack,,,,6,0.1
201001,0,5,2,15,,monster_attack,,,,6,0.1
201002,1,10,7,30,,monster_attack,,,,9,0.1
201003,2,16,11,48,,monster_attack,,,,13,0.12
201004,3,22,15,66,,monster_attack,monster_critical,,,20,0.14
202000,4,34,23,102,,monster_attack,,,,31,0.15
202001,4,34,23,102,,monster_attack,,,,31,0.15
202002,5,43,29,129,,monster_attack,,,,39,0.15
202003,6,60,40,180,,monster_attack,monster_critical,,,50,0.17
202004,7,71,48,213,,monster_attack,monster_critical,,,64,0.17
202005,8,100,67,300,,monster_attack,monster_critical,monster_defence,,80,0.2
202006,8,100,67,300,,monster_attack,monster_critical,monster_defence,,80,0.2
202007,8,100,67,300,,monster_attack,monster_critical,monster_defence,,80,0.2
202008,8,100,67,300,,monster_attack,monster_critical,monster_defence,,80,0.2
