id,result_id,material_1,material_2,material_3,material_4,material_5
1,201000,302001,302002,,,
2,201001,302000,302003,,,
3,201001,302000,302003,302004,,
4,201001,302000,302003,302005,,
5,201002,302000,302007,302004,302005,
6,201003,302000,302007,,,
7,201003,302000,302007,302004,,
8,201003,302000,302007,302005,,
9,201003,302000,302007,302004,302005,
10,201004,302000,302008,,,
11,201004,302000,302008,302004,,
12,201004,302000,302008,302005,,
13,201004,302000,302008,302004,302005,
14,201005,302008,302004,,,
15,201005,302008,302004,302005,,
16,201005,302008,302004,302005,302006,
17,201006,302009,302004,,,
18,201006,302009,302004,302005,,
19,201006,302009,302004,302005,302006,
20,202000,302003,302005,,,
21,202000,302003,302005,302004,,
22,202001,302006,302006,302006,,
