id,set_id,set_count,ability,value
1,1,1,0,0
2,1,2,health,10
3,1,3,defense,10
4,1,4,damage,10
5,1,5,luck,0.002
6,2,1,0,0
7,2,2,health,10
8,2,3,defense,10
9,2,4,damage,10
10,2,5,luck,0.002
11,3,1,0,0
12,3,2,health,10
13,3,3,defense,10
14,3,4,damage,10
15,3,5,luck,0.002
16,4,1,0,0
17,4,2,health,10
18,4,3,defense,10
19,4,4,damage,10
20,4,5,luck,0.002
21,5,1,0,0
22,5,2,health,10
23,5,3,defense,10
24,5,4,damage,10
25,5,5,luck,0.002
26,6,1,0,0
27,6,2,health,20
28,6,3,defense,20
29,6,4,damage,20
30,6,5,luck,0.004
31,7,1,0,0
32,7,2,health,20
33,7,3,defense,20
34,7,4,damage,20
35,7,5,luck,0.004
36,8,1,0,0
37,8,2,health,20
38,8,3,defense,20
39,8,4,damage,20
40,8,5,luck,0.004
41,9,1,0,0
42,9,2,health,20
43,9,3,defense,20
44,9,4,damage,20
45,9,5,luck,0.004
46,10,1,0,0
47,10,2,health,20
48,10,3,defense,20
49,10,4,damage,20
50,10,5,luck,0.004
51,11,1,0,0
52,11,2,health,40
53,11,3,defense,40
54,11,4,damage,40
55,11,5,luck,0.006
56,12,1,0,0
57,12,2,health,40
58,12,3,defense,40
59,12,4,damage,40
60,12,5,luck,0.006
61,13,1,0,0
62,13,2,health,40
63,13,3,defense,40
64,13,4,damage,40
65,13,5,luck,0.006
66,14,1,0,0
67,14,2,health,40
68,14,3,defense,40
69,14,4,damage,40
70,14,5,luck,0.006
71,15,1,0,0
72,15,2,health,40
73,15,3,defense,40
74,15,4,damage,40
75,15,5,luck,0.006
