Key,English,Korean
BUFF_DESCRIPTION_101000,Increase Health,최대 체력 증가
BUFF_DESCRIPTION_101001,Increase Health,최대 체력 증가
BUFF_DESCRIPTION_102000,Increase Attack,공격 강화
BUFF_DESCRIPTION_102001,Increase Attack,공격 강화
BUFF_DESCRIPTION_103000,Increase Defense,방어 강화
BUFF_DESCRIPTION_103001,Increase Defense,방어 강화
BUFF_DESCRIPTION_104000,Increase Critical Chance,치명 확률 증가
BUFF_DESCRIPTION_104001,Increase Critical Chance,치명 확률 증가
BUFF_DESCRIPTION_105000,Increase Dodge Chance,회피 확률 증가
BUFF_DESCRIPTION_105001,Increase Dodge Chance,회피 확률 증가
BUFF_DESCRIPTION_106000,Increase Speed,속도 증가
BUFF_DESCRIPTION_106001,Increase Speed,속도 증가
BUFF_DESCRIPTION_202000,Decrease Attack,공격 약화
BUFF_DESCRIPTION_202001,Decrease Defense,공격 약화
BUFF_DESCRIPTION_203001,Decrease Defense,방어 약화
BUFF_DESCRIPTION_204001,Decrease Critical Chance,치명 확률 감소
BUFF_DESCRIPTION_205001,Decrease Dodge Chance,회피 확률 감소
BUFF_DESCRIPTION_206001,Decrease Speed,속도 감소
