Key,English,Korean
CHARACTER_NAME_100010,Warrior,전사
CHARACTER_NAME_100110,Archer,궁수
CHARACTER_NAME_100210,Magician,법사
CHARACTER_NAME_201000,Seed of Yggdrasill,이그드라실의 씨앗
CHARACTER_NAME_201001,Bud of Yggdrasill,이그드라실의 새싹
CHARACTER_NAME_201002,Bud of Yggdrasill,이그드라실의 새싹
CHARACTER_NAME_201003,Flower of Yggdrasill,이그드라실의 꽃
CHARACTER_NAME_201004,Fruit of Yggdrasill,이그드라실의 열매
CHARACTER_NAME_201005,Eggplant of Yggdrasill,이그드라실의 모종
CHARACTER_NAME_201006,Vines of Yggdrasil,이그드라실의 덩굴
CHARACTER_NAME_201007,Mushroom spore of Yggdrasil,이그드라실의 버섯포자
CHARACTER_NAME_201008,Leaf bundle of Yggdrasil,이그드라실의 덤불
CHARACTER_NAME_202000,Fox Henchman,여우부족 졸개
CHARACTER_NAME_202001,Fox Trainee,여우부족 훈련병
CHARACTER_NAME_202002,Fox Bandit,여우부족 도적
CHARACTER_NAME_202003,Fox Warrior,여우부족 전사
CHARACTER_NAME_202004,Fox Shaman,여우부족 주술사
CHARACTER_NAME_202005,Fox Apprentice Wizard,여우부족 견습 마법사
CHARACTER_NAME_202006,Fox Wizard,여우부족 마도사
CHARACTER_NAME_202007,Fox Thief,여우부족 대장
CHARACTER_NAME_203000,Pig Henchman,돼지부족 졸개
CHARACTER_NAME_203001,Pig Trainee,돼지부족 훈련병
CHARACTER_NAME_203002,Pig Apprentice Wizard,돼지부족 견습 마법사
CHARACTER_NAME_203003,Pig Warrior,돼지부족 전사
CHARACTER_NAME_203004,Pig Paladin,돼지부족 성기사
CHARACTER_NAME_203005,Pig Trespasser,돼지부족 도살자
CHARACTER_NAME_203006,Pig Thief,돼지부족 마도사
CHARACTER_NAME_203007,Serimnir,제림니르
CHARACTER_NAME_204000,Bark of Yggdrasill,이그드라실의 부산물
CHARACTER_NAME_204010,Bark of Yggdrasill,이그드라실의 부산물
CHARACTER_NAME_204020,Bark of Yggdrasill,이그드라실의 부산물
CHARACTER_NAME_204001,Bark of Yggdrasill (Land),이그드라실의 부산물(대지)
CHARACTER_NAME_204011,Bark of Yggdrasill (Land),이그드라실의 부산물(대지)
CHARACTER_NAME_204021,Bark of Yggdrasill (Land),이그드라실의 부산물(대지)
CHARACTER_NAME_204002,Bark of Yggdrasill (Fire),이그드라실의 부산물(불)
CHARACTER_NAME_204012,Bark of Yggdrasill (Fire),이그드라실의 부산물(불)
CHARACTER_NAME_204022,Bark of Yggdrasill (Fire),이그드라실의 부산물(불)
CHARACTER_NAME_204003,Bark of Yggdrasill (Wind),이그드라실의 부산물(바람)
CHARACTER_NAME_204013,Bark of Yggdrasill (Wind),이그드라실의 부산물(바람)
CHARACTER_NAME_204023,Bark of Yggdrasill (Wind),이그드라실의 부산물(바람)
CHARACTER_NAME_204004,Bark of Yggdrasill (Water),이그드라실의 부산물(물)
CHARACTER_NAME_204014,Bark of Yggdrasill (Water),이그드라실의 부산물(물)
CHARACTER_NAME_204024,Bark of Yggdrasill (Water),이그드라실의 부산물(물)
CHARACTER_NAME_205000,Knight of the Wind,바람의 기사
CHARACTER_NAME_205003,Knight of the Wind,바람의 기사
CHARACTER_NAME_205007,Fenrir,펜리르
