Key,English,Korean
DIALOG_1_1_0,[npc:01]Welcome. you’re a new cat too.[newline]It's starting to get crowded here!,"[npc:01]잘 왔어, 너는 또 새로운 녀석이구나옹.[newline]여기도 슬슬 고양이들로 붐비기 시작하는군."
DIALOG_1_1_1,"Oh, who am I? [shake_vertical:20|1|2][newline] A very important cat that connects you with the Godness?","아, 난 누구냐고? .. [shake_vertical:20|1|2]나로 말할 것 같으면.[newline]여신님과 너를 잇는 역할을 하는 아주 중요한 몸이랄까?"
DIALOG_1_1_2,And who's the Goddess?[newline]Oh my... it's too complicated to explain it all at once.,여신님은 또 누구냐고?[newline]이런이런.. 한꺼번에 다 설명하려면 너무 복잡하다고.
DIALOG_1_1_3,Let's do some work before we talk anything else.[newline]You can move to another world by climbing the platform below me.,일단 다른 설명을 듣기 전에 잠깐 몸을 풀고 와볼까?[newline]내 아래쪽에 있는 단상에 올라가면 다른 세계로 이동할 수 있다옹
DIALOG_1_1_4,Go to Alfheim and catch a few troublesome ones.[newline]There are so many kids like you right now[newline]so I'll have to come back and explain it to you.,알프헤임에 가서 골치 아픈 녀석들을 몇 마리만 잡고 있어보라옹.[newline]너같은 애들이 지금 너무 많아서 조금 있다 다시 와서 설명해줄게
DIALOG_1_1_5,(White cat disappeared.),(하얀 고양이는 어디론가 사라졌다)
DIALOG_2_1_0,[npc:01]Hugh[comma] you're a little off right now.,[npc:01]휴 당장은 좀 사그러든건가...
DIALOG_2_1_1,The ones you just removed are the ones that came out of Yggdrasill.[newline]They’re vicious.,네가 조금 전에 없앤 녀석들은 세계수[comma] 이그드라실에서 떨어져나온 생명체들이야. [newline]악랄한 녀석들이지.
DIALOG_2_1_2,If you leave them alone[comma][newline]they'll grow up and they'll go all over the world.,가만히 놔두면 점점 자라서 온 세계를 헤집어다닐 녀석들이야.
DIALOG_2_1_3,These guys are so crowded in the Alps that I can't stand on my feet.,알프헤임에는 이 녀석들이 너무 창궐해서 도저히 발을 디딜 수가 없을 정도라고.
DIALOG_2_1_4,I think we're using a different way to multiply[comma][newline]given that it's increasing at this rate.[newline]Go deeper into the Alfheim and find out why!,아무래도 이런 속도로 늘어나는 것을 보니[comma] 증식을 위한 다른 방법을 쓰고 있는 것 같아.[newline]좀 더 알프헤임 깊숙히 들어가서 원인을 찾아봐줘!
DIALOG_2_1_5,(White cat disappeared somewhere),(하얀 고양이는 어디론가 사라졌다)
