Key,English,Korean
EQUIPMENT_DESCRIPTION_10110000,"A sword that is light and hard, so active.",가볍고 단단해서 활동성이 좋은 검.
EQUIPMENT_DESCRIPTION_10111000,"A sword that is light and hard, so active. Elemental attacks are possible.",가볍고 단단해서 활동성이 좋은 검. 속성이 담겨 있어 좀 더 강력하다.
EQUIPMENT_DESCRIPTION_10112000,"A sword that is light and hard, so active. Elemental attacks are possible.",가볍고 단단해서 활동성이 좋은 검. 속성이 담겨 있어 좀 더 강력하다.
EQUIPMENT_DESCRIPTION_10113000,"A sword that is light and hard, so active. Elemental attacks are possible.",가볍고 단단해서 활동성이 좋은 검. 속성이 담겨 있어 좀 더 강력하다.
EQUIPMENT_DESCRIPTION_10114000,"A sword that is light and hard, so active. Elemental attacks are possible.",가볍고 단단해서 활동성이 좋은 검. 속성이 담겨 있어 좀 더 강력하다.
EQUIPMENT_DESCRIPTION_10120000,Sword used by gladiators. The glittering blades of the knife attract attention. ,검투사가 즐겨 쓰는 검. 화려한 날이 시선을 끈다.
EQUIPMENT_DESCRIPTION_10121000,Sword used by gladiators. The glittering blades of the knife attract attention. Elemental attacks are possible.,검투사가 즐겨 쓰던 검. 화려한 칼날이 시선을 끈다. 속성 공격이 가능하다.
EQUIPMENT_DESCRIPTION_10122000,Sword used by gladiators. The glittering blades of the knife attract attention. Elemental attacks are possible.,검투사가 즐겨 쓰던 검. 화려한 칼날이 시선을 끈다. 속성 공격이 가능하다.
EQUIPMENT_DESCRIPTION_10123000,Sword used by gladiators. The glittering blades of the knife attract attention. Elemental attacks are possible.,검투사가 즐겨 쓰던 검. 화려한 칼날이 시선을 끈다. 속성 공격이 가능하다.
EQUIPMENT_DESCRIPTION_10124000,Sword used by gladiators. The glittering blades of the knife attract attention. Elemental attacks are possible.,검투사가 즐겨 쓰던 검. 화려한 칼날이 시선을 끈다. 속성 공격이 가능하다.
EQUIPMENT_DESCRIPTION_10130000,Solid sword for war.,전쟁을 대비하여 견고하게 제련된 검.
EQUIPMENT_DESCRIPTION_10131000,Solid sword for war. Elemental attacks are possible.,전쟁을 대비하여 견고하게 제련된 검. 속성 공격이 가능하다.
EQUIPMENT_DESCRIPTION_10132000,Solid sword for war. Elemental attacks are possible.,전쟁을 대비하여 견고하게 제련된 검. 속성 공격이 가능하다.
