Key,English,Korean
EQUIPMENT_NAME_10110000,A검,검
EQUIPMENT_NAME_10111000,A검(불),검(불)
EQUIPMENT_NAME_10112000,A검(물),검(물)
EQUIPMENT_NAME_10113000,A검(땅),검(땅)
EQUIPMENT_NAME_10114000,A검(바람),검(바람)
EQUIPMENT_NAME_10120000,A마력 검,마력 검
EQUIPMENT_NAME_10121000,A마력 검(불),마력 검(불)
EQUIPMENT_NAME_10122000,A마력 검(물),마력 검(물)
EQUIPMENT_NAME_10123000,A마력 검(땅),마력 검(땅)
EQUIPMENT_NAME_10124000,A마력 검(바람),마력 검(바람)
EQUIPMENT_NAME_10130000,A어둠 검,어둠 검
EQUIPMENT_NAME_10131000,A어둠 검(불),어둠 검(불)
EQUIPMENT_NAME_10132000,A어둠 검(물),어둠 검(물)
EQUIPMENT_NAME_10133000,A어둠 검(땅),어둠 검(땅)
EQUIPMENT_NAME_10134000,A어둠 검(바람),어둠 검(바람)
EQUIPMENT_NAME_10210000,A옷,옷
EQUIPMENT_NAME_10211000,A옷(불),옷(불)
EQUIPMENT_NAME_10212000,A옷(물),옷(물)
EQUIPMENT_NAME_10213000,A옷(땅),옷(땅)
EQUIPMENT_NAME_10214000,A옷(바람),옷(바람)
EQUIPMENT_NAME_10220000,A마력 전투복,마력 전투복
EQUIPMENT_NAME_10221000,A마력 전투복(불),마력 전투복(불)
EQUIPMENT_NAME_10222000,A마력 전투복(물),마력 전투복(물)
EQUIPMENT_NAME_10223000,A마력 전투복(땅),마력 전투복(땅)
EQUIPMENT_NAME_10224000,A마력 전투복(바람),마력 전투복(바람)
EQUIPMENT_NAME_10230000,A어둠 의상,어둠 의상
EQUIPMENT_NAME_10231000,A어둠 의상(불),어둠 의상(불)
EQUIPMENT_NAME_10232000,A어둠 의상(물),어둠 의상(물)
EQUIPMENT_NAME_10233000,A어둠 의상(땅),어둠 의상(땅)
EQUIPMENT_NAME_10234000,A어둠 의상(바람),어둠 의상(바람)
EQUIPMENT_NAME_10310000,A장식띠,장식띠
EQUIPMENT_NAME_10311000,A장식띠(불),장식띠(불)
EQUIPMENT_NAME_10312000,A장식띠(물),장식띠(물)
EQUIPMENT_NAME_10313000,A장식띠(땅),장식띠(땅)
EQUIPMENT_NAME_10314000,A장식띠(바람),장식띠(바람)
EQUIPMENT_NAME_10320000,A마력의 죔쇠,마력의 죔쇠
EQUIPMENT_NAME_10321000,A마력의 죔쇠(불),마력의 죔쇠(불)
EQUIPMENT_NAME_10322000,A마력의 죔쇠(물),마력의 죔쇠(물)
EQUIPMENT_NAME_10323000,A마력의 죔쇠(땅),마력의 죔쇠(땅)
EQUIPMENT_NAME_10324000,A마력의 죔쇠(바람),마력의 죔쇠(바람)
EQUIPMENT_NAME_10330000,A어둠의 요대,어둠의 요대
EQUIPMENT_NAME_10331000,A어둠의 요대(불),어둠의 요대(불)
EQUIPMENT_NAME_10332000,A어둠의 요대(물),어둠의 요대(물)
EQUIPMENT_NAME_10333000,A어둠의 요대(땅),어둠의 요대(땅)
EQUIPMENT_NAME_10334000,A어둠의 요대(바람),어둠의 요대(바람)
EQUIPMENT_NAME_103000,A신발,신발
EQUIPMENT_NAME_103001,A신발,신발
EQUIPMENT_NAME_103002,A신발,신발
EQUIPMENT_NAME_104000,A목걸이,목걸이
EQUIPMENT_NAME_104001,A목걸이,목걸이
EQUIPMENT_NAME_104002,A목걸이,목걸이
EQUIPMENT_NAME_105000,A보석,보석
EQUIPMENT_NAME_105001,A보석,보석
EQUIPMENT_NAME_105002,A보석,보석
EQUIPMENT_NAME_201000,A참치캔,참치캔
EQUIPMENT_NAME_201001,A대충 만든 오므라이스,대충 만든 오므라이스
EQUIPMENT_NAME_201002,A공들인 오므라이스,공들인 오므라이스
EQUIPMENT_NAME_201003,A그저 그런 비프라이스,그저 그런 비프라이스
EQUIPMENT_NAME_201004,A윤기 나는 비프라이스,윤기 나는 비프라이스
EQUIPMENT_NAME_201005,A모둠스테이크,모둠스테이크
EQUIPMENT_NAME_201006,A훌륭한 모둠스테이크,훌륭한 모둠스테이크
EQUIPMENT_NAME_202000,A계란후라이,계란후라이
EQUIPMENT_NAME_202001,A캣닢티,캣닢티
