Key,English,Korean,Portuguese
ITEM_NAME_105000,Diamond,보석,Diamante
ITEM_NAME_105001,Diamond,보석,Diamante
ITEM_NAME_105002,Diamond,보석,Diamante
ITEM_NAME_200000,Failed Dish,맛없는 요리,Prato Falhado
ITEM_NAME_201000,Canned Tuna,참치캔,Atum Enlatado
ITEM_NAME_201001,Legendary Canned Tuna,전설의 참치캔,Atum Enlatado  Lendário
ITEM_NAME_201002,Fried Egg,계란후라이,Ovo Frito
ITEM_NAME_201003,Sunny side up,반숙 후라이,Ovos  Estrelados
ITEM_NAME_201004,Legendary Fried Egg,전설의 후라이,Ovo Frito  Lendário
ITEM_NAME_201005,Rough Omelet,대충 만든 오므라이스,Omelete Dura
ITEM_NAME_201006,Great Omelet,공들인 오므라이스,Omelete Ótima
ITEM_NAME_201007,Legend Omelet,전설의 오므라이스,Omelete  Lendária
ITEM_NAME_201008,Tasteless Beef Rice,그저 그런 비프라이스,Arroz com Carne Bovina sem Gosto
ITEM_NAME_201009,Tasty Beef Rice,윤기 나는 비프라이스,Arroz com Carne Bovina Saboroso
ITEM_NAME_201010,Legendary Beef Rice,전설의 비프라이스,Arroz com Carne Bovina  Lendária
ITEM_NAME_201011,Steak,스테이크,Bife
ITEM_NAME_201012,Great Steak,모둠스테이크,Bife Maravilhoso
ITEM_NAME_201013,Legendary Steak,전설의 스테이크,Bife  Lendário
ITEM_NAME_10100000,Wooden Club,나뭇가지,Taco de Madeira
ITEM_NAME_10110000,Long Sword,롱 소드,Espada Longa
ITEM_NAME_10111000,Long Sword,롱 소드(불),Espada Longa(Fogo)
ITEM_NAME_10112000,Long Sword,롱 소드(물),Espada Longa(Água)
ITEM_NAME_10113000,Long Sword,롱 소드(땅),Espada Longa(Terra)
ITEM_NAME_10114000,Long Sword,롱 소드(바람),Espada Longa(Vento)
ITEM_NAME_10120000,Gladiator Sword,검투사 검,Espada do Gladiador
ITEM_NAME_10121000,Gladiator Sword,검투사 검(불),Espada do Gladiador(Fogo)
ITEM_NAME_10122000,Gladiator Sword,검투사 검(물),Espada do Gladiador(Água)
ITEM_NAME_10123000,Gladiator Sword,검투사 검(땅),Espada do Gladiador(Terra)
ITEM_NAME_10124000,Gladiator Sword,검투사 검(바람),Espada do Gladiador(Vento)
ITEM_NAME_10130000,Black Crow Sword,까마귀의 검,Espada do Corvo Negro
ITEM_NAME_10131000,Black Crow Sword,까마귀의 검(불),Espada do Corvo Negro(Fogo)
ITEM_NAME_10132000,Black Crow Sword,까마귀의 검(물),Espada do Corvo Negro(Água)
ITEM_NAME_10133000,Black Crow Sword,까마귀의 검(땅),Espada do Corvo Negro(Terra)
ITEM_NAME_10134000,Black Crow Sword,까마귀의 검(바람),Espada do Corvo Negro(Vento)
ITEM_NAME_10130001,Heavy Sword,무거운 검,Espada Pesada
ITEM_NAME_10131001,Heavy Sword,무거운 검(불),Espada Pesada(Fogo)
ITEM_NAME_10132001,Heavy Sword,무거운 검(물),Espada Pesada(Água)
ITEM_NAME_10133001,Heavy Sword,무거운 검(땅),Espada Pesada(Terra)
ITEM_NAME_10134001,Heavy Sword,무거운 검(바람),Espada Pesada(Vento)
ITEM_NAME_10140000,War Sword,전쟁 검,Espada de Guerra
ITEM_NAME_10141000,War Sword,전쟁 검(불),Espada de Guerra(Fogo)
ITEM_NAME_10142000,War Sword,전쟁 검(물),Espada de Guerra(Água)
ITEM_NAME_10143000,War Sword,전쟁 검(땅),Espada de Guerra(Terra)
ITEM_NAME_10144000,War Sword,전쟁 검(바람),Espada de Guerra(Vento)
ITEM_NAME_10140001,Asgard's Sword,아스가르드의 검,Espada Asgardiana
ITEM_NAME_10141001,Asgard's Sword,아스가르드의 검(불),Espada Asgardiana(Fogo)
ITEM_NAME_10142001,Asgard's Sword,아스가르드의 검(물),Espada Asgardiana(Água)
ITEM_NAME_10143001,Asgard's Sword,아스가르드의 검(땅),Espada Asgardiana(Terra)
ITEM_NAME_10144001,Asgard's Sword,아스가르드의 검(바람),Espada Asgardiana(Vento)
ITEM_NAME_10150000,Dainsleif,다인슬레이프,Dainsleif
ITEM_NAME_10151000,Dainsleif,다인슬레이프(불),Dainsleif(Fogo)
ITEM_NAME_10152000,Dainsleif,다인슬레이프(물),Dainsleif(Água)
ITEM_NAME_10153000,Dainsleif,다인슬레이프(땅),Dainsleif(Terra)
ITEM_NAME_10154000,Dainsleif,다인슬레이프(바람),Dainsleif(Vento)
ITEM_NAME_10150001,Sourt's Sword,수르트의 검,Espada de Sourt
ITEM_NAME_10151001,Sourt's Sword,수르트의 검(불),Espada de Sourt(Fogo)
ITEM_NAME_10152001,Sourt's Sword,수르트의 검(물),Espada de Sourt(Água)
ITEM_NAME_10153001,Sourt's Sword,수르트의 검(땅),Espada de Sourt(Terra)
ITEM_NAME_10154001,Sourt's Sword,수르트의 검(바람),Espada de Sourt(Vento)
ITEM_NAME_10155000,Valkyrie’s Sword,발키리의 검,Espada da Valquíria
ITEM_NAME_10200000,Ragged Clothes,누더기 옷,Roupas  Esfarrapadas
ITEM_NAME_10210000,Casual Clothes,천 옷,Roupas Casuais
ITEM_NAME_10211000,Casual Clothes,천 옷(불),Roupas Casuais(Fogo)
ITEM_NAME_10212000,Casual Clothes,천 옷(물),Roupas Casuais(Água)
ITEM_NAME_10213000,Casual Clothes,천 옷(땅),Roupas Casuais (Terra)
ITEM_NAME_10214000,Casual Clothes,천 옷(바람),Roupas Casuais (Vento)
ITEM_NAME_10220000,Leather Clothes,가죽 옷,Roupa de Couro
ITEM_NAME_10221000,Leather Clothes,가죽 옷(불),Roupa de Couro (Fogo)
ITEM_NAME_10222000,Leather Clothes,가죽 옷(물),Roupa de Couro (Água)
ITEM_NAME_10223000,Leather Clothes,가죽 옷(땅),Roupa de Couro (Terra)
ITEM_NAME_10224000,Leather Clothes,가죽 옷(바람),Roupa de Couro (Vento)
ITEM_NAME_10230000,Black Crow Armor,검은 까마귀의 갑옷,Armadura do Corvo Negro
ITEM_NAME_10231000,Black Crow Armor,검은 까마귀의 갑옷(불),Armadura do Corvo Negro(Fogo)
ITEM_NAME_10232000,Black Crow Armor,검은 까마귀의 갑옷(물),Armadura do Corvo Negro(Água)
ITEM_NAME_10233000,Black Crow Armor,검은 까마귀의 갑옷(땅),Armadura do Corvo Negro(Terra)
ITEM_NAME_10234000,Black Crow Armor,검은 까마귀의 갑옷(바람),Armadura do Corvo Negro(Vento)
ITEM_NAME_10230001,Hermes' Clothes,헤르메스의 옷,Roupa de Hermes
ITEM_NAME_10231001,Hermes' Clothes,헤르메스의 옷(불),Roupa de Hermes(Fogo)
ITEM_NAME_10232001,Hermes' Clothes,헤르메스의 옷(물),Roupa de Hermes(Água)
ITEM_NAME_10233001,Hermes' Clothes,헤르메스의 옷(땅),Roupa de Hermes(Terra)
ITEM_NAME_10234001,Hermes' Clothes,헤르메스의 옷(바람),Roupa de Hermes(Vento)
ITEM_NAME_10240000,War Armor,전쟁 갑옷,Armadura de Guerra
ITEM_NAME_10241000,War Armor,전쟁 갑옷(불),Armadura de Guerra(Fogo)
ITEM_NAME_10242000,War Armor,전쟁 갑옷(물),Armadura de Guerra(Água)
ITEM_NAME_10243000,War Armor,전쟁 갑옷(땅),Armadura de Guerra(Terra)
ITEM_NAME_10244000,War Armor,전쟁 갑옷(바람),Armadura de Guerra(Vento)
ITEM_NAME_10240001,Asgard's Armor,아스가르드의 갑옷,Armadura Asgardiana
ITEM_NAME_10241001,Asgard's Armor,아스가르드의 갑옷(불),Armadura Asgardiana(Fogo)
ITEM_NAME_10242001,Asgard's Armor,아스가르드의 갑옷(물),Armadura Asgardiana(Água)
ITEM_NAME_10243001,Asgard's Armor,아스가르드의 갑옷(땅),Armadura Asgardiana(Terra)
ITEM_NAME_10244001,Asgard's Armor,아스가르드의 갑옷(바람),Armadura Asgardiana(Vento)
ITEM_NAME_10250000,Legendary Armor,전설의 갑옷,Armadura   Lendária
ITEM_NAME_10251000,Legendary Armor,전설의 갑옷(불),Armadura  Lendária(Fogo)
