Key,English,Korean,Portuguese
SKILL_NAME_100000,Normal Attack,기본 공격,Ataque Normal
SKILL_NAME_100001,Blow Attack,일격,Ataque Estonteante
SKILL_NAME_100003,Double Attack,연사,Ataque Duplo
SKILL_NAME_100004,Entire Double Attack,연사(전체),Ataque Duplo Inteiro
SKILL_NAME_100005,Area Attack,광역 난사,Ataque em Área
SKILL_NAME_110000,Fire Attack,불 공격,Ataque de fogo
SKILL_NAME_110001,Flame Blow Attack,불꽃 일격,Sopro Flamejante
SKILL_NAME_110002,Flame Blow Attack (Area),불꽃 일격(전체),Sopro Flamejante(Área)
SKILL_NAME_110003,Flame Double Attack,불꽃 연사,Ataque Duplo de Chama
SKILL_NAME_110004,Flame Double Attack (Area),불꽃 연사(전체),Ataque Duplo de Chama (Área)
SKILL_NAME_110005,Magma Tsunami,용암 해일,Tsunami de Magma
SKILL_NAME_120000,Water Attack,물 공격,Ataque de Água
SKILL_NAME_120001,Ice Blow Attack,얼음 일격,Sopro Congelante
SKILL_NAME_120002,Ice Blow Attack (Area),얼음 일격(전체),Sopro Congelante (Área)
SKILL_NAME_120003,Ice Double Attack,얼음 연사,Ataque Duplo de Gelo
SKILL_NAME_120004,Ice Double Attack (Area),얼음 연사(전체),Ataque Duplo de Gelo (Área)
SKILL_NAME_120005,Ice Tsunami,얼음 해일,Tsunami de Gelo
SKILL_NAME_130000,Land Attack,땅 공격,Ataque de Terra
SKILL_NAME_130001,Sand Blow Attack,모래 일격,Sopro de Areia
SKILL_NAME_130002,Sand Blow Attack (Area),모래 일격(전체),Sopro de Areia (Área)
SKILL_NAME_130003,Sand Double Attack,모래 연사,Ataque Duplo de Areia
SKILL_NAME_130004,Sand Double Attack (Area),모래 연사(전체),Ataque Duplo de Areia (Área)
SKILL_NAME_130005,Sand Storm,모래 폭풍,Tempestade de Areia
SKILL_NAME_140000,Wind Attack,바람 공격,Ataque de Vento
SKILL_NAME_140001,Wind Blow Attack,바람 일격,Sopro de Vento
SKILL_NAME_140002,Wind Blow Attack (Area),바람 일격(전체),Sopro de Vento (Área)
SKILL_NAME_140003,Wind Double Attack,바람 연사,Ataque Duplo de Vento
SKILL_NAME_140004,Wind Double Attack (Area),바람 연사(전체),Ataque Duplo de Vento (Área)
SKILL_NAME_140005,Huge Typhoon,거대 태풍,Tufão Gigante
SKILL_NAME_200000,HP Increase,체력 증가,Aumento de HP
SKILL_NAME_200001,Team HP Increase,체력 증가(전체),Aumento de HP de Equipe
SKILL_NAME_210000,Attack Increase,공격 강화,Aumento de Ataque
SKILL_NAME_210001,Team Attack Increase,공격 강화(전체),Aumento de Ataque de Equipe
SKILL_NAME_210002,Attack Reduction,공격 약화,Redução de Ataque
SKILL_NAME_210003,Team Attack Reduction,공격 약화(전체),Redução de Ataque de Equipe
SKILL_NAME_220000,Defense Increase,방어 강화,Aumento de Defesa
SKILL_NAME_220001,Team Defense Increase,방어 강화(전체),Aumento de Defesa de Equipe
SKILL_NAME_220002,Defense Reduction,방어 약화,Redução de Defesa
SKILL_NAME_220003,Team Defense Reduction,방어 약화(전체),Redução de Defesa de Equipe
SKILL_NAME_230000,Critical Increase,치명 증가,Aumento de Crítico
SKILL_NAME_230001,Team Critical Increase,치명 증가(전체),Aumento de Crítico de Equipe
SKILL_NAME_230002,Critical Reduction,치명 감소,Redução de Crítico
SKILL_NAME_230003,Team Critical Reduction,치명 감소(전체),Redução de Crítico de Equipe
SKILL_NAME_240000,Hit Increase,명중 증가,Aumento de Hit
SKILL_NAME_240001,Team Hit Increase,명중 증가(전체),Aumento de Hit de Equipe
SKILL_NAME_240002,Hit Reduction,명중 감소,Redução de Hit
SKILL_NAME_240003,Team Hit Reduction,명중 감소(전체),Redução de Hit de Equipe
SKILL_NAME_250000,Speed Increase,속도 증가,Aumento d Velocidade
SKILL_NAME_250001,Team Speed Increase,속도 증가(전체),Aumento de Velocidade de Equipe
SKILL_NAME_250002,Speed Reduction,속도 감소,Redução de Velocidade
SKILL_NAME_250003,Team Speed Reduction,속도 감소(전체),Redução de Velocidade de Equipe
SKILL_NAME_300000,Heal,힐,Cura
SKILL_NAME_300001,Team Heal,힐(전체),Cura de Equipe
