id,stage,wave,message_key,nextId
1,1,0,TUTORIAL_BATTLE_MSG_110,
2,1,1,TUTORIAL_BATTLE_MSG_211,
4,1,3,TUTORIAL_BATTLE_MSG_313,
7,3,3,TUTORIAL_BATTLE_MSG_620,
8,4,0,TUTORIAL_BATTLE_MSG_840,
101,0,0,TUTORIAL_NOT_BATTLE_101,102
102,0,0,TUTORIAL_NOT_BATTLE_102,103
103,0,0,TUTORIAL_NOT_BATTLE_103,104
104,0,0,TUTORIAL_NOT_BATTLE_104,
9,2,1,TUTORIAL_BATTLE_MSG_921,
10,2,2,TUTORIAL_BATTLE_MSG_1022,
11,3,1,TUTORIAL_BATTLE_MSG_1131,
12,3,2,TUTORIAL_BATTLE_MSG_312,
13,4,0,TUTORIAL_BATTLE_MSG_1340,
14,4,1,TUTORIAL_BATTLE_MSG_1441,
15,5,2,TUTORIAL_BATTLE_MSG_1552,
16,6,0,TUTORIAL_BATTLE_MSG_1660,
17,6,2,TUTORIAL_BATTLE_MSG_1762,
18,7,2,TUTORIAL_BATTLE_MSG_1872,
19,10,2,TUTORIAL_BATTLE_MSG_19102,
