Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
UI_ADVENTURE_BODD_BACK_BUTTON,Adventure Boss,어드벤쳐 보스,,,,,,,,,,
BOUNTY_TOTAL,"Total Bounty ",현상금 총액,,,,,,,,,,
UI_VIEW_ALL,View All,전부 보기,,,,,,,,,,
UI_ADVENTURE_BOSS_ADD,Add ({0}/{1}),더하기 ({0}/{1}),,,,,,,,,,
UI_ADVENTURE_BOSS_REMAINING_TIME,"Remaining Time ",남은 시간,,,,,,,,,,
UI_ADVENTURE_BOSS_PARTICIPANT_BONUS,Contribute Bonus,공헌도 보너스,,,,,,,,,,
UI_ADVENTURE_BOSS_PARTICIPANTS,Participants,참가자,,,,,,,,,,
UI_ADVENTURE_BOSS_BONUS,Bonus,보너스,,,,,,,,,,
UI_ADVENTURE_BOSS_RANK_REWARD,Contribute Reward,공헌도 보상,,,,,,,,,,
UI_ADVENTURE_BOSS_CLEAR,Clear,클리어,,,,,,,,,,
UI_ADVENTURE_BOSS_SCORE,Score,점수,,,,,,,,,,
UI_ADVENTURE_BOSS_PLACE_BONUS,1st place bonus x1.2,1등 추가 보상 x1.2,,,,,,,,,,
NOTIFICATION_ADVENTURE_BOSS_INVALID,An error occurred while processing the season information. Please try again.,시즌 정보 처리에 오류가 발생했습니다. 다시 시도해주세요.,,,,,,,,,,
NOTIFICATION_ADVENTURE_BOSS_PREVIUS_BOUNTY_EXCEPTION,You've put bounty in previous season. You cannot place a bounty for two consecutive seasons.,지난 시즌에 현상금을 걸었습니다. 2시즌 연속해서 참여할 수 없습니다.,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_ALL_SCORE,Cumulative score of all users,전체 유저 누적 점수,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_MY_SCORE,My cumulative score (contribution rate),내 누적 점수 (공헌도),,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_SCORE_DESC,"The amount of reward increases multiplied depending on the number of AP potion usage.
15% of the total bounty amount in operation is paid to users according to their contribution rate.","보상은 AP포션 사용량에 따라 증가합니다.
전체 현상금의 15% NCG는 공헌도에 따라 분배됩니다.",,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_SCORE_SUB_DESC,"We will reward one person with <size=24><color=#ffcd2a><b><Style=G0>{0}</b></color></size>, which is 5% of the total bounty!"," "," ",,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_FLOOR_REACHED,Floor reached,층 도달,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_FLOOR_REWARD,Reward,보상,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_FLOOR_TITLE,First Clear Reward for {0} floor,{0} 층 최초 클리어 보상,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_FLOOR_DESC,You can receive a reward the first time you reach each floor in every season.,,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_FLOOR_CLAIM_BUTTON,Claim Reward,보상 받기,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_OPERATIONAL_THIS_SEASON_BOSS,This Season Boss,이번 시즌 보스,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_OPERATIONAL_BOSS,Boss,보스,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_OPERATIONAL_CONFIRMED_REWARD,Confirmed Reward,보상 확인하기,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_OPERATIONAL_RANDOM_REWARD,"Random Reward
(1 random out of 4)",랜덤 보상 (4개중 1개 선택),,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_OPERATIONAL_DESC,"At the end of the season, you will be rewarded based on the amount of bounty you paid.",시즌이 끝나면 제공한 현상금에 따라 보상을 받습니다.,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_OPERATIONAL_SUB_DESC,5% of the total bounty is paid to one person.,전체 현상금의 5%는 1명에게 보상으로 지급됩니다.,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_SCORE,Contribute Rewards,공헌도 보상,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_FLOOR,First Clear Rewards,최초 클리어 보상,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_OPERATIONAL,Operational Rewards,운영 보상,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_TITLE,Reward,보상,,,,,,,,,,
UI_ADVENTURE_BOSS_REWARD_INFO_REMAINING_TIME,Remaining Time,남은 시간,,,,,,,,,,
UI_ADVENTUREBOSS_OPEN_INFO,Go To ADVENTURE BOSS,어드벤쳐 보스로 이동,,,,,,,,,,
UI_ADVENTUREBOSS_OPEN_INFO_TITLE,Adventure boss has appeared.,어드벤쳐 보스가 등장했습니다.,,,,,,,,,,
UI_ADVENTUREBOSS_START_NOTI_DESC,A new season of Adventure Boss has begun.,어드벤쳐 보스의 새로운 시즌이 시작되었습니다.,,,,,,,,,,
