Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
TITLE,Nine Chronicles,나인 크로니클,Nine Chronicles,Nine Chronicles M,Nine Chronicles,Nine Chronicles,Nine Chronicles,,Nine Chronicles,九个編年史,Nine Chronicles,Nine Chronicles
ALL,All,전체,Todos,全体,Todos,ทั้งหมด,Semua,,全部,全部,Lahat,Toàn bộ
ADVENTURE,Adventure,모험,Aventura,冒険,Aventura,ผจญภัย,Petualangan,,冒险,冒險,Pakikipagsapalaran,Cuộc phiêu lưu
ACTION_HANDLE,Action Handling…,액션 처리,Manipulação de ação,アクション処理,Manejo de Acciones,การจัดการการดำเนินการ,Penanganan Aksi,,动作处理,動作處理中,Action Handling,Đang xử lý hành động…
BLOCK_DOWNLOAD,Block Downloading…,블록 다운로드 중...,Download de Bloco,ブロックダウンロード中···,Descarga de información de bloques,บล็อกกำลังดาวน์โหลด,Mengunduh Block,,块下载,區塊下載中,Block Downloading,Đang tải Khối…
CRAFT,Craft,제작,Fabricar,製作,Fabricar,สร้าง,Membuat,,制造,制造,Lumikha,Chế tạo
EXCHANGE,Exchange,거래,Trocar,取引,Intercambio,แลกเปลี่ยน,Bertukar,,交换,交易,Ipalit,Trao đổi
OBTAIN,Obtain,획득,Obter,獲得,Obtener,ได้รับ,Mendapatkan,,获取,獲取,Makamit,Thu được
SYSTEM,System,시스템,Sistema,システム,Sistema,ระบบ,Sistem,,系统,繫統,Sistema,Hệ thống
PLAYER_INIT_0,"It's full of monsters here, too..",여기도 우글우글하군..,Este lugar está cheio de pequenos monstros.,ここもうじゃうじゃしているな..,Este lugar esta lleno de pequeños monstruos.,สถานที่แห่งนี้เต็มไปด้วยสัตว์ประหลาดตัวน้อย,Tempat ini penuh dengan monster-monster kecil.,,这个地方到处都是小怪物。,這地方充滿了小怪物。,Ang lugar na ito ay puno ng malilit na halimaw.,"Ở đây cũng toàn là quái vật,…"
PLAYER_INIT_1,Let's go!,시작해볼까?,Vamos começar!,始めてみようか！,¡Comencemos!,มาเริ่มกันเลย!,Ayo mulai!,,开始吧！,讓我們開始吧！,Umpisahan na natin!,Đi nào!
PLAYER_INIT_2,I must complete the mission.,미션을 완수해야만 해.,Devo completar a missão.,ミッションを完遂しなければならない。,,ฉันต้องทำภารกิจให้สำเร็จ,Saya harus menyelesaikan misi.,,我必须完成任务。,我必須完成任務。,Dapat kong kumpletuhin ang misyon.,Ta phải hoàn thành nhiệm vụ.
PLAYER_INIT_3,I want to go back home..,집에 돌아가고 싶어..,Eu quero voltar para casa ..,家に帰りたい..,Quiero volver a casa ..,อยากกลับบ้าน ..,Aku ingin pulang ke rumah ..,,我想回家。,我想回家。,Gusto kong bumalik sa bahay ..,Ta muốn trở về nhà ..
PLAYER_INIT_4,We're going deeper and deeper..,점점 더 깊은 곳으로 들어가고 있어..,,ますます深いところへ入っている..,Vamos a profundizar cada vez más.,เราจะลึกลงไปอีก ..,Kami akan lebih dalam dan lebih dalam lagi..,,我们走得越来越深。,我們走得越來越深。,Mas malalim at mas malalim tayo ..,Chúng ta đang dần tiến vào sâu hơn ..
PLAYER_ATTACK_0,Hiyah!,이얍!,Oops!,いやっ！,¡Oops!,อุ่ย!,Hiyah!,,哎呀！,哎呀！,Hiyah!,Hiyah!
PLAYER_ATTACK_1,Let's show the power of this sword!,이 칼의 위력을 보여주마!,Vamos mostrar o poder desta espada!,この剣の威力を見せてやるぞ！,¡Mostremos el poder de esta espada!,,Mari kita tunjukkan kekuatan pedang ini!,,让我们展示这剑的 力量！,讓我們展示這劍的 力量！,Ipakita natin ang kapangyarihan ng tabak na ito!,Hãy xem sức mạnh của thanh kiếm này!
PLAYER_ATTACK_2,Do you think I'll defeat?!,내가 질 것 같아?!,Você acha que vou derrotar?!,私が負けると思うか？！,¿Crees que derrotaré?,คุณคิดว่าฉันจะพ่ายแพ้หรือไม่!,Apakah menurutmu aku akan kalah?!,,你认为我会打败吗？,你認為我會打敗嗎？,Sa palagay mo tatalo ako?!,Ngươi có nghĩ rằng ta sẽ chiến thắng?!
PLAYER_ATTACK_3,I'll crush you!,박살을 내줄게!,Eu vou te esmagar!,壊してやる！,¡Te aplastaré!,,Aku akan menghancurkanmu!,,我会粉碎你！,我會粉碎你！,Dadalhin kita!,Ta sẽ nghiền nát ngươi!
PLAYER_ATTACK_4,I can do this!,난 할 수 있어!,Eu posso fazer isso!,これはできる！,¡Puedo hacer esto!,ฉันทำได้!,Aku bisa melakukan ini!,,我可以做这个！,我可以做這個！,Kaya ko ito!,Ta có thể làm được!
ENEMY_INIT_0_0,Who's that?,누구냐!,Quem é aquele?,誰だ！,¿Quién es ese?,นั่นใครน่ะ?,Siapa itu?,,那是谁？,那是誰？,Sino yun?,Ai đó?
ENEMY_INIT_0_1,You shall not pass!,이 앞은 못 지나간다!,"Você não pode passar
por aqui!",この先は通さない！,¡No puedes pasar por aquí!,คุณไม่สามารถ ผ่านทางนี้!,Kamu tidak boleh lewat sini!,,您无法通过这里！,這裡您過不去！,HIndi ka makakadaan dito!,Ngươi không thể vượt qua nơi đây!
ENEMY_INIT_0_2,A cat that looks delicious has come.,맛있어 보이는 고양이가 왔군..,Um gato que parece delicioso chegou.,おいしそうな猫が来たな..,Ha llegado un gato que se ve delicioso.,,Seekor Kucing yang terlihat lezat telah datang.,,看起来很美味的猫来了。,看起來很美味的貓來了。,Ang isang pusa na mukhang masarap ay dumating.,Một con mèo trông thật ngon miệng tới nộp mạng.
ENEMY_INIT_0_3,Go back quickly!,얼른 돌아가라!,Volte rapidamente!,早く帰れ！,¡Vuelve rápidamente!,ย้อนกลับไปอย่างรวดเร็ว!,Kembali dengan cepat!,,快速回去！,快速回去！,Bumalik nang mabilis!,Nhanh quay lại!
ENEMY_INIT_0_4,,,,,,,,,,,#VALUE!,
PLAYER_SKILL_1_2_0,!Burn it all down!!,!다 불태워버려라!!,!Queime todos eles!,!焼き尽くせ！!,¡Quémalos a todos!,!เผาให้หมด!,!Bakar semuanya!!,,!把它们全部烧掉！,！把他們全部燒掉！,!Sunugin silang lahat!,! Thiêu rụi tất cả đi!!
PLAYER_SKILL_3_2_0,!Sweep it all away!!,!다 쓸어버려라!!,!Acabe com todos eles!,!全部消し飛ばせ！!,¡Borra su existencia por completo!,!กำจัดพวกมันให้หมด!,!Singkirkan semuanya!!,,!把它们全部除掉！,！把他們全部消滅掉！,!Paslangin silang lahat!,! Quét sạch tất cả đi !!
PLAYER_SKILL_4_2_0,!I'll obliterate everything!!,!모두 날려버리겠다!!,!Eu vou explodir tudo!,!全部吹き飛ばすぞ！!,¡Voy a hacer explotar todo!,!ฉันจะระเบิดพวกมันให้หมด!,"!Aku akan
meledakkan semuanya!",,!我要把它们全部炸掉！,！我要把它全部炸毀！,!Pasasabugin ko silang lahat!,! Ta sẽ xóa sổ mọi thứ !!
PLAYER_SKILL_2_2_0,!Smash it all!!,!다 부셔버리겠다!!,!Eu vou explodir tudo!,!ぶっ壊してやる！!,¡Voy a hacer explotar todo!,!ฉันจะระเบิดพวกมันให้หมด!,!Hancurkan semuanya!!,,!我要把它们全部炸掉！,！我要把它全部炸毀！,!Pasasabugin ko silang lahat!,! Ta sẽ đập nát mọi thứ !!
PLAYER_SKILL_0_2_0,!You can't escape this!!,!이건 못 피할 걸?!,"!Você não pode
evitar isso!",!これは避けられないだろう！!,¡No puedes evitar esto!,!คุณไม่สามารถหลีกเลี่ยงสิ่งนี้ได้!,!Kamu tidak bisa lepas dari ini!!,,!你无法避免！,！您無法避免這个！,!Hindi mo ito maiiwasan to!,! Ngươi sẽ không thể thoát khỏi nơi đây !!
PLAYER_BOSS_STAGE_0,Hey.... what's that?,왠지 불길한데..?,Ei ... o que é isso?,何だ…あれは？,Mira... ¿qué es eso?,เฮ้ย ... นั่นอะไร?,Hei.... apa itu?,,嘿...那是什么？,嘿……那是什麼？,Uy.... Ano yun?,"Ê, cái gì kia?"
PLAYER_BOSS_STAGE_1,It feels chilly down my spine..,등골이 서늘하군..,Parece frio na minha espinha ..,背筋がぞっとするな…,Se siente frío por mi columna vertebral.,,Rasanya dingin menusuk tulang belakangku..,,感觉很冷，我的脊椎..,感覺很冷，我的脊椎..,Nakaramdam ito ng bata sa aking gulugod ..,Ta cảm thấy ớn lạnh sống lưng..
PLAYER_BOSS_ENCOUNTER_0,Let's do this!!,와라!,Venha!,来い！,¡Adelante!,มาเลย!,Mari kita lakukan!!,,加油！,快點！,Tara na!,Làm thôi nào!!
PLAYER_BOSS_ENCOUNTER_1,"I must never lose, no matter what!",난 절대 질 수 없어!,"Eu nunca devo perder, não importa o quê!",負けられない！,,ฉันต้องไม่แพ้ไม่ว่าจะเกิดอะไรขึ้น!,"Aku tidak boleh kalah, apa pun yang terjadi!",,,無論如何，我絕對不能輸！,"Hindi ako dapat mawala, kahit na ano!","Ta sẽ không bao giờ thua, dù bất cứ giá nào!"
PLAYER_WIN_0,Great!,좋았어!,Ótimo!,やった！,¡Grandioso!,เยี่ยมมาก!,Hebat!,,太好了！,太棒了！,Galing!,Tuyệt vời!
PLAYER_WIN_1,I knew I could do it!,힘들었어..,Foi difícil...,大変だったな…,Esto fue dificil...,มันยากเกินไป...,Aku tahu aku bisa melakukannya!,,很难...,那真難......,Ang hirap naman nun....,Ta biết ta làm được mà!
PLAYER_WIN_2,Success!,야호!,Yeah!,よし！,¡Si!,เย่!,Sukses!,,耶！,是的！,Yeah!,Thành công!
PLAYER_LOSE_0,Ugh... That hurt.,으악!,Ugh...,うぅ…,Ugh...,เอิ๊ก...,Aduh... Sakit sekali.,,啊...,啊....,Ugh....,Ugh ... Đau quá.
PLAYER_LOSE_1,I'll try harder next time...,두고보자..,Vou tentar mais na próxima vez ...,次回はもっと頑張ろう...,Me esforzaré más la próxima vez ...,ฉันจะพยายามให้หนักขึ้นในครั้งต่อไป ...,Aku akan berusaha lebih keras lain kali...,,下次我会更加努力...,下次我會更加努力...,Susubukan kong mas mahirap sa susunod ...,Ta sẽ cố gắng hơn vào lần sau ...
ENEMY_SKILL_1_2_0,!Burn it all down!!,!다 불태워버려라!!,!Queime todos eles!,!燃えてしまえ！!,¡Quémalos a todos!,!เผาให้หมด!,!Bakar semuanya!!,,!烧掉它们！,！把他們全部燒掉！,!Sunugin silang lahat!,! Thiêu rụi tất cả đi!!
ENEMY_SKILL_3_2_0,!Sweep it all away!!,!다 쓸어버려라!!,!Acabe com todos eles!,!消えろ！!,¡Borra su existencia por completo!,!กำจัดพวกมันให้หมด!,!Sapu bersih semuanya!!,,!把它们全部除掉！,！把他們全部消滅掉！,!Paslangin silang lahat!,! Quét sạch tất cả đi !!
ENEMY_SKILL_4_2_0,!I'll obliterate everything!!,!모두 날려버리겠다!!,!Eu vou explodir tudo!,!飛ばしてやる！!,¡Voy a hacer explotar todo!,!ฉันจะระเบิดพวกมันให้หมด!,!Aku akan melenyapkan semuanya!!,,!我要把它们全部炸掉！,！我要把它全部炸毀！,!Pasasabugin ko silang lahat!,! Ta sẽ xóa sổ mọi thứ !!
ENEMY_SKILL_2_2_0,!Smash it all!!,!다 부셔버리겠다!!,!Eu vou destruir tudo!,!壊す！!,¡Voy a destruirlo todo!,ฉันจะทำรายพวกมันให้หมด!,!Hancurkan semuanya!!,,!我要摧毁所有的东西！,！我要把它全部炸毀！,!Wawasakin ko silang lahat!,! Ta sẽ đập nát mọi thứ !!
ENEMY_SKILL_0_2_0,!You can't escape this!!,!이건 못 피할 걸?!,"!Você não pode
evitar isso!",!これは避けられん！!,¡No puedes evitar esto!,!คุณไม่สามารถหลีกเลี่ยงสิ่งนี้ได้!,!Kamu tidak bisa lepas dari ini!!,,!你无法避免！ ...,！您無法避免這个！,!Hindi mo ito maiiwasan!,! Ngươi sẽ không thể thoát khỏi nơi đây !!
ENEMY_DAMAGE_0,Ugh!,으악!,Ugh!,うわっ！,¡Ugh!,เอิ๊ก!,Aw!,,啊！,啊！,Ugh!,Ugh!
ENEMY_DAMAGE_1,Groan..,으윽..,Gemido..,うぅ···,Gemido..,คร่ำครวญ ..,Mengerang..,,呻吟..,啊！,Daing ..,Ugh!..
ENEMY_DEAD_0,Ugh...,으윽..,Ugh...,あぁ···,Ugh...,เอิ๊ก...,Argh...,,啊...,啊....,Ugh...,Ugh ...
ENEMY_DEAD_1,I'm frustrated..,분하다..,Estou frustrado..,くやしい..,Estoy frustrado..,ฉันผิดหวัง..,Aku frustasi..,,我很沮丧..,啊！,Nabigo ako ..,Bực mình thật..
ENEMY_DEAD_2,How could I lose?,내가 패배하다니..,Como eu poderia perder?,負けるとは..,¿Cómo podría perder?,,Bagaimana mungkin aku bisa kalah?,,我怎么会输？,啊！,Paano ako matatalo?,Sao ta có thể thua được?
ENEMY_DEAD_3,Why are you so strong?,왜 이렇게 힘이 세?,Por que você é tão forte?,なんでこんなに強いの？,¿Por qué eres tan fuerte?,ทำไมคุณถึงแข็งแกร่ง?,Kenapa kamu begitu kuat?,,你为什么这么坚强？,啊！,Bakit ka napakalakas?,Sao ngươi lại mạnh như vậy?
