Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
ELEMENTAL_TYPE_ALL,All,모두,Todos,全部,Todo,ทั้งหมด,Semua,,全部,全部,Lahat,Tất cả
ELEMENTAL_TYPE_NORMAL,Normal,노멀,Normal,ノーマル,Normal,ธรรมดา,normal,Нормально,普通,普通,Normal,Bình thường
ELEMENTAL_TYPE_FIRE,Fire,불,Fogo,火,Fuego,ธาตุไฟ,api,Огонь,火,火,Apoy,Ngọn lửa
ELEMENTAL_TYPE_WATER,Water,물,Água,水,Agua,ธาตุน้ำ,air,Вода,水,水,Tubig,Nước
ELEMENTAL_TYPE_LAND,Land,땅,Terra,地,Tierra,ธาตุดิน,tanah,Земля,土,土,Lupa,Đất
ELEMENTAL_TYPE_WIND,Wind,바람,Vento,風,Viento,ธาตุลม,udara,Воздух,风,風,Hangin,Gió
ELEMENTAL_TYPE_OPTION_ATK_WIN_FORMAT,Deals {1:P0} +damage when attacking {0},{0}에게 공격 시 {1:P0} 만큼 피해량 추가,Causa {1:P0} +dano quando ataca {0},{0} 属性へのダメージを +{1:P0},Otorga {1:P0} +daño al atacar {0},สร้างความเสียหาย {1: P0} + เมื่อโจมตี {0},Menghasilkan serangan sebesar {1: P0} + saat menyerang {0},Наносит {1:P0} +урона при атаке {0},造成{1：P0} +攻击时伤害{0},攻擊 {0} 時造成 {1:P0} + 傷害,Nagdudulot ng {1:P0} +pinsala kapag umaatake sa {0}.,Thỏa thuận {1: p0} +sát thương khi tấn công {0}
ELEMENTAL_TYPE_OPTION_ATK_LOSE_FORMAT,Deals {1:P0} -damage when attacking {0},{0}에게 공격 시 {1:P0} 만큼 피해량 감소,Causa {1:P0} -dano quando ataca {0},{0} 属性へのダメージを -{1:P0},Otorga {1:P0} -daño al atacar {0},สร้างความเสียหาย {1: P0} - เมื่อโจมตี {0},Menghasilkan serangan sebesar {1: P0} + saat menyerang {0},Наносит {1:P0} -урона при атаке {0},造成{1：P0}-攻击{0},攻擊 {0} 時造成 {1:P0} + 傷害,Nagdudulot ng {1:P0} -pinsala kapag umaatake sa {0}.,Thỏa thuận {1: p0} -damage khi tấn công {0}
ELEMENTAL_TYPE_OPTION_DEF_WIN_FORMAT,{1:P0} -damage when hit by {0},{0}에게 피격 시 {1:P0} 만큼 피해량 감소,{1:P0} -dano quando atingido por {0},{0} 属性からのダメージを -{1:P0},{1:P0} -daño al ser atacado por {0},{1:P0} - ความเสียหายเมื่อโดนตีจาก {0},{1: P0} -damage saat terkena {0},{1:P0} -урона и попадании {0},{1：P0}时伤害-被{0}击中时伤害,{1:P0} - 被{0}擊中時造成傷害,{1:P0} -pinsala kapag tinamaan ng {0}.,{1: p0} -damage khi bị ảnh bởi {0}
ELEMENTAL_TYPE_OPTION_DEF_LOSE_FORMAT,{1:P0} +damage when hit by {0},{0}에게 피격 시 {1:P0} 만큼 피해량 추가,{1:P0} +dano quando atingido por {0},{0} 属性からのダメージを +{1:P0},{1:P0} +daño al ser atacado por {0},{1:P0} + ความเสียหายเมื่อโดนตีจาก {0},{1: P0} -damage saat terkena {0},{1:P0} +урона и попадании {0},{1：P0} +被{0}击中时造成伤害,{1:P0} - 被{0}擊中時造成傷害,{1:P0} +pinsala kapag tinamaan ng {0}.,{1: p0} +sát thương khi bị ảnh bởi {0}
