Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
EVENT_DUNGEON_NAME_10010001,Monster Island,몬스터 섬,Ilha dos Monstros,モンスターアイランド,Isla de los Monstruos,เกาะมอนสเตอร์,Pulau Monster,Остров монстров,怪兽岛,怪獸島,Isla ng mga Halimaw,Đảo quái vật
EVENT_DUNGEON_NAME_10020001,2022 AUTUMN,2022 가을,OUTONO DE 2022,2022年秋,OTOÑO DE 2022,2022 ในฤดูใบไม้ร่วง,MUSIM GUGUR 2022,ОСЕНЬ 2022,2022年秋季,2022年秋季,TAGLAGAS NG 2022,2022 mùa thu
EVENT_DUNGEON_NAME_10030001,World Horizon,월드 호라이즌,Horizonte Mundial,ワールドホライズン,Horizonte Mundial,ขอบเขตโลก,Horizon Dunia,Мировой горизонт,世界地平线,世界地平線,Horizon ng Mundo,Thế giới chân trời
EVENT_DUNGEON_NAME_10040001,2023 SPRING,2023 봄,PRIMAVERA DE 2023,2023年春,PRIMAVERA DE 2023,2023 ในฤดูใบไม้ผลิ,MUSIM SEMI 2023,ВЕСНА 2023,2023年春季,2023年春季,TAG-INIT NG 2023,2023 Mùa xuân
EVENT_DUNGEON_NAME_10050001,2023 SUMMER,2023 여름,VERÃO DE 2023,2023年夏,VERANO DE 2023,2023 ในฤดูร้อน,MUSIM PANAS 2023,ЛЕТО 2023,2023年夏季,2023年夏季,TAG-LAMIG NG 2023,2023 Mùa hè
EVENT_DUNGEON_NAME_10060001,2023 AUTUMN,2023 가을,OUTONO DE 2023,2023年秋,OTOÑO DE 2023,2023 ในฤดูใบไม้ร่วง,MUSIM GUGUR 2023,ОСЕНЬ 2023,2023年秋季,2023年秋季,TAG-ULAN NG 2023,2023 mùa thu
EVENT_DUNGEON_NAME_10070001,2023 WINTER,2023 겨울,INVERNO DE 2023,2023年冬,INVERNO DE 2023,2023 ในฤดูหนาว,MUSIM DINGIN 2023,ЗИМА 2023,2023年冬季,2023年冬季,TAG-LAMIG NG 2023,2023 Mùa đông
EVENT_DUNGEON_NAME_10080001,2024 SPRING,2024 봄,PRIMAVERA DE 2024,2024年春,PRIMAVERA DE 2024,2024 ในฤดูใบไม้ผลิ,MUSIM SEMI 2024,ВЕСНА 2024,2024年春季,2024年春季,TAGLAGAS NG 2024,2024 Mùa xuân
EVENT_DUNGEON_NAME_10090001,Treasure Valley,보물의 협곡,Vale do Tesouro,宝の谷,Valle del Tesoro,หุบเขาสมบัติ,Lembah Harta,Долина Сокровищ,宝藏谷,寶藏谷,Lambak ng Kayamanan,Thung lũng Kho Báu
EVENT_DUNGEON_NAME_10100001,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet,Moca Planet
