Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
HELP_POPUP_100000_PAGE_00_TITLE,Nine Chronicles,도움말,Bem vindos ao mundo de Nine Chronicles!,ナインクロニクルの世界へようこそ！,¡Bienvenido a Nine Chronicles!,ยินดีต้อนรับสู่โลกของ Nine Chronicles!,Selamat datang di dunia Nine Chronicles!,,欢迎来到“Nine Chronicles”的世界！,歡迎來到九個編年史！,Maligayang pagdating sa Nine Chronicles!,
HELP_POPUP_100000_PAGE_00_TEXT_00,"<color=#c17636><size=20><b>◆ Nine Chronicle</b></size></color>
- Embark on the adventure of a cat who longs to return to Midgard in Nine Chronicle.
- Nine Chronicle is implemented on the 'Blockchain Network.'
- The world of Nine Chronicle is comprised of multiple planets.

<color=#c17636><size=20><b>◆ Character Creation</b></size></color>
- Up to 3 characters can be created per planet.
- Character deletion is not supported yet. Create your characters carefully.
- Customize your unique cat warrior with various options.","<color=#c17636><size=20><b>◆ 나인 크로니클</b></size></color>
- 미드가르드로 돌아가고 싶어하는 고양이의 모험, 나인 크로니클 입니다.
- 나인 크로니클은 '블록체인 네트워크' 위에 구현되어 있습니다.
- 나인 크로니클 세계는 여러 개의 플래닛으로 구성되어 있습니다.

<color=#c17636><size=20><b>◆ 캐릭터 생성</b></size></color>
- 한 플래닛 당 캐릭터는 3개까지 생성 가능합니다.
- 캐릭터 삭제 기능은 아직 지원하지 않습니다. 신중하게 캐릭터를 만드세요.
- 다양한 커스트마이징으로 자신만의 고양이 전사를 만들어보세요.",O Nine Chronicles tem como objetivo recriar o mundo de fantasia nórdica RPG baseado no 'Blockchain Network',ナインクロニクルは「ブロックチェーンネットワーク」を基盤に北欧ファンタジーをRPGで再現することを目指しています。,Nine Chronicles recrea el fantástico mundo nórdico en un RPG basado en la 'Red Blockchain'.,Nine Chronicles มีเป้าหมายที่จะสร้างโลก RPG แฟนตาซีนอร์ดิกโดยใช้เครือข่ายบล็อคเชน,Target Nine Chronicles adalah untuk membuat duni RPG fantasi nordic berlandaskan 'Jaringan Blockchain',,“Nine Chronicles”旨在基于'区块链网络'重建北欧幻想RPG世界。,九個編年史旨在根據“區塊鍊網絡”來重現北歐幻想RPG世界。,Ang Nine Chronicles ay layuning likhain muli ang mundo ng pantasyang nordiko RPG batay sa 'Blockchain Network'.,
HELP_POPUP_100000_PAGE_01_TITLE,,,,,,,,,,,,
HELP_POPUP_100000_PAGE_01_TEXT_01,,,,,,,,,,,,
HELP_POPUP_100001_PAGE_00_TITLE,,,,,,,,,,,,
HELP_POPUP_100001_PAGE_00_TEXT_00,,,,,,,,,,,,
HELP_POPUP_100002_PAGE_00_TITLE,HELP,도움말,Mapa mundial,世界地図,Mapa Mundi,แผนที่โลก,Peta Dunia,Карта мира,世界地图,世界地圖,Mapa ng mundo,
HELP_POPUP_100002_PAGE_00_TEXT_00,"<color=#c17636><size=20><b>◆ World map structure</b></size></color>
- There are a total of 9 worlds in Nine Chronicles.
- Goddess Freyja promises reincarnation in Midgard if you gather gemstones from all 9 worlds.

<color=#c17636><size=20><b>◆ World Unlocking</b></size></color>
- Clearing a world unlocks the next one. New worlds can be opened using crystals.

<color=#c17636><size=20><b>◆ Event Dungeon</b></size></color>
- These limited-time dungeons offer exclusive items and rare materials.
- Participate in community events using event dungeons to earn rewards.","<color=#c17636><size=20><b>◆ 월드맵 구성</b></size></color>
- 나인 크로니클은 총 9개의 세계로 이루어져 있습니다.
- 여신 프레이야는 9개의 세계에서 당신이 원석을 모아오면 미드가르드로 환생을 시켜줄 것을 약속했습니다.

<color=#c17636><size=20><b>◆ 월드 오픈</b></size></color>
- 한 월드를 클리어하면 다음 월드를 열 수 있습니다. 신규 월드는 크리스탈을 통해 오픈할 수 있습니다.

<color=#c17636><size=20><b>◆ 이벤트 던전</b></size></color>
- 이벤트 던전은 비정기적으로 열리는 한정 컨텐츠 입니다.
- 이곳에서는 평소에 얻을 수 없던 한정 아이템이나 귀한 재료를 얻을 수 있으며,
- 이벤트 던전을 활용한 별도의 커뮤니티 이벤트를 통한 보상을 획득할 수도 있습니다.","Há um total de nove mundos aqui. Deusa Freya prometeu reencarnar você em Midgard quando você coleciona as pedras preciosas de todos os nove mundos. Se você limpar um mundo, você pode entrar no próximo.",ここには合計9つの世界があります。あなたがすべての9つの世界から宝石を集めるとき、女神のFreyaはあなたをミッドガードに生み出していると約束しました。あなたが1つの世界をクリアするならば、あなたは次のものを入力することができます。,"Aquí hay un total de nueve mundos. La diosa Freya prometió reencarnarte en Midgard cuando recojas las gemas de los nueve mundos. Si limpias un mundo, puede entrar al siguiente.",มีทั้งหมดเก้าโลกที่นี่ เทพธิดา Freya สัญญาว่าจะกลับชาติมาเกิดคุณเข้าสู่ Midgard เมื่อคุณรวบรวมอัญมณีจากทั้งเก้าโลก หากคุณเคลียร์โลกที่ 1 คุณสามารถไปโลกต่อไป,"Ada total sembilan dunia di sini. Goddess Freya berjanji untuk memulihkan kembali Anda ke Midgard ketika Anda mengumpulkan batu permata dari semua sembilan dunia. Jika Anda membersihkan satu dunia, Anda dapat memasukkan yang berikutnya.","Здесь в общей сложности девять миров. Богиня Фрея пообещала перевоплощаться вас в Мидгард, когда вы собираете драгоценные камни со всех девяти миров. Если вы очистите один мир, вы можете войти в следующий.",这里共有九个世界。女神Freya答应当您从所有九世界中收集宝石时，将您重新纳入Midgard。如果您清除一个世界，您可以输入下一个。,這里共有九個世界。當您從所有九個世界中收集寶石時，女神弗雷亞（Freya）答應將您轉移到米德加德。如果您清除一個世界，則可以輸入下一個世界。,"May kabuuang siyam na mundo rito. Ipinangako ng diyosang si Freya na ipapanganak ka sa Midgard kapag nagkolekta ka ng mga gemstones mula sa lahat ng siyam na mundo. Kung malampasan mo ang isang mundo, maaari kang pumasok sa susunod na mundo.",
HELP_POPUP_100003_PAGE_00_TITLE,HELP,도움말,Estágio,ステージ,Nivel,ด่าน,Panggung,стадия,阶段,關卡,Paglalakbay,
HELP_POPUP_100003_PAGE_00_TEXT_00,"<color=#c17636><size=20><b>◆ Stage Composition</b></size></color>
- Each world consists of 50 stages.
- Each world features distinct races with unique attributes and attack patterns.
- Be cautious, as some stages can be particularly challenging.

<color=#c17636><size=20><b>◆ Level up</b></size></color>
- Clearing stages earns you Exp.
- Exp based on the difference in character level and stage number.
- If your level is too high for a very low-level stage, you won't gain Exp.

<color=#c17636><size=20><b>◆ Rewards</b></size></color>
- Completing stages grants equipment materials.
- Equipment materials can only be obtained through adventure battles.
- The drop rates are higher for items listed first in the stage information.","<color=#c17636><size=20><b>◆ 스테이지 구성</b></size></color>
- 한 월드는 50개의 스테이지로 구성되어 있습니다. 월드마다 대표 종족이 있기에, 각기 다른 속성과 공격 패턴을 가집니다.
- 어떤 스테이지는 특별히 어려우니, 전열을 가다듬고 신중하게 입장하세요.

<color=#c17636><size=20><b>◆ 경험치와 레벨업</b></size></color>
- 스테이지를 클리어하면 경험치를 얻을 수 있습니다.
- 캐릭터 레벨과 스테이지 숫자의 차이에 따라 차등적으로 경험치를 받을 수 있습니다.
- 따라서 레벨이 높을 때 너무 낮은 스테이지를 클리어할 경우, 경험치를 획득할 수 없습니다.

<color=#c17636><size=20><b>◆ 보상</b></size></color>
- 스테이지 보상으로는 장비 재료를 얻을 수 있습니다.
- 장비 재료는 오직 어드벤처 전투를 통해서만 획득 가능합니다.
- 스테이지 정보에 나열된 순서대로 드랍 확률이 높습니다.","Cada mundo consiste em vários estágios. Cada mundo tem uma tribo representativa. Cada tribo tem atributos diferentes, e cada monstro tem um padrão de ataque diferente. Alguns estágios são particularmente difíceis, então se preparem e entre com cautela. Que monstro espera por você no final do mundo?",各世界はいくつかの段階で構成されています。各世界は代表的な部族を持っています。各部族には異なる属性があり、各モンスターには異なる攻撃パターンがあります。いくつかの段階は特に困難であるので、あなた自身を準備し、注意して入ります。世界の終わりにあなたを待っているモンスターはどんなモンスターを待っていますか？,"Cada mundo consiste en varios niveles. Cada mundo tiene una tribu representativa. Cada tribu tiene diferentes atributos, y cada monstruo tiene un patrón de ataque diferente. Algunos niveles son particularmente difíciles, así que prepárate y entra con cuidado. ¿Qué monstruo te espera al final del mundo?",แต่ละโลกประกอบด้วยหลายด่าน แต่ละโลกมีเผ่าตัวแทน แต่ละเผ่ามีคุณลักษณะที่แตกต่างกันและสัตว์ประหลาดแต่ละตัวมีรูปแบบการโจมตีที่แตกต่างกัน บางขั้นตอนเป็นเรื่องยากโดยเฉพาะอย่างยิ่งดังนั้นเตรียมตัวให้พร้อมและป้อนด้วยความระมัดระวัง สัตว์ประหลาดใดที่รอคุณอยู่ในตอนท้ายของโลก?,"Setiap dunia terdiri dari beberapa tahap. Setiap dunia memiliki suku yang representatif. Setiap suku memiliki atribut yang berbeda, dan setiap monster memiliki pola serangan yang berbeda. Beberapa tahap sangat sulit, jadi persiapkan diri Anda dan masuk dengan hati-hati. Monster apa yang menanti Anda di akhir dunia?","Каждый мир состоит из нескольких этапов. У каждого мира есть репрезентативное племя. Каждое племя имеет разные атрибуты, и каждый монстр имеет другой шаблон атаки. Некоторые этапы особенно сложны, так что приготовьтесь и входите с осторожностью. Какой монстр ждет вас в конце света?",每个世界都包括几个阶段。每个世界都有代表部落。每个部落都有不同的属性，每个怪物都有不同的攻击模式。一些阶段特别困难，所以准备自己并谨慎进入。怪物在世界尽头等待着你？,每個世界都由多個關卡組成。每個世界都有一個代表部落。每個部落都有不同的屬性，每個怪物都有不同的攻擊模式。有些關卡特別困難，因此請準備好自己並謹慎進入。在世界尽头，什麼怪物在等待著您？,"Bawat mundo ay binubuo ng ilang mga yugto. Bawat mundo ay may kinatawan na tribu. Bawat tribu ay may iba't ibang mga atributo, at bawat halimaw ay may iba't ibang estilo ng pag atake. May mga yugto na partikular na mahirap, kaya't ihanda ang iyong sarili at pumasok nang maingat. Anong halimaw ang naghihintay sa dulo ng mundo?",
