Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
PET_NAME_1001,D:CC Black Cat,D:CC 블랙캣,D:CC Blackcat,D:CCブラックキャット,D:CC Blackcat,D:CC แบล็คแคท,D:CC Blackcat,,D:CC黑猫,D：CC BlackCat,Walay opisyal nga pagsalin sa Giya,D: CC Blackcat
PET_NAME_1002,Red Roundy,빨간 동글이,Red Donguri,赤いドングリ,Red Donguri,ดองเกิลสีแดง,Red Donguri,,红色加密狗,紅色的東里,Pula nga Donguri,Donguri đỏ
PET_NAME_1003,Valkyrie of Light,빛의 발키리,Valquíria da Luz,光のヴァルキリー,Valkiria de la Luz,วาลคิรีแห่งแสง,Valkyrie of Light,,光之女武神,輕武道,Valkyrie sa Kahayag,Valkyrie của ánh sáng
PET_NAME_1004,Little Fenrir,꼬마 펜리르,Lil' Fenrir,ちびペンリール,Pequeño Fenrir,ลิล' เฟนริร์,Lil' Fenrir,,小芬里尔,lil'fenrir,Gamay nga Fenrir,Lil 'fenrir
PET_NAME_1011,Ribbon BlackCat,리본 블랙캣,Ribbon Blackcat,リボンブラックキャット,Ribbon Blackcat,ริบบอนแบล็คแคท,Ribbon Blackcat,,丝带黑猫,絲帶黑貓,Ribbon Blackcat,Ribbon Blackcat
PET_NAME_1012,Peach Dongle,복숭아 동글이,Peach Donguri,ピーチドングリ,Peach Donguri,ดองเกิลสีชมพู,Peach Donguri,,桃色加密狗,桃色的東里,Peach Donguri,Peach Donguri
PET_NAME_1013,Valkyrie of Blue Light,파란 빛의 발키리,Valquíria da Luz Azul,青い光のヴァルキリー,Valkiria de la Luz Azul,วาลคิรีแห่งแสงสีฟ้า,Valkyrie of Light,,蓝色光之女武神,藍色的輕武道,Valkyrie sa Bughaw nga Kahayag,Valkyrie của ánh sáng xanh
PET_NAME_1014,Forest Lil' Fenrir,숲의 꼬마 펜리르,Lil' Fenrir da Floresta,森のちびペンリール,Pequeño Fenrir del Bosque,ลิล' เฟนริรของป่า,Lil' Fenrir,,森林小芬里尔,lil'fenrir ng kagubatan,Gamay nga Fenrir sa kagubatan,Lil 'fenrir của rừng
PET_NAME_1021,Hurt BlackCat,다친 블랙캣,Hurt Blackcat,傷ついたブラックキャット,Hurt Blackcat,แบล็คแคทที่เจ็บปวด,Hurt Blackcat,,受伤的黑猫,受傷的黑貓,Hurt Blackcat,Hurt Blackcat
PET_NAME_1022,Shine Muscat Dongle,샤인 머스켓 동글이,Shine Muscat Donguri,シャインマスカットドングリ,Shine Muscat Donguri,ดองเกิลสีมัสคัต,Shine Muscat Donguri,,闪耀的葡萄加密狗,閃耀的葡萄東里,Shine Muscat Donguri,Shine Muscat Donguri
PET_NAME_1023,Valkyrie of Red Light,빨간 빛의 발키리,Valquíria da Luz Vermelha,赤い光のヴァルキリー,Valkiria de la Luz Roja,วาลคิรีแห่งแสงสีแดง,Valkyrie of Light,,红色光之女武神,紅色的輕武道,Valkyrie sa Pula nga Kahayag,Valkyrie của ánh sáng đỏ
PET_NAME_1024,Night Lil' Fenrir,밤의 꼬마 펜리르,Lil' Fenrir da Noite,夜のちびペンリール,Pequeño Fenrir de la Noche,ลิล' เฟนริรของคืน,Lil' Fenrir,,夜晚小芬里尔,lil'fenrir ng gabi,Gamay nga Fenrir sa Gabii,Lil 'fenrir của đêm
