Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog
PET_DESCRIPTION_ReduceRequiredBlock,Reduces the required number of blocks for crafting equipment by <color=#4af328>{0}%</color>.,장비 제작에 소요되는 블록이 <color=#4af328>{0}%</color> 감소됩니다.,Reduz o bloco necessário no equipamento de criação por <color=#4af328>{0}%</color>.,クラフト機器の必要なブロックを<color=#4af328>{0}％</color>削減します。,Reduce los bloques requeridos en la  fabricación de equipo por <color=#4af328>{0}%</color>.,ลดบล็อกที่ต้องใช้ในการสร้างอุปกรณ์โดย <color=#4af328>{0}%</color>,Mengurangi blok yang diperlukan pada peralatan kerajinan dengan <color=#4af328>{0}%</color>.,,将工艺/设备上所需的块减少<color=#4af328>{0}％</color>。,<color =＃4af328> {0}％</color>減少了製作裝備上所需的塊。,Binababaan ang block na kailangan sa pag buo ng kagamitan ng <color=#4af328>{0}%</color>.
PET_DESCRIPTION_ReduceRequiredBlockByFixedValue,Reduces the required number of blocks for crafting equipment by <color=#4af328>{0}</color>.,장비 제작에 소요되는 블록이 <color=#4af328>{0}</color> 감소됩니다.,Reduz o bloco necessário no equipamento de criação por <color=#4af328>{0}</color>.,クラフト機器の必要なブロックを<color=#4af328>{0}</color>削減します。,Reduce los bloques requeridos en la fabricación de equipo por <color=#4af328>{0}</color>.,ลดบล็อกที่ต้องใช้ในการสร้างอุปกรณ์โดย <color=#4af328>{0}%</color>,Mengurangi blok yang diperlukan pada peralatan kerajinan oleh <color=#4af328>{0}</color>.,,通过<color=#4af328>{0}</color>减少工艺/设备上所需的块。,通過<color =＃4af328> {0} </color>減少所需塊。,Binababaan ang block na kailangan sa pag buo ng kagamitan ng <color=#4af328>{0}%</color>.
PET_DESCRIPTION_AdditionalOptionRate,<color=#4af328>{0}%</color> increase in chance of additional option when crafting equipment.,장비 제작 시 추가 옵션이 붙을 확률이 각각 <color=#4af328>{0}%</color> 증가합니다.,"Ao criar equipamentos, o acaso para cada opções é aumentado em <color=#4af328>{0}%</color>.",機器を作成すると、各オプションのチャンスが<color=#4af328>{0}％</color>増加します。,<color=#4af328>{0}%</color> Aumenta la probabilidad de obtener equipos de mejor calidad.,เพิ่มอัตรา<color=#4af328>{0}%</color>ในการเพิ่มตัวเลือกเมื่อสร้างอุปรกรณ์,"Saat menyusun peralatan, peluang untuk setiap opsi meningkat sebesar <color=#4af328>{0}%</color>.",,当制作设备时，每个选项的机会增加<color=#4af328>{0}％</color>。,<color =＃4af328> {0}％</color>在製作裝備時增加了其他選項的機會,<color=#4af328>{0}%</color> Tinataasan ang pagkakataon na madagdagan ang opsyon kapag bumubuo ng kagamitan
PET_DESCRIPTION_AdditionalOptionRateByFixedValue,<color=#4af328>{0}%</color> increase in chance of additional option when crafting equipment.,장비 제작 시 추가 옵션이 붙을 확률이 각각 <color=#4af328>{0}%</color> 증가합니다.,"Ao criar equipamentos, o acaso para cada opções é aumentado em <color=#4af328>{0}%</color>.",機器を作成すると、各オプションのチャンスが<color=#4af328>{0}％</color>増加します。,<color=#4af328>{0}%</color> Aumenta la probabilidad de obtener equipos de mejor calidad.,เพิ่มอัตรา<color=#4af328>{0}%</color>ในการเพิ่มตัวเลือกเมื่อสร้างอุปรกรณ์,"Saat menyusun peralatan, peluang untuk setiap opsi meningkat sebesar <color=#4af328>{0}%</color>.",,当制作设备时，每个选项的机会增加<color=#4af328>{0}％</color>。,<color =＃4af328> {0}％</color>在製作裝備時增加了其他選項的機會,<color=#4af328>{0}%</color> Tinataasan ang pagkakataon na madagdagan ang opsyon kapag bumubuo ng kagamitan
PET_DESCRIPTION_IncreaseBlockPerHourglass,"When rapidly combining, the number of blocks reduced per hourglass is increased by  <color=#4af328>{0}</color>.",빠른 제작 시 모래시계 1개 당 줄어드는 블록이 <color=#4af328>{0}</color> 증가합니다.,"Quando a combinação rápida, o bloco reduzido por ampulheta é aumentado em <color=#4af328>{0}</color>.",急速な組み合わせの場合、砂時計あたりのブロックの減少は<color=#4af328>{0}</color>で増加します。,"Cuando exista combinación rápida, la reducción de bloque por reloj de arena se incrementa por <color=#4af328>{0}</color>.",เพิ่มประสิทธิภาพเอฟเฟกต์ของนาฬิกาทรายในการลดบล็อกเมื่อสร้าง  <color=#4af328>{0}</color>,"Saat kombinasi cepat, blok berkurang per jam pasir ditingkatkan dengan <color=#4af328>{0}</color>.",,当快速组合组合时，每月漏的块减少了<color=#4af328>{0}</color>。,快速組合時，每個沙漏減少的方塊增加<color =＃4af328> {0} </color>。,"Kapag mabilis na kumbinasyon, tinataasan ang kabawasan sa kailangan orasa kada block ng <color=#4af328>{0}</color>."
PET_DESCRIPTION_DiscountMaterialCostCrystal,Use <color=#4af328>{0}%</color> less crystal as a replacement when crafting equipment.,장비 제작 재료 대체 시 크리스탈 비용의 <color=#4af328>{0}%</color>가 할인됩니다.,Os descontos custam cristal por <color=#4af328>{0}%</color> ao substituir o material em equipamentos de criação.,クラフト機器の材料を交換すると、割引のコストクリスタルは<color=#4af328>{0}％</color>です。,Usa <color=#4af328>{0}%</color> menos cristales como reemplazo cuando estás fabricando equipos.,ลดจำนวนคริสตัลที่ใช้แทนวัสดุ<color=#4af328>{0}%</color>,Diskon biaya kristal dengan <color=#4af328>{0}%</color> saat mengganti bahan pada peralatan kerajinan.,,在更换制作设备上的材料时，折扣成本水晶均为<color=#4af328>{0}％</color>。,使用<color =＃4af328> {0}％</color>在製作裝備時更少的水晶作為替代品,Gumamit ng <color=#4af328>{0}%</color> Mas kaunting mga kristal bilang kapalit kapag gumagawa ng mga kagamitan
PET_DESCRIPTION_TWO_OPTION_ReduceRequiredBlock,Reduces the required number of blocks for crafting equipment by <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.,장비 제작에 소요되는 블록이 <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color> 감소됩니다.,Reduz o bloco necessário no equipamento de criação por <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.,クラフト機器の必要なブロックを<color=#4af328>{0}％</color> <color=#4af328>{1}%</color>.削減します。,Reduce el bloque requerido en la fabricación de equipo por <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.,ลดบล็อกที่ต้องการใช้ในการสร้างอุปรกรณ์<color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.,Mengurangi blok yang diperlukan pada peralatan kerajinan dengan <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.,,将工艺/设备上所需的块减少<color=#4af328>{0}％</color><color=#4af328>{1}％</color>。,<color =＃4af328> {0}％</color>> <color =＃4af328> {1}％</color>降低了製作裝備上所需的塊。,Binababaan ang block na kailangan sa pag buo ng kagamitan ng <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.
PET_DESCRIPTION_TWO_OPTION_ReduceRequiredBlockByFixedValue,Reduces the required number of blocks for crafting equipment by <color=#4af328>{0}</color>.,장비 제작에 소요되는 블록이 <color=#4af328>{0}</color> 감소됩니다.,Reduz o bloco necessário no equipamento de criação por <color=#4af328>{0}</color>.,クラフト機器の必要なブロックを<color=#4af328>{0}</color>削減します。,Reduce el bloque requerido en la fabricación de equipo por <color=#4af328>{0}</color>.,ลดบล็อกที่ต้องการใช้ในการสร้างอุปรกรณ์<color=#4af328>{0}</color>.,Mengurangi blok yang diperlukan pada peralatan kerajinan oleh <color=#4af328>{0}</color>.,,通过<color=#4af328>{0}</color>减少工艺/设备上所需的块。,通過<color =＃4af328> {0} </color>減少所需塊。,Binababaan ang block na kailangan sa pag buo ng kagamitan ng <color=#4af328>{0}%</color>.
PET_DESCRIPTION_TWO_OPTION_AdditionalOptionRate,"When crafting equipment, chances for each option are increased by <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.",장비 제작 시 추가 옵션이 붙을 확률이 각각 <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color> 증가합니다.,"Ao criar equipamentos, o acaso para cada opções é aumentado em <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.",機器を作成すると、各オプションのチャンスが<color=#4af328>{0}％</color>増加します。,"Cuando estés fabricando equipo, la probabilidad de cada opción aumenta por <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>",เมื่อสร้างอุปรกรณ์ เพิ่มอัตราในการเพิ่มตัวเลือก<color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>,"Saat menyusun peralatan, peluang untuk setiap opsi meningkat sebesar <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.",,当制作设备时，每个选项的机会增加<color=#4af328>{0}％</color>。,當製作裝備時，每個選項的機會都會增加<color =＃4af328> {0}％</color>> <color =＃4af328> {1}％</color>,Pagbumubuo ng kagamitan. tumaas ang pagkakataon para sa bawat opsyon <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>
PET_DESCRIPTION_TWO_OPTION_AdditionalOptionRateByFixedValue,"When crafting equipment, chances for each option are increased by <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.",장비 제작 시 추가 옵션이 붙을 확률이 각각 <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color> 증가합니다.,"Ao criar equipamentos, o acaso para cada opções é aumentado em <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.",機器を作成すると、各オプションのチャンスが<color=#4af328>{0}％</color>増加します。,"Cuando estés fabricando equipo, la probabilidad de cada opción aumenta por <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>",เมื่อสร้างอุปรกรณ์ เพิ่มอัตราในการเพิ่มตัวเลือก<color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>,"Saat menyusun peralatan, peluang untuk setiap opsi meningkat sebesar <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>.",,当制作设备时，每个选项的机会增加<color=#4af328>{0}％</color>。,當製作裝備時，每個選項的機會都會增加<color =＃4af328> {0}％</color>> <color =＃4af328> {1}％</color>,Pagbumubuo ng kagamitan. . tumaas ang pagkakataon para sa bawat opsyon <color=#4af328>{0}%</color> > <color=#4af328>{1}%</color>
