Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
SKILL_DESCRIPTION_STATBUFF,{0} chance to increase {1} stat by {2}.,{0} 확률로 {1} 스탯이 {2}만큼 증가합니다.,,{0} の確率で {1} 能力値が {2} 増加する。,{0} probabilidad de aumento {1} por {2},มีโอกาส {0} ที่จะเพิ่มขึ้น {1} by {2},Peluang {0} untuk meningkatkan status {1} sebesar {2}.,,{0} 的機率提高 {1} 屬性 {2}。,{0} 有機會將 {1} 增加 {2},{0} pagkakataon upang madagdagan ang {1} ng {2},{0} cơ hội để tăng {1} stat bằng {2}.
SKILL_DESCRIPTION_STATDEBUFF,{0} chance to decrease {1} stat by {2}.,{0} 확률로 {1} 스탯이 {2}만큼 감소합니다.,,{0} の確率で {1} 能力値が {2} 減少する。,{0} probabilidad de disminuir {1} por {2},มีโอกาส {0} ที่ี่จะลดลง {1} by {2},Peluang {0} untuk mengurangi status {1} sebesar {2}.,,{0} 的機率降低 {1} 屬性 {2}。,{0} 有機會將 {1} 减少 {2},{0} pagkakataon upang bawasan ang {1} ng {2},{0} cơ hội giảm {1} stat bởi {2}.
SKILL_DESCRIPTION_ATTACK,{0} chance to deal {1} damage to the enemy.,{0} 확률로 적에게 {1} 데미지를 줍니다.,,{0} の確率で敵に {1} ダメージを与える。,{0} probabilidad de generar daño {1} al enemigo.,มีโอกาส {0} สร้างความเสียหาย {1} ให้กับศัตรู,Peluang {0} untuk memberikan kerusakan {1} kepada musuh.,,{0} 的機率對敵人造成 {1} 傷害。,{0} 次機會對敵人造成 {1} 點傷害。,{0} pagkakataon upang magdulot sa kalaban ng {1} na danyos.,{0} cơ hội để đối phó {1} sát thương cho kẻ thù.
SKILL_DESCRIPTION_HEAL,{0} chance to heal your own HP by {1}.,{0} 확률로 자신의 HP를 {1}만큼 회복시킵니다.,,{0} の確率で自分のHPが {1} 回復する。,{0} probabilidad de curarse a si mismo {1} de vida.,มีโอกาส {0} ฟื้นฟูพลังชีวิต {1} ให้กับตัวเอง,Peluang {0} untuk menyembuhkan HP Anda sendiri sebesar {1}.,,{0} 的機率恢復自己的 HP {1}。,{0} 有機會治愈自己 {1} 生命值。,{0} pagkakataon upang magpagaling ng. {1} HP ang sarili.,{0} cơ hội để chữa lành HP của riêng bạn bằng {1}.
SKILL_DESCRIPTION_STATDEBUFF_LIMIT,This effect cannot reduce the target's {0} below {1}%.,해당 효과는 대상자의 {0}의  {1}%를 초과하여 감소시킬 수 없습니다.,Este efeito não pode reduzir o {0} do alvo abaixo de {1}%.,この効果は対象の{0}を{1}%未満に減少させることはできません。,Este efecto no puede reducir el {0} del objetivo por debajo de {1}%.,ผลลัพธ์นี้ไม่สามารถลด {0} ของเป้าหมายให้ต่ำกว่า {1}% ได้,Efek ini tidak dapat mengurangi {0} target di bawah {1}%.,Этот эффект не может снизить {0} цели ниже {1}%.,此效果无法将目标的{0}降至低于{1}%。,此效果無法將目標的{0}降至低於{1}%。,Hindi maaaring bawasan ng epekto na ito ang {0} ng target sa ibaba ng {1}%.,Hiệu ứng này không thể giảm {0} của mục tiêu dưới {1}%.
SKILL_DESCRIPTION_100000,Attack the enemy once.,적을 1회 공격합니다.,Ataque o inimigo uma vez.,一度敵を攻撃します。,Atacar al enemigo una vez.,โจมตีศัตรูครั้งเดียว,Serang musuh sekali.,Атакуй врага один раз.,一次攻击敌人。,攻擊敵人一次。,Atakihin ang kalaban ng isang beses.,Tấn công kẻ thù một lần.
SKILL_DESCRIPTION_100003,Attack the enemy twice in one turn.,적을 한번에 2회 공격합니다.,Ataque o inimigo duas vezes de cada vez.,一度に2回敵を攻撃します。,Ataca al enemigo dos veces a la vez.,โจมตีศัตรูครั้งละสองครั้ง,Serang musuh dua kali sekaligus.,Атакуй врага дважды за раз.,一次攻击敌人两次。,一次攻擊敵人兩次。,Atakihin ang kalaban ng dalawang beses sa isang beses,Tấn công kẻ thù hai lần trong một lượt.
SKILL_DESCRIPTION_220002,Decrease the enemy's DEF.,적의 DEF를 감소 시킵니다.,Reduz o inimigo def.,敵のDEFを減らします。,Reduce la defensa enemiga.,ลด DEF ของศัตรู,Mengurangi def musuh.,Уменьшает враг def.,减少敌人防御。,降低敵方防禦力。,Bawasan ang DEF ng kalaban.,Giảm def của kẻ thù.
SKILL_DESCRIPTION_500001,Deal damage to the enemy and increase ATK & SPD.,적에게 데미지를 가합니다. ATK & SPD를 증가시킵니다.,Danificar o inimigo. Aumente o ATK & SPD.,敵にダメージを与えます。 ATK＆SPDを増やします。,Dañar al enemigo. Aumenta el ataque y la velocidad.,สร้างความเสียหายให้กับศัตรู เพิ่ม ATK & SPD,Merusak musuh. Tingkatkan ATK & SPD.,Повредить врагу. Увеличьте ATK & SPD.,损害敌人。增加ATK＆SPD。,傷害敵人。增加攻擊力和速度。,Pinsala sa kalaban. Tataas ang ATK at SPD.,Gây sát thương cho kẻ thù và tăng ATK & SPD.
SKILL_DESCRIPTION_500002,"Deal damage to the enemy, remove the most recently acquired buff.","적에게 데미지를 주고, 가장 최근에 획득한 버프를 제거합니다.",Danificar o inimigo e remover o buff adquirido mais recentemente.,敵にダメージを与え、最近取得したバフを解除します。,Daña al enemigo y elimina el potenciador adquirido recientemente.,สร้างความเสียหายให้กับศัตรูและลบบัฟที่ได้มาล่าสุด,Merusak musuh dan menghapus buff yang paling baru diperoleh.,Повредить врагу и удалить последнего приобретенного баффа.,损坏敌人并去除最近获得的增益。,對敵人造成傷害並移除最近獲得的增益效果。,Pinsala sa kalaban at aalisin ang pinakahuling nakuhang buff.,"Thiệt hại thiệt hại cho kẻ thù, loại bỏ những con buff được mua gần đây nhất."
