Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
SPEECH_SHOP_0,Did you craft something nice? Come and put it up for sale!,"괜찮은 물건을 제작했어?
그럼 여기 와서 팔아봐","Você fez algo legal?
Venha e venda!","良いものが作れたら
いつでも売りに来てね！",¿Creaste algo nuevo? !Ven y véndelo!,คุณสร้างอะไรเจ๋งๆบ้าง? เอามาขายได้เลย!,"Apakah kamu membuat sesuatu yang bagus ?
kemari dan jual disini !",,您制作了精美的东西吗？来把它出售！,你做了什麼好東西嗎？快來把它出售吧！,Nakagawa ka ba ng isang magandang kagamitan? Halika at ibebenta na natin!,Bạn đã tạo ra một cái gì đó tốt đẹp? Hãy đến và đưa nó lên để bán!
SPEECH_SHOP_1,There's a lot of good stuff on sale. Come and have a look!,"좋은 물건이 많이 올라와있어!
시간 나면 보고 가","Tem um monte
de coisa nova chegando!","掘り出し物が
続々と入荷中よ！",Hay un montón de magníficos objetos a la venta. Vén a darles un vistazo!,ยังมีของดีอีกเพียบ ที่กำลังจะมา,Akan ada banyak barang bagus datang.,,会有很多好东西出现。,有很多好東西在賣。快來看看吧！,Maraming magagandang bagay na ibinibenta ngayon. Halika at tingnan mo!,Có rất nhiều thứ tốt được bán. Hãy đến và có một cái nhìn!
SPEECH_SHOP_2,"If you are unsure about your item's price, check out how much other people are selling them for.","판매 가격이 고민되면
다른 사람들이
얼마에 올렸는지 잘 살펴봐","Quando estiver preocupado
em colocar o preço adequado
confira o que outras pessoas
estão vendendo.","売値に困ったら、他の人の
値付けを参考にするといいわよ！","Cuando estés preocupado por poner un buen precio, mira a cuánto lo venden otras personas.",ถ้าคุณกังวลเรื่อง การตั้งราคา แนะนำให้ดูของคนอื่น ว่าขายกันเท่าไร,"Jika kamu tidak yakin dengan harga barang yang ingin kau jual ,
periksalah barang yang dijual orang lain.",,"如果不确定关于您物品的价格，
请查看有多少其他人正在出售它们。",如果您不確定商品的價格，請查看其他人的售價。,"Kung hindi ka sigurado sa presyo ng iyong mga gamit, tingnan mo kung magkano ibinebenta ng ibang tao.","Nếu bạn không chắc chắn về giá của mặt hàng của bạn, hãy xem số người khác đang bán chúng với giá bao nhiêu."
SPEECH_SHOP_3,You can always retrieve unsold items.,"아직 팔리지 않은 물건은
언제든지 다시 회수할 수 있어","Você pode sempre recuperar itens
que não foram vendidos","出品中の商品は
いつでもキャンセルできるわ。",Siempre puedes retirar los objetos que no has vendido.,คุุณสามารถเอาของคืนได้เสมอ ถ้ายังขายไม่ออก,Kamu dapat mengambil kembali barang yang belum terjual.,,您始终可以检索未售出的物品。,您可以隨時撤回未售出的商品。,Maaring ibalik ang mga hindi nabentang mga kagamitan sa iyo.,Bạn luôn có thể truy xuất các mặt hàng chưa bán.
SPEECH_SHOP_4,How many cats does Freya want to transport to this world..?,"프레이야님은 신계에
얼마나 많은 고양이를
불러모으려고 하는걸까..?","Quantos gatos
Freya quer trazer
ao mundo..?","フレイヤ様はいったい何匹の猫を
この世界に転送するつもりなのかな…？",¿Cuántos gatos quiere Freya transportar a este mundo?,จะมีแมวสักกี่ตัว ที่ Freya จะนำ กลับมาที่โลก..?,Berapa banyak kucing yang freya mau datangkan ke dunia ini ?,,芙蕾雅想要运送多少只猫到这个世界上。,Freya 想運送多少隻貓到這個世界..？,Gaano kadami ang mga pusa na gustong ilipat ni Freya sa mundong ito..?,Freya muốn vận chuyển bao nhiêu con mèo đến thế giới này ..?
SPEECH_SHOP_5,Strange creatures spawning from Yggdrasil have engulfed the whole world.,"세계수에서 생겨난 정체불명의
생명체들이 온 세계를 뒤덮고 말았어..","Criaturas não identificadas
de Igdrasil
engoliram o mundo inteiro.","ユグドラシルから生まれた見たことない生物たちが
世界を覆いつくしてしまったの。",Criaturas no identificadas de Yggdrasil han engullido el mundo entero.,สิ่งมีชีวิตที่ไม่ปรากฏชื่อ จาก Yggdrasil ได้ กลืนกินทั้งโลกไปแล้ว,"Mahkluk asing dari yggdrasil
telah melanda seluruh dunia.",,来自伊格德拉西尔的身份不明的生物吞没了整个世界。,來自 Yggdrasil 的不明生物吞沒了整個世界。,Sinakop ng mga hindi kilalang nilalang mula sa Yggdrasil ang buong mundo.,Những sinh vật kỳ lạ sinh sản từ Yggdrasil đã nhấn chìm cả thế giới.
SPEECH_SHOP_6,You need a variety of equipment to prepare yourself for this ordeal.,다양한 장비가 있어야 시련을 대비할 수 있어,"Você precisa de uma variedade de equipamento
para se preparar para a provação.",厳しい戦いに備えて色々な装備が必要よ！,Necesitas una gran variedad de equipamiento para prepararte para la adversidad.,คุณต้องมีอุปกรณ์ที่หลากหลาย เพื่อเตรียมพร้อมสำหรับการทดสอบ,"Anda membutuhkan berbagai macam perlengkapan
untuk menghadapi cobaan itu.",,为您准备好各种装备以备不时之需。,您需要各種裝備來為嚴峻的考驗做好準備。,Kailangan mo ng iba't ibang kagamitan upang ihanda ang iyong sarili para sa pagsubok.,Bạn cần một loạt các thiết bị để chuẩn bị cho thử thách này.
SPEECH_COMBINE_0,"Have you collected all the materials? Don't be shy, give them to me!","전투로 재료를 많이 모았니?
그럼 얼른 장비를 만들어야지","Você coletou
os materiais?
Então venha até mim.","素材を集めたら
オレのところに来な！",¿Ya recolectaste los materiales? Entonces tráemelos.,คุณรวบรวม วัตถุดิบได้แล้วยัง? ถ้าอย่างนั้นมาให้เรา,"Apakah kamu sudah mengumpulkan bahan yang dibutuhkan ?
kemari kesini.",,您是否已收集材料？然后找我。,你收集好材料了嗎？然後把它們帶給我。,Nakolekta mo na ba ang mga materyales? Dalhin mo sila sa akin.,"Bạn đã thu thập tất cả các tài liệu? Đừng ngại, hãy đưa chúng cho tôi!"
SPEECH_COMBINE_1,I'll do my absolute best on this one.,"최선을 다해
무기를 만들어줄게",Eu farei o meu melhor trabalho neste item.,最高の仕事をしてやるぜ！,Haré mi mejor trabajo con este.,ฉันจะทำให้ดีที่สุด,Saya akan berusaha sebaik mungkin untuk ini.,,我会尽力做到这一点。,我會在這件事上盡全力做到最好。,Gagawin ko ang lahat ng makakaya ko dito.,Tôi sẽ làm hết sức mình trên cái này.
SPEECH_COMBINE_2,You want to build a stronger weapon? Gather more materials for the desired effect.,"더 강한 무기를 만들고 싶다고?
원하는 재료를 많이 모아야 해","Você quer construir
uma arma mais forte?
Reúna mais materiais
para o efeito desejado.","強い武器が欲しいか？
望みの効果を付けたけりゃもっと素材を集めな！",¿Quieres construir un arma más poderosa? Reune más materiales para el efecto deseado.,คุณต้องการจะสร้าง อาวุธที่แข็งแกร่งกว่านี้? รวบรวมวัสดุเพิ่มเติม เพื่อผลลัพธ์เอฟเฟกต์ที่ต้องการ,"Apakah kamu mau membuat senjata yang lebih kuat ?
Kumpulkan lebih banyak bahan untuk mendapatkan efek yang diinginkan.",,"您想要制造更坚固的武器吗？
请收集更多材料以达到理想的效果。
您知道这个世界上有四种元素的事实吗？",你想打造更強大的武器嗎？收集更多材料以獲得所需的效果。,Gusto mo bang bumuo ng mas malakas na sandata? Mangolekta ng mas maraming materyales para sa ninanais na epekto.,Bạn muốn chế tạo một vũ khí mạnh hơn? Thu thập thêm tài liệu cho hiệu ứng mong muốn.
