Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
WORLD_NAME_YGGDRASIL,Yggdrasil,이그드라실,Yggdrasil,ユグドラシル,Yggdrasil,Yggdrasil,Yggdrasil,Yggdrasil,Yggdrasil,Yggdrasil,Yggdrasil,Yggdrasil
WORLD_NAME_ALFHEIM,Alfheim,알프헤임,Alfheim,アルフヘイム,Alfheim,Alfheim,Alfheim,Alfheim,Alfheim,Alfheim,Alfheim,Alfheim
WORLD_NAME_SVARTALFHEIM,Svartalfheim,스바르트알프헤임,Svartalfheim,スヴァルターフハイム,Svartalfheim,Svartalfheim,Svartalfheim,Svartalfheim,Svartalfheim,Svartalfheim,Svartalfheim,Svartalfheim
WORLD_NAME_ASGARD,Asgard,아스가르드,Asgard,アスガルド,Asgard,Asgard,Asgard,Asgard,Asgard,Asgard,Asgard,Asgard
WORLD_NAME_MIMISBRUNNR,Mimisbrunnr,미미르의 샘,Mimisbrunnr,ミミスブルンナー,Mimisbrunnr,Mimisbrunnr,Mimisbrunnr,Mimisbrunnr,Mimisbrunnr,Mimisbrunnr,Mimisbrunnr,Mimisbrunnr
WORLD_NAME_MUSPELHEIM,Muspelheim,무스펠헤임,Muspelheim,ムスペルヘイム,Muspelheim,Muspelheim,Muspelheim,Muspelheim,Muspelheim,Muspelheim,Muspelheim,Muspelheim
WORLD_NAME_JOTUNHEIM,Jotunheim,요툰헤임,Jotunheim,ヨトゥンヘイム,Jotunheim,Jotunheim,Jotunheim,Jotunheim,Jotunheim,Jotunheim,Jotunheim,Jotunheim
WORLD_NAME_NIFLHEIM,Niflheim,니플하임,Niflheim,ニヴルヘイム,Niflheim,Niflheim,Niflheim,Niflheim,Niflheim,Niflheim,Niflheim,Niflheim
WORLD_NAME_EVENT_DUNGEON,"EVENT
DUNGEON","이벤트
던전","EVENT
DUNGEON","イベント
ダンジョン","EVENT
DUNGEON","EVENT
DUNGEON","EVENT
DUNGEON","EVENT
DUNGEON","EVENT
DUNGEON","EVENT
DUNGEON","EVENT
DUNGEON","EVENT
DUNGEON"
WORLD_NAME_HEL,Helheim,헬헤임,Helheim,ヘルヘイム,Helheim,Helheim,Helheim,Helheim,Helheim,Helheim,Helheim,Helheim
WORLD_NAME_VANAHEIM,Vanaheim,바나헤임,Vanaheim,ヴァナハイム,Vanaheim,Vanaheim,Vanaheim,Vanaheim,Vanaheim,Vanaheim,Vanaheim,Vanaheim
WORLD_NAME_INFINITETOWER,Infinite Tower,무한 타워,Infinite Tower,無限の塔,Infinite Tower,Infinite Tower,Infinite Tower,Infinite Tower,Infinite Tower,Infinite Tower,Infinite Tower,Infinite Tower
WORLD_NAME_HARD_YGGDRASIL,Hard Yggdrasil,하드 이그드라실,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil,Hard Yggdrasil
WORLD_NAME_HARD_ALFHEIM,Hard Alfheim,하드 알프헤임,Hard Alfheim,Hard Alfheim,Hard Alfheim,Hard Alfheim,Hard Alfheim,Hard Alfheim,Hard Alfheim,Hard Alfheim,Hard Alfheim,Hard Alfheim
WORLD_NAME_HARD_SVARTALFHEIM,Hard Svartalfheim,하드 스바르트알프헤임,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim,Hard Svartalfheim
WORLD_NAME_HARD_ASGARD,Hard Asgard,하드 아스가르드,Hard Asgard,Hard Asgard,Hard Asgard,Hard Asgard,Hard Asgard,Hard Asgard,Hard Asgard,Hard Asgard,Hard Asgard,Hard Asgard
WORLD_NAME_HARD_MUSPELHEIM,Hard Muspelheim,하드 무스펠헤임,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim,Hard Muspelheim
WORLD_NAME_HARD_JOTUNHEIM,Hard Jotunheim,하드 요툰헤임,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim,Hard Jotunheim
WORLD_NAME_HARD_NIFLHEIM,Hard Niflheim,하드 니플하임,Hard Niflheim,Hard Niflheim,Hard Niflheim,Hard Niflheim,Hard Niflheim,Hard Niflheim,Hard Niflheim,Hard Niflheim,Hard Niflheim,Hard Niflheim
WORLD_NAME_HARD_HEL,Hard Helheim,하드 헬헤임,Hard Helheim,Hard Helheim,Hard Helheim,Hard Helheim,Hard Helheim,Hard Helheim,Hard Helheim,Hard Helheim,Hard Helheim,Hard Helheim
WORLD_NAME_HARD_VANAHEIM,Hard Vanaheim,하드 바나헤임,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim,Hard Vanaheim
